Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014976-HPA	S700015268-HPA	S700015644-HPA	S700016065-HPA	S700016156-HPA	S700016321-HPA	S700016362-HPA	S700016578-HPA	S700016631-HPA	S700016935-HPA	S700021689-HPA	S700021699-HPA	S700021862-HPA	S700023082-HPA	S700023216-HPA	S700023249-HPA	S700023307-HPA	S700023406-HPA	S700023463-HPA	S700023517-HPA	S700023678-HPA	S700023774-HPA	S700023831-HPA	S700023888-HPA	S700023954-HPA	S700024011-HPA	S700024052-HPA	S700024115-HPA	S700024171-HPA	S700024219-HPA	S700024278-HPA	S700024326-HPA	S700024365-HPA	S700024419-HPA	S700024478-HPA	S700024527-HPA	S700024574-HPA	S700024623-HPA	S700024659-HPA	S700024719-HPA	S700024776-HPA	S700024813-HPA	S700024890-HPA	S700024934-HPA	S700024984-HPA	S700024999-HPA	S700033002-HPA	S700033459-HPA	S700033763-HPA	S700037060-HPA	S700037208-HPA	S700037456-HPA	S700037568-HPA	S700037720-HPA	S700038039-HPA	S700038372-HPA	S700038458-HPA	S700038506-HPA	S700038554-HPA	S700038602-HPA	S700038710-HPA	S700038769-HPA	S700038986-HPA	S700095386-HPA	S700095443-HPA	S700097267-HPA	S700097327-HPA	S700097664-HPA	S700098303-HPA	S700098395-HPA	S700098968-HPA	S700099035-HPA	S700099095-HPA	S700099623-HPA	S700099779-HPA	S700100263-HPA	S700101671-HPA	S700102275-HPA	S700102621-HPA	S700102938-HPA	S700103249-HPA	S700103313-HPA	S700103454-HPA	S700103593-HPA	S700103629-HPA	S700103680-HPA	S700105189-HPA	S700105246-HPA	S700105380-HPA	S700105425-HPA	S700105598-HPA	S700105654-HPA	S700105693-HPA	S700105747-HPA	S700105814-HPA	S700105864-HPA	S700105912-HPA	S700106026-HPA	S700106101-HPA	S700106368-HPA	S700106420-HPA	S700106528-HPA	S700106587-HPA	S700106623-HPA	S700106671-HPA	S700106845-HPA	S700106884-HPA	S700106954-HPA	S700109419-HPA	S700110620-HPA	S700113043-HPA	S700113079-HPA	S700113511-HPA	S700113586-HPA	S700113624-HPA	S700113682-HPA	S700113826-HPA	S700113940-HPA	S700114025-HPA	S700114074-HPA	S700114131-HPA	S700114197-HPA	S700114311-HPA	S700114359-HPA	S700114395-HPA	S700114466-HPA	S700114525-HPA	S700114566-HPA	S700114623-HPA	S700114687-HPA	S700114735-HPA	S700114785-HPA	S700114842-HPA	S700114890-HPA	S700114947-HPA	S700114995-HPA	S700116225-HPA	S700116312-HPA	S700116366-HPA	S700116576-HPA	S700116627-HPA	S700116786-HPA	S700116846-HPA	S700117008-HPA	S700117668-HPA	S700117725-HPA	S700117836-HPA	S700117962-HPA	S700118446-HPA
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family				3.172	0.727	12.406	6.485	10.527	6.634	1.569	9.494	6.745	8.938	1.812	6.54	5.189	3.569	0.597	4.11	4.627	7.16	10.379	5.515	4.246	6.598	1.926	14.071	4.514	5.134	0.757	2.887	5.385	18.231	0.426	5.342	5.66	5.515	2.32	2.312	11.212	8.641	4.047	7.085	7.506	2.192	5.471	3.149	6.659	5.346	5.359	2.466	1.904	13.126	2.578	7.841	2.363	14.468	11.305	10.653	7.801	5.239	9.357	6.018	3.178	13.938	2.877	14.077	5.985	3.456	3.222	11.877	3.757	12.004	6.452	15.567	16.086	6.89	9.636	8.977	2.685	4.887	4.366	3.992	1.832	19.154	2.806	2.355	12.949	10.857	9.001	4.585	1.661	12.734	8.088	2.318	14.408	9.417	8.051	8.456	1.417	5.814	4.241	0.451	14.618	7.047	15.68	9.973	10.298	10.419	6.842	4.703	0.522	1.834	2.996	11.951	8.768	0.517	8.018	12.009	16.92	11.888	12.039	3.744	7.961	0.9	2.691	2.579	3.326	6.153	5.681	8.449	8.2	5.929	2.97	8.332	4.918	4.743	2.902	6.809	21.844	16.422	6.816	6.06	8.813	18.463	6.574	7.379	10.22	6.807	9.369	2.264	4.948
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family				2.218	0.754	2.958	0.434	0.997	0.323	1.144	3.579	4.159	3.529	0.471	7.804	2.952	9.444	0.292	7.195	2.506	0.0	1.076	0.554	1.917	0.509	2.841	3.51	0.0	3.049	0.576	10.331	2.919	1.055	0.945	5.718	3.153	3.853	6.037	0.237	2.459	0.853	2.878	1.953	0.134	0.897	1.944	1.112	1.767	8.584	0.07	6.452	3.79	0.395	2.458	3.504	6.947	2.927	4.752	0.278	3.308	5.557	3.201	9.603	4.31	1.095	0.499	0.037	6.219	7.812	1.95	0.31	2.313	0.623	1.474	2.549	0.276	2.512	1.294	3.901	0.317	0.894	0.544	0.501	0.217	0.658	3.621	1.137	3.424	6.726	3.188	2.933	2.604	7.112	0.837	4.824	3.774	0.0	2.04	3.969	0.919	1.576	2.896	0.404	0.622	7.622	0.592	0.16	8.615	9.901	1.469	0.757	4.696	6.868	5.507	0.888	0.09	0.749	2.673	0.712	0.99	9.823	3.351	1.177	5.645	0.395	3.83	2.637	2.366	0.158	3.101	8.326	3.57	2.848	1.209	9.786	0.296	3.544	0.491	4.192	0.111	13.949	0.155	1.41	0.495	1.285	4.544	4.54	0.877	1.509	0.997	0.35	2.388
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family				1.282	0.162	0.724	1.031	0.15	0.5	0.201	0.76	0.677	2.611	0.0	2.054	2.281	6.309	0.186	2.034	0.189	1.71	3.506	0.907	0.459	2.21	2.059	3.66	1.306	3.428	2.594	0.676	0.298	1.826	0.173	0.376	0.673	0.982	0.599	0.237	1.989	1.353	0.148	0.321	1.293	2.081	0.551	2.668	1.508	1.168	0.02	0.611	0.448	0.814	1.359	0.577	0.263	4.072	0.934	0.79	6.313	0.953	0.725	7.597	0.983	2.578	0.096	0.025	0.235	0.524	0.339	0.465	1.099	0.801	2.894	5.384	0.152	6.408	0.607	1.342	0.272	0.061	0.373	0.181	0.033	1.96	1.032	3.574	0.462	1.84	0.479	0.371	1.179	2.641	0.0	0.867	8.011	0.0	0.269	9.862	0.144	0.964	0.554	0.047	1.052	0.971	3.147	0.987	2.903	0.918	0.401	0.438	0.209	0.288	2.104	0.425	0.067	0.0	2.227	13.856	0.211	5.293	3.716	1.746	2.715	0.077	2.107	0.334	0.206	0.105	0.0	9.886	1.901	0.972	0.19	2.181	0.388	0.781	0.084	1.04	2.313	9.261	1.044	0.435	0.674	0.407	2.02	6.608	0.53	0.35	0.426	0.247	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.24	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.0	0.027	0.0	0.0	0.0	0.0	0.158	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family				0.015	0.094	0.668	0.018	0.064	1.489	0.086	0.055	0.262	2.771	0.072	0.363	0.067	0.337	0.0	0.678	0.258	1.336	0.251	0.128	0.953	0.064	1.259	0.12	0.347	0.0	0.12	0.164	0.35	0.081	0.0	0.15	0.04	0.164	0.177	0.174	0.036	0.0	0.0	0.569	0.58	0.055	0.0	0.0	1.036	0.267	0.02	0.166	0.341	0.123	0.28	1.396	0.079	0.094	0.705	0.021	0.303	0.249	0.643	0.0	0.122	0.0	0.019	0.0	0.0	0.257	0.127	0.031	0.394	0.0	0.212	0.011	0.083	0.426	0.053	1.678	0.444	0.07	0.047	0.626	0.0	0.523	0.0	0.0	0.036	0.0	0.021	0.06	0.441	0.0	0.239	0.0	0.0	0.0	0.0	0.178	0.033	0.306	0.009	0.142	3.747	0.162	0.013	0.0	0.046	0.0	0.338	0.0	1.409	0.0	0.242	0.013	0.18	0.374	0.019	0.1	0.084	0.0	1.45	0.185	0.153	0.121	0.031	0.069	0.943	0.07	0.358	0.123	0.054	0.531	0.104	0.121	0.481	0.016	0.0	0.236	0.202	0.0	0.022	0.522	0.0	0.0	0.889	0.423	0.959	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family				0.0	0.121	0.0	0.0	0.0	0.0	0.0	0.014	0.012	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.031	0.16	0.0	0.008	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.046	0.025	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.461	0.0	0.0	0.031	0.343	0.0	0.029
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family				2.874	4.943	1.038	0.105	0.332	1.354	0.763	7.242	5.793	6.36	1.667	12.97	10.132	2.626	0.491	21.434	10.149	2.378	2.263	8.156	6.751	2.798	26.583	0.345	0.569	4.044	15.288	8.938	2.491	1.082	0.865	7.659	0.818	12.629	12.325	6.064	2.604	3.863	7.476	4.81	5.336	0.354	14.367	1.408	3.764	3.975	0.863	1.376	1.858	7.057	14.968	7.143	4.585	4.522	9.374	8.07	3.381	11.363	31.327	0.557	6.864	1.922	6.561	0.098	5.773	3.863	2.989	0.96	4.61	0.018	4.633	3.019	7.048	5.606	0.211	2.16	11.148	1.475	3.62	5.508	15.131	1.154	5.703	0.049	17.652	3.911	0.25	2.645	5.72	0.0	0.12	6.669	3.241	3.911	1.487	16.141	1.783	7.681	13.967	7.17	7.227	23.638	0.632	2.53	5.278	0.33	6.049	1.382	35.56	8.27	9.102	0.501	2.226	2.068	4.009	0.701	1.433	16.557	4.618	2.527	5.338	2.293	6.075	6.033	8.265	0.527	31.965	16.808	2.96	11.576	1.554	11.428	1.257	3.307	1.19	8.542	1.07	0.745	3.219	3.691	3.103	1.163	7.924	0.79	3.019	0.591	1.485	0.144	15.579
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family				0.775	0.189	1.122	0.516	0.917	0.0	0.18	1.271	0.732	1.538	0.0	0.427	2.617	1.15	0.08	1.757	0.189	0.401	1.69	0.193	1.294	1.86	0.477	1.44	0.306	0.932	0.156	2.304	0.986	0.933	0.027	0.527	0.673	0.718	0.406	0.237	1.447	2.791	2.03	0.51	1.353	0.542	0.637	1.89	2.087	0.698	0.462	0.4	0.112	2.221	0.22	9.492	1.071	2.758	1.089	0.555	5.279	0.544	0.752	3.139	0.569	1.605	0.691	0.466	0.422	1.091	0.382	1.208	0.771	0.677	0.85	1.596	0.829	1.036	0.528	1.07	0.599	0.065	0.202	0.64	0.065	0.604	0.507	0.731	4.739	3.521	2.011	0.646	0.174	4.472	2.749	0.0	2.609	0.0	1.06	1.155	0.299	0.398	0.409	0.012	3.806	0.683	0.793	0.481	2.385	6.127	1.268	0.359	0.104	1.834	0.637	1.139	0.315	0.053	2.246	3.673	1.412	1.597	0.719	0.278	1.856	0.066	0.492	0.541	0.309	0.158	0.696	1.494	3.177	0.681	0.138	1.198	0.943	0.418	0.386	0.709	2.161	1.508	0.622	1.149	0.0	4.774	0.296	1.429	1.081	1.159	0.488	0.103	0.038
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family				0.0	0.0	0.014	0.0	0.0	3.322	0.439	0.207	0.043	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.006	0.267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family				0.565	3.26	1.724	0.461	0.515	0.135	0.878	3.317	3.641	7.214	0.979	3.191	1.32	1.865	1.898	2.062	0.944	0.134	0.21	1.782	0.565	1.717	1.049	0.465	3.319	0.79	0.865	1.034	2.336	0.027	1.278	0.828	2.005	1.108	1.559	2.438	2.242	0.853	1.345	3.338	0.669	5.557	1.153	3.724	0.335	4.102	0.883	4.693	1.316	0.37	1.079	1.557	1.151	0.357	1.832	0.448	3.505	1.452	1.683	0.204	1.226	0.316	0.537	0.295	9.27	13.558	9.029	8.129	7.596	2.102	5.23	0.631	6.647	4.19	0.766	4.803	4.127	8.727	1.119	2.823	0.163	0.107	0.109	0.0	0.118	0.024	0.229	0.132	0.841	0.0	0.0	0.016	0.014	0.239	0.49	0.015	0.609	0.658	1.192	0.107	1.2	3.146	0.713	0.346	0.083	0.039	0.529	1.461	6.392	8.45	2.116	0.939	0.18	7.487	0.204	0.467	2.402	2.204	0.317	0.609	0.476	3.346	0.4	1.808	2.212	2.303	2.549	0.401	1.697	2.417	1.537	1.44	0.111	0.916	1.524	4.76	0.232	0.506	1.954	6.147	3.013	0.309	3.04	0.367	2.53	1.603	0.093	0.988	0.917
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family				0.754	0.0	1.035	0.831	2.015	0.0	0.0	0.58	0.177	0.628	0.0	0.253	1.096	1.67	0.04	0.374	0.296	0.0	0.14	1.06	0.188	1.192	0.4	2.055	0.125	1.785	0.012	0.491	0.363	0.095	0.013	0.12	0.739	1.536	0.185	0.934	1.555	0.451	0.296	0.364	0.297	0.077	2.65	0.815	0.305	1.168	0.09	0.4	0.733	1.308	0.26	0.282	0.343	0.507	0.551	0.021	2.904	0.544	0.561	0.947	0.488	0.17	2.359	0.061	0.868	0.289	1.187	2.307	1.674	3.01	0.544	3.926	0.069	0.243	0.898	3.188	0.209	0.087	0.311	0.598	0.011	0.309	0.507	0.975	0.9	1.06	1.083	0.527	0.267	0.98	0.0	0.441	2.525	0.0	0.316	1.214	0.011	1.255	0.86	0.0	0.0	0.611	1.587	0.346	4.936	0.792	1.396	0.691	0.261	0.36	0.905	0.338	0.0	0.0	1.244	0.679	0.253	0.555	0.085	0.0	0.445	0.033	0.261	0.276	0.257	0.0	0.092	2.251	1.439	0.05	0.155	0.31	0.0	1.381	0.376	0.426	0.707	1.022	0.022	0.192	0.0	0.13	0.395	0.545	0.326	0.389	1.278	0.082	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae	family				0.0	0.0	0.056	0.0	0.0	0.0	0.0	0.028	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.086	0.037	0.0	0.025	0.0	0.017	0.0	0.0	0.08	0.0	0.0	0.0	0.012	0.0	0.174	0.159	0.0	0.093	0.0	0.0	0.0	0.0	0.07	0.011	0.0	0.0	0.066	0.0	0.0	0.023	0.0	0.0	0.0	0.021	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.213	0.0	0.009	0.0	0.0	0.108	0.013	0.0	0.0	0.0	0.037	0.0	0.0	0.069	0.0	0.265	0.046	0.0	0.154	0.012	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus				0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.041	0.0	0.126	0.0	0.0	1.23	0.011	0.0	0.235	0.0	0.0	0.0	0.024	0.0	0.016	0.0	0.0	0.0	0.174	0.0	0.737	0.026	0.0	0.067	0.0	0.0	0.743	0.429	0.0	0.0	0.012	0.39	0.015	0.0	0.0	0.826	0.019	0.03	0.622	0.0	0.371	0.168	0.0	0.56	0.0	0.158	0.0	0.087	0.0	0.0	0.658	0.0	0.873	0.054	0.0	0.0	0.0	0.446	0.663	0.021	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.86	0.0	0.0	0.016	0.0	0.0	0.0	0.543	0.0	0.024	0.0	0.0	0.634	0.0	0.0	0.0	2.932	0.028	4.23	0.0	0.03	0.0	0.352	0.009	0.024	0.0	0.809	0.027	0.025	1.581	0.063	0.0	0.0	0.183	0.0	0.038	0.0	0.0	0.0	0.037	0.0	0.0	0.139	0.012	0.0	0.199	0.0	0.077	0.023	0.0	0.0	0.0	0.033	0.0	0.058	0.0	0.135	0.0	0.624	0.021	0.189	0.0	0.42	0.0	0.052	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus				1.269	0.31	2.357	1.962	1.437	1.104	0.425	0.884	0.616	0.788	0.598	0.316	0.134	0.875	0.319	0.775	0.932	2.191	2.137	1.204	0.941	1.049	1.201	4.62	0.542	0.979	4.696	0.563	0.636	0.798	0.08	1.174	4.182	0.189	0.155	0.744	3.508	1.268	0.632	0.991	3.002	0.31	0.602	0.371	2.057	0.737	0.803	0.251	0.299	3.306	1.099	2.121	0.149	2.834	0.718	1.9	0.213	0.113	1.081	0.724	0.183	1.8	0.249	1.129	0.986	0.182	0.742	1.951	1.181	2.315	1.527	2.411	0.0	0.49	1.558	0.755	0.254	0.798	0.078	1.196	0.0	17.503	0.507	2.079	1.457	0.0	2.709	0.263	0.297	0.0	1.355	1.419	0.0	0.0	2.91	1.259	0.388	1.775	0.221	0.0	15.255	0.162	2.636	0.654	0.074	0.0	0.484	1.515	0.078	0.036	0.905	1.289	1.057	0.0	0.186	5.487	1.011	1.371	5.398	0.0	0.798	0.285	0.615	0.092	0.857	0.756	1.269	3.177	1.412	0.34	0.173	0.619	0.832	0.158	0.209	0.662	0.697	3.313	0.422	0.958	1.978	2.245	1.657	4.145	1.918	4.077	0.301	0.432	0.105
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus				1.771	0.296	8.85	2.277	8.008	0.573	0.446	2.446	3.0	0.936	0.87	2.085	2.281	2.717	0.199	4.179	3.28	4.168	3.506	2.328	1.529	2.893	2.212	6.586	1.514	4.06	0.168	2.744	2.738	3.002	0.346	4.063	6.53	1.448	2.431	0.744	10.597	3.144	1.466	4.81	2.973	3.089	2.701	3.761	2.423	3.606	2.559	0.782	1.648	6.464	2.098	11.399	1.089	7.131	2.747	6.298	2.123	1.837	6.949	4.049	3.022	4.354	2.705	2.197	1.267	1.209	1.759	3.02	1.28	3.241	4.593	4.764	1.009	1.783	2.429	3.67	0.263	0.288	1.305	1.975	0.011	15.893	0.76	2.225	2.014	0.0	10.407	1.568	0.502	0.0	2.709	1.419	0.0	3.033	3.733	4.62	0.343	4.422	6.472	0.047	5.524	5.86	12.951	2.148	4.936	0.0	1.551	1.847	1.174	2.409	2.69	7.971	0.787	0.606	3.025	5.799	3.35	6.248	3.083	1.217	3.682	0.154	1.723	0.668	1.595	1.02	2.518	5.974	5.064	1.237	1.433	4.388	1.738	2.249	3.747	2.002	3.514	9.786	2.109	1.532	6.565	8.451	4.401	4.963	6.589	5.594	4.965	1.955	0.955
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus				0.25	0.162	0.28	0.342	0.038	1.135	0.065	0.111	0.14	0.587	0.036	0.047	0.089	0.011	0.027	0.069	0.05	0.16	0.251	0.048	0.094	0.016	0.133	0.015	0.083	0.016	5.584	0.02	0.065	0.284	0.0	0.105	0.172	0.076	0.007	0.063	0.108	0.0	0.0	0.16	0.045	0.022	0.017	0.0	0.32	0.394	0.02	0.011	0.009	0.0	0.839	0.175	0.0	0.019	0.149	0.021	0.011	0.0	0.0	0.0	0.0	0.097	0.0	0.049	0.07	0.054	0.551	0.093	0.246	0.018	0.053	0.092	0.014	0.073	0.158	0.084	0.018	0.039	0.016	0.292	0.0	0.013	0.0	0.0	0.012	0.0	0.021	0.06	0.215	0.0	0.0	0.0	0.0	0.0	0.174	0.163	0.011	0.061	0.0	0.0	0.104	0.0	0.04	0.037	0.018	0.0	0.073	0.146	0.235	0.036	0.051	0.063	0.045	0.0	0.074	0.0	0.105	0.174	0.024	0.0	0.138	0.088	0.015	0.023	0.223	0.246	0.0	0.0	0.244	0.158	0.0	0.027	0.0	0.0	0.0	0.095	0.111	0.0	0.022	0.052	0.36	0.024	0.121	0.0	3.448	0.21	0.0	0.041	0.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus				1.453	1.859	7.878	5.49	4.604	2.635	0.54	3.261	4.312	5.984	2.718	18.847	13.711	1.001	0.146	4.967	7.945	1.015	5.755	8.75	4.411	6.582	5.53	1.905	2.375	3.602	3.291	2.232	3.179	6.749	0.386	6.56	1.491	1.095	4.16	4.797	0.904	7.849	0.551	4.417	9.349	26.558	2.564	0.482	3.489	3.873	1.445	1.17	11.058	5.946	5.675	8.861	1.941	2.59	0.52	3.245	17.877	2.223	9.289	0.39	1.193	2.627	1.036	2.798	8.989	7.127	2.649	8.129	15.373	2.173	2.35	5.843	1.548	3.97	2.402	6.46	7.048	4.163	31.51	9.096	0.0	1.664	0.887	1.186	0.711	0.0	1.479	0.527	1.445	0.0	0.797	0.473	0.0	0.08	2.816	1.155	0.853	6.273	18.421	2.255	5.983	10.426	6.912	3.123	0.148	0.008	1.651	8.157	1.252	0.216	0.905	3.066	0.45	0.802	22.327	0.768	6.11	4.044	0.658	2.527	2.93	16.082	2.738	15.509	1.578	1.864	6.418	0.201	2.81	5.522	0.725	2.719	0.629	1.618	2.255	3.136	2.373	0.964	5.906	1.463	8.498	11.037	7.518	6.73	3.631	4.154	8.953	4.939	5.97
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus				1.221	0.323	0.238	0.027	0.038	1.552	0.64	0.083	0.012	0.056	0.0	0.0	0.0	0.023	0.013	0.014	0.031	0.0	0.0	0.0	0.118	0.0	0.0	0.0	0.042	0.047	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.101	0.103	0.063	0.0	0.0	0.013	0.0	0.193	0.033	0.0	0.0	0.03	0.0	0.171	0.04	0.0	0.025	0.0	0.121	0.0	0.075	0.08	0.0	0.0	0.113	0.0	0.019	0.047	0.0	0.0	0.049	0.047	0.0	0.0	0.0	0.016	0.0	0.0	0.092	0.028	0.096	0.026	0.147	0.009	0.017	0.016	0.0	0.0	0.054	0.0	0.617	0.024	0.0	0.0	0.0	0.031	0.0	2.47	3.169	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.107	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.053	0.026	0.0	0.0	0.025	0.27	1.943	0.037	0.0	0.021	0.0	0.0	0.0	0.046	0.0	0.169	0.0	0.0	0.352	0.031	0.0	0.176	0.042	0.0	0.0	0.444	0.008	0.0	0.016	0.091	0.0	0.044	0.0	0.764	0.008	0.362	0.056	0.0	0.132	1.226	0.021	5.951
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus				0.361	0.0	0.35	0.374	0.547	0.0	0.036	0.442	0.195	0.353	0.0	0.126	0.224	0.0	0.053	0.235	0.22	0.561	0.321	0.514	0.282	0.382	0.114	1.89	0.222	0.664	0.0	0.235	0.13	4.125	0.013	0.211	0.515	0.176	0.015	0.0	0.687	0.743	0.108	0.029	0.208	0.055	0.103	0.371	0.457	0.076	0.231	0.017	0.037	0.395	0.06	0.336	0.123	1.389	0.47	0.64	0.348	0.136	0.287	0.557	0.02	0.438	0.441	1.853	0.164	0.107	0.127	1.889	0.148	2.725	0.757	0.884	0.636	0.532	0.845	0.797	0.1	0.223	0.249	0.139	0.0	2.188	0.181	0.0	0.474	0.0	1.646	0.012	0.154	0.0	1.275	0.0	0.0	0.0	0.585	0.296	0.011	0.352	0.23	0.0	1.392	0.018	1.264	0.42	0.25	0.0	1.441	0.465	0.0	0.036	0.051	1.051	0.405	0.0	0.297	1.503	0.653	0.174	0.28	0.0	0.43	0.0	0.077	0.035	0.0	0.105	0.102	0.424	0.584	0.108	0.035	0.498	0.388	0.15	0.031	0.615	2.252	0.573	0.444	0.157	0.0	1.228	0.0	0.404	0.428	0.513	0.0	0.0	0.0
