OLIGOTYPE_NAME,ABUNDANT_IN
V1V3_562_Firmicutes,ST
V1V3_563_Firmicutes,ST
V1V3_564_Firmicutes,ST
V1V3_565_Bacteroidetes,ST
V1V3_566_Betaproteobacteria,ST
V1V3_567_Firmicutes,ST
V1V3_568_Bacteroidetes,ST
V1V3_569_Bacteroidetes,ST
V1V3_570_Firmicutes,ST
V1V3_571_Bacteroidetes,ST
V1V3_572_Bacteroidetes,ST
V1V3_573_Betaproteobacteria,ST
V1V3_574_Firmicutes,ST
V1V3_575_Bacteroidetes,ST
V1V3_576_Betaproteobacteria,ST
V1V3_577_Bacteroidetes,ST
V1V3_578_Bacteroidetes,ST
V1V3_579_Bacteroidetes,ST
V1V3_580_Bacteroidetes,ST
V1V3_581_Bacteroidetes,ST
V1V3_582_Firmicutes,ST
V1V3_583_Bacteroidetes,ST
V1V3_584_Bacteroidetes,ST
V1V3_585_Bacteroidetes,ST
V1V3_586_Bacteroidetes,ST
V1V3_587_Bacteroidetes,ST
V1V3_588_Bacteroidetes,ST
V1V3_589_Firmicutes,ST
V1V3_590_Firmicutes,ST
V1V3_591_Firmicutes,ST
V1V3_592_Firmicutes,ST
V1V3_593_Firmicutes,ST
