OLIGOTYPE_NAME,ABUNDANT_IN
V1V3_106_Epsilonproteobacteria,"SUBP,SUPP,SV"
V1V3_107_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_108_Actinobacteria,"HP,TD"
V1V3_109_Actinobacteria,"PT,TD,TH"
V1V3_110_TM7,"SUBP,SUPP"
V1V3_111_Bacteroidetes,SUBP
V1V3_112_Epsilonproteobacteria,"SUBP,SUPP"
V1V3_113_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_114_Firmicutes,"BM,KG"
V1V3_115_Actinobacteria,"SUBP,SUPP"
V1V3_116_Actinobacteria,"SUBP,SUPP"
V1V3_117_Bacteroidetes,"PT,SUBP,SUPP"
V1V3_118_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_119_TM7,"SUBP,SUPP,SV"
V1V3_120_Actinobacteria,"PT,TD,TH"
V1V3_121_Bacteroidetes,"SUBP,SUPP"
V1V3_122_Actinobacteria,"SUBP,SUPP"
V1V3_123_Bacteroidetes,KG
V1V3_124_Fusobacteria,KG
V1V3_125_Bacteroidetes,SUBP
V1V3_126_Firmicutes,"BM,HP,KG"
V1V3_127_Bacteroidetes,KG
V1V3_128_Actinobacteria,"PT,TD,TH"
V1V3_129_Bacteroidetes,"SUBP,SUPP"
V1V3_130_Betaproteobacteria,"SUBP,SUPP"
V1V3_131_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_132_TM7,"SUBP,SUPP"
V1V3_133_Actinobacteria,"SUBP,SUPP"
V1V3_134_Firmicutes,"BM,PT"
V1V3_135_Gammaproteobacteria,SUPP
V1V3_136_Actinobacteria,"SUBP,SUPP"
V1V3_137_Firmicutes,TD
V1V3_138_Firmicutes,SV
V1V3_139_Bacteroidetes,"SUBP,SUPP"
V1V3_140_Fusobacteria,"SUBP,SUPP"
V1V3_141_Actinobacteria,"SUBP,SUPP"
V1V3_142_Actinobacteria,"SUBP,SUPP"
V1V3_143_Firmicutes,"KG,TH"
V1V3_144_Bacteroidetes,"SUBP,SUPP"
V1V3_145_Gammaproteobacteria,KG
V1V3_146_TM7,SV
V1V3_147_Actinobacteria,"SUBP,SUPP"
V1V3_148_Bacteroidetes,KG
V1V3_149_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_150_Firmicutes,"PT,TD,TH"
V1V3_151_Fusobacteria,SUPP
V1V3_152_Gammaproteobacteria,KG
V1V3_153_Bacteroidetes,"SUBP,SUPP"
V1V3_154_Actinobacteria,"HP,TD,TH"
V1V3_155_Betaproteobacteria,"SUBP,SUPP,SV"
V1V3_156_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_157_Betaproteobacteria,"SUBP,SUPP"
V1V3_158_Firmicutes,"PT,SV,TD"
V1V3_159_Actinobacteria,SUBP
V1V3_160_Actinobacteria,"SUBP,SUPP"
V1V3_161_Fusobacteria,"SUBP,SUPP"
V1V3_162_TM7,SUBP
V1V3_163_Fusobacteria,SUBP
V1V3_164_Bacteroidetes,"PT,SUBP"
V1V3_165_Actinobacteria,"SUBP,SUPP"
V1V3_166_Bacteroidetes,"BM,KG,SV,TH"
V1V3_167_Betaproteobacteria,"PT,TD,TH"
V1V3_168_Bacteroidetes,"PT,SV,TD,TH"
V1V3_169_Bacteroidetes,SUBP
V1V3_170_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_171_Bacteroidetes,"PT,SV,TD,TH"
V1V3_172_TM7,"SUBP,SUPP"
V1V3_173_Firmicutes,SUBP
V1V3_174_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_175_Firmicutes,"SUBP,SUPP"
V1V3_176_Actinobacteria,"HP,PT,TD,TH"
V1V3_177_Betaproteobacteria,"SUBP,SUPP"
V1V3_178_Bacteroidetes,"HP,SV,TD"
V1V3_179_Gammaproteobacteria,KG
V1V3_180_Actinobacteria,"SUBP,SUPP"
V1V3_181_Betaproteobacteria,SV
V1V3_182_Actinobacteria,"SUBP,SUPP"
V1V3_183_Spirochaetes,"PT,SUBP"
V1V3_184_Actinobacteria,"SUBP,SUPP"
V1V3_185_TM7,SV
V1V3_186_Fusobacteria,"SUBP,SUPP"
V1V3_187_Actinobacteria,"SUBP,SUPP"
V1V3_188_Actinobacteria,"PT,TD,TH"
V1V3_189_Firmicutes,"PT,SV,TD,TH"
V1V3_190_Betaproteobacteria,TD
