Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015006-RAF	S700015298-RAF	S700016085-RAF	S700016176-RAF	S700016661-RAF	S700021884-RAF	S700023275-RAF	S700023428-RAF	S700023485-RAF	S700023535-RAF	S700023629-RAF	S700023662-RAF	S700023796-RAF	S700023853-RAF	S700023944-RAF	S700023995-RAF	S700024103-RAF	S700024155-RAF	S700024262-RAF	S700024314-RAF	S700024433-RAF	S700024517-RAF	S700024562-RAF	S700024611-RAF	S700024681-RAF	S700024707-RAF	S700024760-RAF	S700024874-RAF	S700024926-RAF	S700024974-RAF	S700032040-RAF	S700032978-RAF	S700033032-RAF	S700033187-RAF	S700033489-RAF	S700033554-RAF	S700033611-RAF	S700033716-RAF	S700033783-RAF	S700034077-RAF	S700034134-RAF	S700034222-RAF	S700034828-RAF	S700034891-RAF	S700035210-RAF	S700037024-RAF	S700037050-RAF	S700037118-RAF	S700037171-RAF	S700037228-RAF	S700037331-RAF	S700037385-RAF	S700037433-RAF	S700037476-RAF	S700037556-RAF	S700037657-RAF	S700037708-RAF	S700037785-RAF	S700037842-RAF	S700037876-RAF	S700037924-RAF	S700038029-RAF	S700038154-RAF	S700038185-RAF	S700038255-RAF	S700038362-RAF	S700038410-RAF	S700038574-RAF	S700038622-RAF	S700038730-RAF	S700038898-RAF	S700038974-RAF	S700095269-RAF	S700095406-RAF	S700095463-RAF	S700095520-RAF	S700095703-RAF	S700095770-RAF	S700097287-RAF	S700097347-RAF	S700097684-RAF	S700098415-RAF	S700098595-RAF	S700098988-RAF	S700099055-RAF	S700099115-RAF	S700099799-RAF	S700099856-RAF	S700100075-RAF	S700100283-RAF	S700100346-RAF	S700100593-RAF	S700101277-RAF	S700101343-RAF	S700101568-RAF	S700101634-RAF	S700101691-RAF	S700101950-RAF	S700102295-RAF	S700102409-RAF	S700102641-RAF	S700102958-RAF	S700103297-RAF	S700103583-RAF	S700103649-RAF	S700105171-RAF	S700105330-RAF	S700105640-RAF	S700105900-RAF	S700106046-RAF	S700106322-RAF	S700106569-RAF	S700106719-RAF	S700106792-RAF	S700106904-RAF	S700106926-RAF	S700106974-RAF	S700107003-RAF	S700107093-RAF	S700112099-RAF	S700112808-RAF	S700113031-RAF	S700113101-RAF	S700113152-RAF	S700113531-RAF	S700113570-RAF	S700113644-RAF	S700113672-RAF	S700113743-RAF	S700113797-RAF	S700113848-RAF	S700114045-RAF	S700114187-RAF	S700114242-RAF	S700114295-RAF	S700114347-RAF	S700114415-RAF	S700114450-RAF	S700114513-RAF	S700114586-RAF	S700114643-RAF	S700114677-RAF	S700114725-RAF	S700114775-RAF	S700114826-RAF	S700114880-RAF	S700114929-RAF	S700116209-RAF	S700116334-RAF	S700116386-RAF	S700116476-RAF	S700116806-RAF	S700116836-RAF	S700116896-RAF	S700117633-RAF	S700117745-RAF	S700117856-RAF	S700118466-RAF	S700119098-RAF	S700119218-RAF	S700119618-RAF	S700120043-RAF	S700120093-RAF	S700121695-RAF	S700122400-RAF	S700123618-RAF	S700161626-RAF	S700161846-RAF	S700161900-RAF	S700161953-RAF	S700163038-RAF	S700163209-RAF	S700163549-RAF	S700163656-RAF	S700163707-RAF	S700163782-RAF	S700163916-RAF	S700163971-RAF	S700164078-RAF	S700164187-RAF	S700164220-RAF	S700164277-RAF	S700164347-RAF	S700164399-RAF	S700164495-RAF	S700164546-RAF	S700164763-RAF	S700164860-RAF	S700165140-RAF	S700165308-RAF	S700165404-RAF	S700165452-RAF	S700165662-RAF	S700165806-RAF	S700166081-RAF	S700166639-RAF	S700166831-RAF	S700171110-RAF	S700171143-RAF	S700171418-RAF	S700171469-RAF	S700171521-RAF	S700171569-RAF	S700171676-RAF	S700171887-RAF	S700171924-RAF	S700171983-RAF	S700172546-RAF	S700172705-RAF	S700172810-RAF	S700173020-RAF	S700173068-RAF	S700173317-RAF	S700173478-RAF	S700173574-RAF	S700173624-RAF	S700175301-RAF
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family				1.202	0.063	0.704	0.008	0.244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.675	2.123	0.0	0.0	0.0	0.0	0.0	0.11	0.986	1.759	0.115	0.0	0.142	1.564	0.0	0.0	0.506	0.0	0.0	0.0	0.0	0.0	0.148	0.0	0.06	0.337	0.162	0.237	0.0	0.874	0.263	0.0	0.0	0.374	0.021	2.011	0.433	3.295	0.0	0.0	1.248	0.22	0.0	0.462	2.524	0.473	0.0	0.362	0.0	0.018	0.165	0.554	0.927	0.195	0.474	0.164	0.025	0.0	0.0	0.0	0.0	0.086	0.0	0.042	0.381	0.0	4.23	0.412	0.72	2.903	0.427	0.306	5.44	0.077	0.109	0.0	0.021	0.322	2.51	0.571	0.0	0.034	0.0	0.0	0.0	0.649	0.013	0.0	1.683	0.0	0.0	1.292	0.288	0.088	1.389	0.0	5.688	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.392	0.528	2.228	0.711	1.254	0.0	0.074	0.037	0.765	0.375	0.373	0.855	0.69	0.081	1.048	0.81	2.107	0.798	0.595	1.844	0.077	1.087	0.0	0.86	1.045	1.281	8.682	0.0	1.051	0.519	1.564	0.084	6.721	0.347	11.085	0.0	0.281	0.798	0.0	0.0	0.223	0.0	0.556	0.0	4.991	1.088	0.0	0.0	0.08	0.311	0.0	1.301	0.0	0.0	0.0	0.107	0.506	1.374	0.352	1.206	0.26	0.441	0.029	0.016	0.142	0.159	0.925	0.681	5.171	0.851	0.336	0.991	1.465	0.0	1.692	0.0	0.0	0.0	0.0	0.0	9.476	0.835	0.54	0.277	0.261	0.0	1.568	0.195	0.224	1.271	0.18	0.0	0.027	0.408	0.298	0.933	0.0	0.158	2.279
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family				1.166	0.0	0.0	0.0	0.034	0.19	0.0	0.0	0.0	0.014	0.019	0.338	0.0	0.0	0.499	0.0	0.0	0.0	0.0	0.464	1.942	0.0	0.14	0.0	0.028	2.189	3.156	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.356	2.727	0.0	0.924	0.0	0.0	0.0	0.349	0.4	4.056	0.151	4.266	2.774	0.0	0.018	1.24	3.146	11.881	0.0	0.183	1.08	0.381	0.0	0.652	0.479	0.0	0.0	1.195	0.342	0.328	0.14	0.0	0.0	1.677	0.0	0.239	11.584	0.042	0.0	0.0	0.06	0.0	1.748	0.878	0.0	1.786	0.496	0.155	0.196	0.0	0.352	0.0	0.0	0.0	0.0	1.633	0.0	0.788	0.126	0.639	0.053	0.0	0.25	0.228	0.0	0.0	0.0	0.07	0.753	0.0	0.0	0.0	0.0	0.0	1.249	0.205	0.616	0.162	0.681	0.0	0.425	3.335	0.347	2.366	0.0	13.719	0.0	0.719	0.0	0.021	0.176	0.398	0.197	0.121	0.371	1.134	0.0	0.0	1.436	0.0	0.384	1.338	3.549	0.0	0.0	0.775	0.64	0.0	0.0	0.563	0.719	0.177	0.0	0.231	0.0	0.0	0.562	6.544	0.094	0.332	0.014	0.0	0.0	5.29	0.0	0.504	0.787	0.889	0.0	0.349	0.0	0.0	0.0	0.0	0.0	1.17	1.043	3.257	0.0	0.229	5.671	0.044	0.349	0.031	0.039	0.177	0.219	0.59	4.449	0.248	0.156	0.264	0.224	0.0	0.564	0.0	0.0	1.005	0.0	0.0	0.0	0.266	0.047	0.092	0.0	0.0	0.091	1.211	0.0	0.363	0.197	0.12	0.108	0.11	0.0	0.221	0.779	0.11	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family				0.481	0.0	1.461	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.628	0.0	0.0	0.0	0.381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.028	0.0	0.0	0.0	0.0	0.124	0.287	0.0	1.946	0.496	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.806	0.417	0.0	0.0	0.0	0.062	0.0	0.0	0.652	0.0	0.0	0.0	0.303	0.0	0.0	0.998	0.0	0.141	0.0	0.0	0.525	0.0	0.286	0.0	0.111	0.0	0.0	0.0	0.0	0.393	0.0	0.0	0.01	0.0	1.874	0.0	0.0	10.966	0.335	0.189	0.236	0.427	0.085	0.815	0.0	0.0	0.0	0.0	0.161	0.0	0.0	3.586	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.217	0.0	0.0	1.086	0.44	0.0	2.542	0.0	2.052	2.312	0.0	0.976	0.597	0.0	0.417	0.0	0.448	0.0	0.985	0.0	0.0	0.541	0.284	0.0	0.0	0.0	1.572	0.031	0.066	0.373	0.271	0.0	0.676	2.141	0.0	0.746	0.823	0.0	0.0	0.753	0.0	2.355	2.213	3.372	0.465	0.0	1.138	0.0	0.0	0.037	0.075	0.174	5.272	0.0	0.0	0.0	0.027	0.153	0.028	0.0	0.0	0.0	2.211	0.927	0.0	0.0	0.0	0.237	0.0	1.648	0.0	0.473	0.155	0.0	2.592	0.916	0.0	0.046	0.0	0.0	0.0	0.0	0.013	0.124	0.031	0.0	0.072	0.142	0.06	0.297	0.012	0.0	0.464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.096	0.0	0.346	0.059	0.0	2.397	0.0	0.024	0.0	0.173	0.476	0.688	0.089	0.0	12.304
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family				0.997	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.603	0.0	0.097	0.0	0.0	2.604	0.0	0.0	0.0	0.623	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.107	0.0	0.4	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.452	0.0	0.0	0.019	0.0	2.083	0.0	0.0	1.163	0.026	0.0	0.675	0.254	0.034	0.319	0.0	0.0	0.0	0.021	0.081	0.0	1.712	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.109	0.0	0.0	1.37	0.034	0.0	0.871	0.0	3.498	0.83	0.0	0.0	0.0	0.0	0.0	0.307	0.598	0.0	0.571	0.0	0.362	0.074	0.0	0.0	0.0	0.0	0.057	0.0	0.329	0.855	0.518	0.081	0.027	2.483	1.264	0.538	0.018	0.0	0.0	0.0	0.0	2.007	1.664	1.382	2.269	0.0	0.0	0.0	0.0	0.028	0.0	0.0	3.017	0.0	0.0	0.559	0.0	0.0	0.0	0.0	0.0	1.167	6.796	0.433	0.0	0.0	0.0	0.224	0.092	0.0	0.0	0.0	0.0	0.0	2.204	0.0	0.0	0.107	0.02	0.044	0.0	0.016	0.0	0.0	0.235	0.0	0.072	0.248	0.048	0.859	0.012	0.0	0.531	0.0	0.0	0.0	0.0	0.078	0.41	0.0	0.0	0.162	0.0	0.326	0.128	0.078	0.0	0.145	0.0	0.012	0.0	0.079	0.0	2.014	0.0	0.0	1.908
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family				0.436	0.0	0.352	0.298	0.0	0.0	2.581	0.178	0.0	0.0	2.041	0.773	1.068	0.0	0.0	0.308	0.0	1.838	1.104	0.0	0.561	0.0	0.444	0.0	0.0	0.078	2.964	0.852	0.0	0.101	0.0	0.0	1.027	0.0	0.0	0.0	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.722	0.113	0.017	1.58	0.0	2.567	0.0	0.253	0.083	0.048	0.0	0.0	0.32	0.125	0.095	0.0	0.241	0.628	0.089	1.037	0.181	0.0	0.068	0.051	0.0	2.141	0.062	0.0	0.0	0.0	0.0	0.718	0.0	0.0	0.052	0.0	0.0	0.0	0.119	0.0	0.0	0.0	0.0	0.456	0.805	0.0	0.0	0.0	0.0	0.0	0.0	7.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.165	0.0	0.0	0.79	0.0	0.0	1.819	0.0	1.304	0.55	0.697	0.0	0.0	0.0	0.0	0.0	0.388	0.0	3.997	0.055	0.0	0.0	0.0	0.0	0.049	0.094	0.318	0.864	0.878	0.555	0.0	2.083	0.0	0.335	0.0	0.0	0.0	0.0	0.378	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.195	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.129	0.0	0.0	0.0	0.702	0.0	0.0	0.233	0.0	0.194	0.0	0.235	0.0	0.0	0.532	0.096	0.0	0.095	0.0	0.0	0.166	0.0	0.0	0.0	0.0	0.0	0.0	0.282	0.092	0.0	0.0	0.0	0.0	0.0	0.763	0.0	0.0	0.0	0.581	0.179	0.0	0.045	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family				0.0	1.945	0.839	0.0	0.0	0.0	0.0	0.0	0.0	0.746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.596	0.0	1.635	0.182	0.0	0.28	0.0	0.0	0.078	3.37	1.293	0.938	0.0	0.0	0.0	0.757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.374	0.0	0.402	0.075	0.0	0.089	0.129	0.0	0.083	0.0	0.0	1.13	0.031	0.0	0.0	0.081	0.0	0.298	0.036	0.0	0.0	0.408	0.019	0.0	0.0	0.098	0.161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	0.0	0.0	0.38	0.295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	2.449	0.0	0.0	0.0	0.375	0.0	0.831	0.0	0.04	1.26	0.216	0.0	0.33	0.0	1.81	0.0	0.0	2.598	0.0	0.0	0.0	0.0	0.881	0.838	0.087	0.169	0.0	0.0	0.0	0.0	0.0	0.022	1.836	0.0	0.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.174	0.0	0.694	0.0	0.0	0.0	0.032	0.0	2.188	0.0	0.061	0.02	0.0	0.61	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae	family				0.0	0.0	0.0	0.0	0.161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.588	0.27	0.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.19	0.0	0.391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.763	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.043	0.06	0.0	0.0	0.0	0.0	0.0	0.145	0.0	0.013	0.0	0.0	0.113	0.0	0.0	0.048	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.587	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.486	0.0	0.0	0.0	0.034	0.009	0.0	0.064	0.059	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.069	0.0	0.134	0.285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.634	0.0	0.0	1.432	0.717	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.55	0.137	0.0	0.038	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.521	0.255	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.318	0.0	0.454	0.0	0.0	0.0	0.0	0.0	0.0	0.534	0.0	0.0	0.0	0.0	0.13	0.191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.386	0.173	0.054	0.557	0.0	0.0	0.191	0.0	0.0	0.0	0.0	0.0	1.31	0.23	0.0	0.029	0.0	0.0	0.0	0.085	0.0	0.0	0.058	0.0	0.059	0.0	0.0	0.027	0.179	6.898	0.0	0.0	0.0	0.0	0.0	0.0	0.425	0.0	0.187	2.291	0.0	0.0	0.135	0.0	0.075	0.0	0.0	0.0	0.031	0.3	0.0	0.145	0.0	0.298	0.053	0.078	0.0	0.0	1.774	0.084	0.0	0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.188	0.254	0.0	0.0	0.401	0.02	0.0	0.036	0.251	0.0	0.0	0.047	0.0	0.0	0.356	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.258	0.0	5.132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.936	0.0	0.0	0.349	0.016	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.494	0.0	0.0	0.0	0.0	0.0	0.0	0.088	0.0	0.0	0.0	0.154	0.117	0.0	0.0	2.331	0.0	0.0	0.303	0.0	0.0	0.0	0.168	0.0	0.0	0.0	0.0	0.0	0.429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.166	0.0	0.0	0.0	1.334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	2.461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.174	0.0	0.03	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.023	1.585	0.0	0.0	0.0	0.737	0.0	0.0	0.0	0.0	0.0	0.0	0.311	0.0	0.04	0.0	0.843	0.0	0.13	0.618	0.0	0.0	0.048	0.177	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	0.255	0.078	5.963	0.0	0.09	0.0	0.027	0.0	0.0	0.0	0.0	0.049	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family				0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.019	0.391	0.0	0.0	0.0	0.371	0.0	0.0	0.0	0.0	0.0	0.493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.201	1.623	0.0	0.0	0.303	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.357	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.187	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.178	0.0	0.0	0.081	0.0	0.0	0.129	0.0	0.477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.319	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.108	0.0	0.027	0.256	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.274	0.0	0.0	0.0	0.0	0.0	0.172	0.0	0.0	0.331	0.0	0.0	0.0	0.494	0.016	0.039	0.0	0.094	0.0	0.0	0.071	0.096	0.0	0.012	0.167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.0	0.0	0.161	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family				1.015	4.078	0.866	0.604	0.0	13.148	23.323	2.674	51.123	14.616	13.197	1.738	52.748	31.46	2.474	0.0	0.243	1.983	1.59	2.121	0.713	31.141	0.411	0.481	0.028	0.782	1.258	2.616	0.563	0.09	0.0	0.0	0.432	0.886	6.642	0.067	0.0	0.0	0.086	0.375	0.0	0.0	0.417	0.0	0.0	4.01	0.113	1.944	0.508	0.786	0.089	0.148	0.289	1.378	0.048	0.242	3.296	0.32	1.408	0.476	0.162	1.81	3.141	1.573	1.437	0.125	0.764	0.551	0.025	0.303	0.0	0.087	0.0	0.038	0.0	1.097	0.695	0.0	2.386	0.0	0.257	0.81	0.027	0.272	0.319	0.0	0.065	0.0	0.041	0.483	0.0	0.0	0.0	0.017	0.0	0.0	0.052	0.0	0.04	0.0	0.901	0.0	0.0	0.0	0.152	0.0	0.0	0.0	0.0	1.581	0.0	0.0	0.0	0.058	1.431	0.647	0.996	0.0	1.758	0.0	0.68	0.074	1.016	4.664	7.846	0.0	0.524	0.177	0.0	0.831	0.0	0.242	1.181	1.566	15.209	0.746	0.245	6.899	0.096	0.878	0.0	2.498	0.372	0.405	3.112	12.645	1.226	0.433	0.127	0.0	0.672	0.347	0.073	0.0	0.043	1.117	0.0	0.0	0.0	0.0	0.0	0.0	6.145	0.0	0.0	0.0	0.0	0.374	0.0	1.995	0.0	0.0	0.0	0.064	0.357	1.883	0.0	0.0	0.04	0.0	0.116	0.016	0.0	0.018	0.909	0.068	0.0	0.532	0.036	0.165	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.332	0.721	0.0	0.0	0.316	0.782	0.0	0.039	25.084	0.036	0.0	0.0	0.0	0.063	0.0	4.52	0.0	0.0	0.0
