Taxonomy	Rank	HMT	Notes	Max	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev
Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae	family			0.01	0.01	0.0	0.0	0.056	3.947
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Mobiluncus	genus			0.149	0.149	0.0	0.0	1.29	7.895
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	genus			0.078	0.078	0.0	0.02	0.453	13.158
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.011	0.011	0.0	0.0	0.088	3.947
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea	genus			0.919	0.919	0.0	0.0	5.468	7.895
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.585	0.585	0.0	0.088	3.459	28.947
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			0.006	0.006	0.0	0.012	0.023	15.789
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	genus			0.014	0.014	0.0	0.0	0.111	2.632
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			90.193	90.193	75.855	99.83	21.627	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	genus			0.88	0.88	0.0	1.743	2.148	71.053
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			0.23	0.23	0.0	0.32	0.894	53.947
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7]	genus			0.176	0.176	0.0	0.042	0.869	18.421
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus			0.814	0.814	0.0	0.0	7.098	1.316
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.044	0.044	0.0	0.006	0.282	10.526
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.683	0.683	0.0	0.365	3.413	27.632
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.444	0.444	0.0	0.0	2.297	6.579
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			0.125	0.125	0.0	0.0	0.891	9.211
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilaceae [G3]	genus			0.055	0.055	0.0	0.02	0.331	11.842
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			0.028	0.028	0.0	0.0	0.212	7.895
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus			0.37	0.37	0.0	0.0	2.763	7.895
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.003	0.003	0.0	0.0	0.011	7.895
