Taxonomy	Rank	HMT	Notes	Max	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			0.001	0.001	0.0	0.0	0.007	1.571
Bacteria;Bacillota;Bacilli;Caryophanales	order			0.029	0.029	0.0	0.02	0.314	18.848
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family			3.965	3.965	0.0	7.729	13.148	36.126
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			0.042	0.042	0.0	0.029	0.415	19.372
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			0.009	0.009	0.0	0.0	0.095	3.665
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae	family			0.022	0.022	0.0	0.032	0.091	17.277
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			0.657	0.657	0.0	0.026	6.851	23.56
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			1.305	1.305	0.0	0.432	4.935	14.66
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.586	0.586	0.0	0.182	3.921	25.654
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae	family			0.016	0.016	0.0	0.0	0.119	6.283
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			87.59	87.59	35.281	99.979	28.814	98.429
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			0.053	0.053	0.0	0.0	0.402	8.377
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			1.158	1.158	0.0	0.019	7.963	13.089
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			1.016	1.016	0.0	1.157	4.005	25.654
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.032	0.032	0.0	0.081	0.105	29.843
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.801	0.801	0.0	0.0	4.755	6.806
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.015	0.015	0.0	0.01	0.122	11.518
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.004	0.004	0.0	0.0	0.026	6.806
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			0.001	0.001	0.0	0.0	0.007	1.571
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.029	0.029	0.0	0.02	0.314	18.848
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	genus			1.066	1.066	0.0	0.0	8.126	5.759
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	genus			2.899	2.899	0.0	6.41	9.317	32.984
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			0.042	0.042	0.0	0.029	0.415	19.372
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			0.009	0.009	0.0	0.0	0.095	3.665
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium	genus			0.022	0.022	0.0	0.032	0.091	17.277
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			0.657	0.657	0.0	0.026	6.851	23.56
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea	genus			1.305	1.305	0.0	0.432	4.935	14.66
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.586	0.586	0.0	0.182	3.921	25.654
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	genus			0.016	0.016	0.0	0.0	0.119	6.283
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			87.083	87.083	34.797	99.931	28.77	98.429
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	genus			0.508	0.508	0.0	1.719	0.921	60.733
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			0.053	0.053	0.0	0.0	0.402	8.377
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7]	genus			0.041	0.041	0.0	0.011	0.222	11.518
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus			1.117	1.117	0.0	0.0	7.964	2.094
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.149	0.149	0.0	0.335	0.565	25.654
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.866	0.866	0.0	0.0	3.844	8.377
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			0.032	0.032	0.0	0.081	0.105	29.843
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus			0.801	0.801	0.0	0.0	4.755	6.806
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.015	0.015	0.0	0.01	0.122	11.518
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.004	0.004	0.0	0.0	0.026	6.806
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.001	0.001	0.0	0.0	0.007	1.571
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.029	0.029	0.0	0.02	0.314	18.848
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;breve	species	889		1.018	1.018	0.0	0.0	8.104	3.665
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;dentium	species	588		0.031	0.031	0.0	0.0	0.42	3.665
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;scardovii	species	891		0.017	0.017	0.0	0.0	0.232	1.047
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis	species	829		2.899	2.899	0.0	6.41	9.317	32.984
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		0.042	0.042	0.0	0.029	0.415	19.372
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		0.009	0.009	0.0	0.0	0.095	3.665
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;neoaurum	species	692		0.022	0.022	0.0	0.032	0.091	17.277
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		0.657	0.657	0.0	0.026	6.851	23.56
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea;vaginae	species	814		1.305	1.305	0.0	0.432	4.935	14.66
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;bivia	species	556		0.48	0.48	0.0	0.132	3.651	25.131
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola	species	291		0.106	0.106	0.0	0.0	1.467	0.524
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis	species	604		0.016	0.016	0.0	0.0	0.119	6.283
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus	species	817	Because HMT-529 is not present individually, all equidistant reads were assigned to HMT-817 at this body site (PFO).	50.46	50.46	0.0	99.623	45.914	68.586
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		20.132	20.132	0.0	87.325	34.148	59.162
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii	species	839		9.335	9.335	0.0	20.833	23.598	66.492
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;coleohominis	species	816		0.059	0.059	0.0	0.123	0.201	13.613
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;vaginalis	species	051	Reads equidistant to HMT-051 and HMT-938 were assigned to each taxon in proportion to the abundance of HMT-051 and HMT-938 individually at this body site (PFO).	0.068	0.068	0.0	0.076	0.335	20.419
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;agalactiae	species	537		0.053	0.053	0.0	0.0	0.402	8.377
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7];bacterium HMT-086	species	086		0.036	0.036	0.0	0.01	0.202	10.471
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7];bacterium HMT-163	species	163		0.005	0.005	0.0	0.0	0.052	2.618
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9];bacterium HMT-924	species	924		1.117	1.117	0.0	0.0	7.964	2.094
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;micraerophilus	species	843		0.149	0.149	0.0	0.335	0.565	25.654
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;sp. HMT-841	species	841		0.866	0.866	0.0	0.0	3.844	8.377
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia;magna	species	662		0.032	0.032	0.0	0.081	0.105	29.843
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;sanguinegens	species	837		0.141	0.141	0.0	0.0	1.113	4.188
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;vaginalis	species	844		0.66	0.66	0.0	0.0	4.33	6.283
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004		0.015	0.015	0.0	0.01	0.122	11.518
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406		0.004	0.004	0.0	0.0	0.026	6.806
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706		0.001	0.001	0.0	0.0	0.007	1.571
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;haemolysans	species	626	Neither HMT-626 nor HMT-757 were present singularly so these reads were split evenly at this site (PFO).	0.015	0.015	0.0	0.01	0.157	18.848
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;sanguinis	species	757	Neither HMT-626 nor HMT-757 were present singularly so these reads were split evenly at this site (PFO).	0.015	0.015	0.0	0.01	0.157	18.848
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;gasseri	species	615	Neither HMT-615 nor HMT-819 were present singularly so these reads were split evenly at this site (PFO).	3.578	3.578	0.0	7.268	11.363	45.026
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;johnsonii	species	819	Neither HMT-615 nor HMT-819 were present singularly so these reads were split evenly at this site (PFO).	3.578	3.578	0.0	7.268	11.363	45.026
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri;clade-938	subspecies	938	Reads equidistant to HMT-051 and HMT-938 were assigned to each taxon in proportion to the abundance of HMT-051 and HMT-938 individually at this body site (PFO).	0.381	0.381	0.0	0.985	0.795	54.974
UNMATCHED				2.698	2.698	0.0	4.989	8.141	83.246
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri	species		combined from subspecies	0.381	0.381	0.0	0.985	0.795	54.974
