Taxonomy	Rank	HMT	Notes	Max	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			0.55	0.55	0.0	1.166	1.769	61.465
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family			0.151	0.151	0.0	0.048	1.371	19.745
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			9.834	9.834	0.072	33.517	19.066	97.452
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			0.245	0.245	0.0	0.731	0.437	70.701
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			0.367	0.367	0.0	0.519	1.725	44.586
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			68.215	68.215	5.154	98.214	34.2	100.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.047	0.047	0.0	0.006	0.483	10.828
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			0.456	0.456	0.0	0.385	1.936	38.535
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.238	0.238	0.0	0.138	1.299	25.796
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.025	0.025	0.0	0.0	0.201	7.006
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			0.285	0.285	0.0	0.224	1.264	29.299
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.068	0.068	0.0	0.041	0.403	15.287
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.533	0.533	0.0	0.71	2.381	58.599
Bacteria;Bacillota;Bacilli;Caryophanales;Listeriaceae	family			0.005	0.005	0.0	0.0	0.059	2.229
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			3.741	3.741	0.023	10.633	8.337	94.904
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.066	0.066	0.0	0.092	0.336	22.93
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			0.339	0.339	0.0	0.56	1.819	44.586
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae	family			0.059	0.059	0.0	0.015	0.415	12.739
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.916	0.916	0.0	0.351	7.654	36.943
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			0.463	0.463	0.0	0.603	1.741	53.822
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.043	0.043	0.0	0.037	0.202	16.561
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.01	0.01	0.0	0.0	0.063	6.051
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			0.03	0.03	0.0	0.031	0.167	14.65
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			0.806	0.806	0.0	1.721	2.637	64.968
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			3.062	3.062	0.0	9.16	8.484	70.382
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			0.864	0.864	0.0	1.108	3.072	57.962
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.168	0.168	0.0	0.149	0.806	29.299
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.051	0.051	0.0	0.087	0.231	23.248
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family			0.024	0.024	0.0	0.014	0.119	14.013
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae	family			0.01	0.01	0.0	0.0	0.075	7.962
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.248	0.248	0.0	0.251	1.503	27.389
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.332	0.332	0.0	0.464	2.356	51.274
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.248	0.248	0.0	0.27	1.211	50.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			1.782	1.782	0.0	1.73	8.197	61.146
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.012	0.012	0.0	0.0	0.137	2.548
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	family			0.102	0.102	0.0	0.0	1.797	0.637
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family			0.246	0.246	0.0	0.273	2.387	39.49
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			1.525	1.525	0.0	1.508	5.912	61.783
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.598	0.598	0.0	0.639	4.238	52.866
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			0.309	0.309	0.0	0.368	1.464	46.178
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			0.241	0.241	0.0	0.456	0.907	42.675
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	genus			0.017	0.017	0.0	0.019	0.091	13.057
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	genus			0.134	0.134	0.0	0.0	1.369	7.325
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			9.834	9.834	0.072	33.517	19.066	97.452
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			0.245	0.245	0.0	0.731	0.437	70.701
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			0.367	0.367	0.0	0.519	1.725	44.586
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia	genus			0.031	0.031	0.0	0.0	0.424	5.414
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			68.184	68.184	5.154	98.214	34.25	99.682
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.047	0.047	0.0	0.006	0.483	10.828
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			0.456	0.456	0.0	0.385	1.936	38.535
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			0.149	0.149	0.0	0.051	1.094	17.516
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			0.09	0.09	0.0	0.018	0.507	12.739
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella	genus			0.025	0.025	0.0	0.0	0.201	7.006
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			0.285	0.285	0.0	0.224	1.264	29.299
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			0.068	0.068	0.0	0.041	0.403	15.287
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.533	0.533	0.0	0.71	2.381	58.599
Bacteria;Bacillota;Bacilli;Caryophanales;Listeriaceae;Brochothrix	genus			0.005	0.005	0.0	0.0	0.059	2.229
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			3.741	3.741	0.023	10.633	8.337	94.904
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.066	0.066	0.0	0.092	0.336	22.93
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			0.339	0.339	0.0	0.56	1.819	44.586
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	genus			0.059	0.059	0.0	0.015	0.415	12.739
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			0.916	0.916	0.0	0.351	7.654	36.943
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	genus			0.058	0.058	0.0	0.037	0.498	13.694
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			0.406	0.406	0.0	0.462	1.679	47.452
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus			0.01	0.01	0.0	0.0	0.118	2.229
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia	genus			0.032	0.032	0.0	0.024	0.166	14.65
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"]	genus			0.01	0.01	0.0	0.0	0.063	6.051
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	genus			0.03	0.03	0.0	0.031	0.167	14.65
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.071	0.071	0.0	0.143	0.318	24.841
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			0.735	0.735	0.0	1.17	2.608	55.732
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			2.491	2.491	0.0	7.362	7.111	59.873
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			0.382	0.382	0.0	0.269	2.921	36.624
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus	genus			0.189	0.189	0.0	0.256	0.907	25.159
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			0.864	0.864	0.0	1.108	3.072	57.962
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			0.086	0.086	0.0	0.089	0.361	20.064
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			0.082	0.082	0.0	0.049	0.568	19.427
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	genus			0.005	0.005	0.0	0.0	0.029	5.414
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	genus			0.045	0.045	0.0	0.066	0.229	19.745
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	genus			0.024	0.024	0.0	0.014	0.119	14.013
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium	genus			0.01	0.01	0.0	0.0	0.075	7.962
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.248	0.248	0.0	0.251	1.503	27.389
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			0.07	0.07	0.0	0.077	0.351	22.293
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.262	0.262	0.0	0.276	2.338	34.713
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	genus			0.051	0.051	0.0	0.065	0.219	24.522
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	genus			0.07	0.07	0.0	0.0	0.802	7.962
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	genus			0.107	0.107	0.0	0.076	0.77	27.707
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix	genus			0.019	0.019	0.0	0.0	0.22	6.688
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.054	0.054	0.0	0.076	0.236	21.656
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.064	0.064	0.0	0.089	0.235	23.885
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			0.583	0.583	0.0	0.195	4.145	30.892
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1]	genus			1.063	1.063	0.0	0.321	7.126	27.707
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella	genus			0.017	0.017	0.0	0.0	0.28	1.592
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			0.012	0.012	0.0	0.0	0.137	2.548
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	genus			0.102	0.102	0.0	0.0	1.797	0.637
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter	genus			0.036	0.036	0.0	0.028	0.225	14.331
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	genus			0.011	0.011	0.0	0.003	0.073	10.191
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	genus			0.198	0.198	0.0	0.11	2.375	24.841
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	genus			0.182	0.182	0.0	0.115	1.54	25.796
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			1.344	1.344	0.0	1.062	5.633	59.554
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	genus			0.323	0.323	0.0	0.354	2.719	47.771
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter	genus			0.138	0.138	0.0	0.021	1.636	16.879
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus			0.138	0.138	0.0	0.021	1.636	16.879
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;massiliensis	species	852		0.023	0.023	0.0	0.0	0.183	9.554
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;naeslundii	species	176		0.073	0.073	0.0	0.072	0.49	21.338
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169		0.093	0.093	0.0	0.124	0.427	28.344
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT-172	species	172		0.049	0.049	0.0	0.05	0.217	17.834
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;dentium	species	588		0.017	0.017	0.0	0.019	0.091	13.057
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis	species	829		0.134	0.134	0.0	0.0	1.369	7.325
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;accolens	species	019		0.171	0.171	0.0	0.127	1.1	42.357
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;amycolatum	species	031		0.12	0.12	0.0	0.056	1.218	17.197
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;durum	species	595		0.071	0.071	0.0	0.064	0.475	21.019
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;kroppenstedtii	species	049		0.765	0.765	0.0	0.328	4.414	21.338
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;matruchotii	species	666		0.125	0.125	0.0	0.062	0.725	25.796
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pilbarense	species	054		0.082	0.082	0.0	0.175	0.351	37.58
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;propinquum	species	059		0.013	0.013	0.0	0.0	0.066	8.599
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		8.361	8.361	0.0	30.386	18.094	87.261
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuscaniense	species	184		0.066	0.066	0.0	0.075	0.576	21.975
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		0.245	0.245	0.0	0.731	0.437	70.701
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		0.092	0.092	0.0	0.053	0.613	17.834
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		0.142	0.142	0.0	0.056	1.04	22.293
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		0.132	0.132	0.0	0.194	0.592	28.981
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;rubra	species	194		0.031	0.031	0.0	0.0	0.424	5.414
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		67.998	67.998	5.154	98.072	34.233	99.682
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;avidum	species	552		0.142	0.142	0.0	0.289	0.44	50.637
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;modestum	species	193		0.044	0.044	0.0	0.0	0.486	5.732
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		0.047	0.047	0.0	0.006	0.483	10.828
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279		0.441	0.441	0.0	0.316	1.921	35.032
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-930	species	930		0.014	0.014	0.0	0.003	0.117	10.191
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-473	species	473		0.0	0.0	0.0	0.0	0.0	0.318
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae	species	466		0.149	0.149	0.0	0.051	1.094	17.197
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;nanceiensis	species	299		0.09	0.09	0.0	0.018	0.507	12.739
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;serpentiformis	species	286		0.025	0.025	0.0	0.0	0.201	7.006
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis	species	337		0.147	0.147	0.0	0.109	0.723	21.019
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri	species	329		0.066	0.066	0.0	0.029	0.452	14.65
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena	species	775		0.071	0.071	0.0	0.048	0.35	15.924
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella;sp. HMT-322	species	322		0.068	0.068	0.0	0.041	0.403	15.287
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;sanguinis	species	757	Because HMT-626 is not present individually, all equidistant reads were assigned to HMT-757 at this body site (LRC).	0.533	0.533	0.0	0.71	2.381	58.599
Bacteria;Bacillota;Bacilli;Caryophanales;Listeriaceae;Brochothrix;thermosphacta	species	241		0.005	0.005	0.0	0.0	0.059	2.229
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;haemolyticus	species	120		3.741	3.741	0.023	10.633	8.337	94.904
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva	species	389		0.066	0.066	0.0	0.092	0.336	22.93
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens	species	534		0.197	0.197	0.0	0.397	0.765	36.624
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans	species	596		0.142	0.142	0.0	0.068	1.575	22.293
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;durans	species	880		0.059	0.059	0.0	0.015	0.415	12.739
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus	species	817	Because HMT-529 is not present individually, all equidistant reads were assigned to HMT-817 at this body site (LRC).	0.302	0.302	0.0	0.117	2.487	21.656
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		0.482	0.482	0.0	0.113	4.484	18.79
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii	species	839		0.132	0.132	0.0	0.0	2.103	5.414
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;lactis	species	804		0.058	0.058	0.0	0.037	0.498	13.694
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	species	758		0.221	0.221	0.0	0.33	1.07	43.312
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9];bacterium HMT-924	species	924		0.01	0.01	0.0	0.0	0.118	2.229
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia;satelles	species	095		0.032	0.032	0.0	0.024	0.166	14.65
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"];sulci	species	467		0.01	0.01	0.0	0.0	0.063	6.051
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;multacida	species	684		0.03	0.03	0.0	0.031	0.167	14.65
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus	species	118		0.071	0.071	0.0	0.143	0.318	24.841
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;atypica	species	524		0.106	0.106	0.0	0.04	0.72	14.65
