Taxonomy	Rank	HMT	Notes	Max	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev
Bacteria;Bacillota;Clostridia;Eubacteriales	order			1.745	1.745	0.0	5.385	5.151	75.0
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales	order			0.001	0.001	0.0	0.0	0.017	0.287
Bacteria;Bacillota;Negativicutes;Veillonellales	order			0.184	0.184	0.0	0.252	0.842	53.736
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.295	0.295	0.0	0.293	1.52	49.713
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1]	order			0.007	0.007	0.0	0.0	0.111	1.437
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order			0.043	0.043	0.0	0.039	0.341	23.563
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	order			0.049	0.049	0.0	0.034	0.345	22.126
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales	order			0.011	0.011	0.0	0.02	0.059	15.23
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales	order			0.004	0.004	0.0	0.0	0.029	4.885
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.014	0.014	0.0	0.01	0.076	13.793
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.413	0.413	0.0	0.573	1.592	68.678
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			1.516	1.516	0.0	0.865	8.76	64.655
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.082	0.082	0.0	0.04	0.458	18.103
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales	order			0.007	0.007	0.0	0.0	0.079	5.172
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			0.025	0.025	0.0	0.0	0.262	8.908
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			0.048	0.048	0.0	0.095	0.151	37.069
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.038	0.038	0.0	0.047	0.264	28.161
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.007	0.007	0.0	0.0	0.063	7.184
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			0.044	0.044	0.0	0.028	0.255	21.264
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			0.135	0.135	0.0	0.218	0.657	47.989
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			7.222	7.222	0.067	23.904	12.953	94.828
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			0.493	0.493	0.0	1.552	0.775	79.598
