Taxonomy	Rank	HMT	Notes	Max	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev
Bacteria;Bacillota;Bacilli;Lactobacillales	order			7.49	7.49	0.262	20.706	10.972	99.0
Bacteria;Bacillota;Clostridia;Eubacteriales	order			2.896	2.896	0.022	7.422	3.462	92.667
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales	order			0.008	0.008	0.0	0.0	0.05	7.667
Bacteria;Bacillota;Negativicutes;Veillonellales	order			0.272	0.272	0.0	0.724	0.652	70.667
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.182	0.182	0.0	0.383	0.711	59.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order			0.017	0.017	0.0	0.023	0.091	16.667
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	order			0.053	0.053	0.0	0.086	0.264	28.333
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales	order			0.027	0.027	0.0	0.007	0.388	11.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales	order			0.002	0.002	0.0	0.0	0.02	2.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.012	0.012	0.0	0.011	0.084	11.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			3.131	3.131	0.0	10.361	7.181	83.667
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			1.9	1.9	0.0	4.655	5.561	81.667
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.327	0.327	0.0	0.366	2.362	21.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			0.157	0.157	0.0	0.359	0.587	35.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			0.095	0.095	0.0	0.13	0.683	46.667
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			1.16	1.16	0.0	1.011	5.659	43.333
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			0.019	0.019	0.0	0.031	0.103	18.333
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae	family			0.004	0.004	0.0	0.0	0.033	3.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			0.182	0.182	0.0	0.444	0.38	66.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			32.853	32.853	5.428	64.569	22.171	99.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			5.442	5.442	0.0	15.535	7.152	86.667
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Brevibacteriaceae	family			0.005	0.005	0.0	0.0	0.077	2.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			0.221	0.221	0.0	0.446	0.621	70.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			23.564	23.564	6.702	45.626	16.103	99.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.009	0.009	0.0	0.01	0.042	11.0
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae	family			0.021	0.021	0.0	0.0	0.332	4.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			0.088	0.088	0.0	0.188	0.332	38.667
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.366	0.366	0.0	0.919	1.037	63.333
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			0.012	0.012	0.0	0.029	0.049	17.667
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.034	0.034	0.0	0.104	0.095	28.0
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.128	0.128	0.0	0.357	0.291	53.667
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			16.08	16.08	2.7	35.02	14.792	99.333
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.039	0.039	0.0	0.103	0.185	23.667
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			4.318	4.318	0.0	16.134	8.671	73.333
