Taxonomy	Rank	HMT	Notes	Max	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.82	0.82	0.0	1.031	3.168	52.113
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			0.094	0.094	0.0	0.274	0.165	66.197
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			82.183	82.183	45.049	98.921	24.23	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			0.7	0.7	0.0	2.295	2.435	71.831
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.998	0.998	0.0	0.22	5.442	32.394
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.04	0.04	0.0	0.049	0.184	21.127
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			1.339	1.339	0.0	3.899	3.962	47.887
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			1.193	1.193	0.0	3.709	2.709	85.915
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			0.174	0.174	0.0	0.03	0.83	18.31
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.323	0.323	0.0	0.0	2.332	7.042
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.01	0.01	0.0	0.011	0.037	11.268
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Boseaceae	family			0.005	0.005	0.0	0.016	0.014	16.901
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.013	0.013	0.0	0.066	0.033	19.718
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae	family			0.29	0.29	0.0	0.053	1.97	29.577
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.06	0.06	0.0	0.026	0.33	15.493
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			0.106	0.106	0.0	0.026	0.565	12.676
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.231	0.231	0.0	0.187	1.018	30.986
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.282	0.282	0.0	0.841	0.68	40.845
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family			0.186	0.186	0.0	0.101	1.165	28.169
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Mobiluncus	genus			0.11	0.11	0.0	0.011	0.871	14.085
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	genus			0.043	0.043	0.0	0.116	0.156	21.127
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			0.056	0.056	0.0	0.143	0.149	50.704
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			0.064	0.064	0.0	0.169	0.184	52.113
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.038	0.038	0.0	0.0	0.212	8.451
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea	genus			0.887	0.887	0.0	0.778	3.584	16.901
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olegusella	genus			0.017	0.017	0.0	0.027	0.068	19.718
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			0.026	0.026	0.0	0.031	0.105	19.718
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.82	0.82	0.0	1.031	3.168	52.113
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			0.094	0.094	0.0	0.274	0.165	66.197
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			81.49	81.49	44.883	98.325	24.32	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	genus			0.694	0.694	0.0	1.981	1.165	66.197
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			0.7	0.7	0.0	2.295	2.435	71.831
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7]	genus			0.159	0.159	0.0	0.101	0.651	28.169
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus			0.839	0.839	0.0	0.0	5.428	4.225
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.04	0.04	0.0	0.049	0.184	21.127
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter	genus			0.113	0.113	0.0	0.0	0.883	4.225
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.396	0.396	0.0	0.606	1.279	46.479
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.83	0.83	0.0	0.012	3.479	12.676
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			0.16	0.16	0.0	0.098	0.701	30.986
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			0.458	0.458	0.0	1.105	0.907	81.69
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilaceae [G3]	genus			0.293	0.293	0.0	0.253	1.186	40.845
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus	genus			0.283	0.283	0.0	0.429	0.869	66.197
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			0.174	0.174	0.0	0.03	0.83	18.31
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus			0.323	0.323	0.0	0.0	2.332	7.042
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	genus			0.01	0.01	0.0	0.011	0.037	11.268
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Boseaceae;Bosea	genus			0.005	0.005	0.0	0.016	0.014	16.901
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.013	0.013	0.0	0.066	0.033	19.718
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	genus			0.29	0.29	0.0	0.053	1.97	29.577
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	genus			0.06	0.06	0.0	0.026	0.33	15.493
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1]	genus			0.106	0.106	0.0	0.026	0.565	12.676
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			0.231	0.231	0.0	0.187	1.018	30.986
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	genus			0.282	0.282	0.0	0.841	0.68	40.845
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	genus			0.186	0.186	0.0	0.101	1.165	28.169
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Mobiluncus;mulieris	species	830		0.11	0.11	0.0	0.011	0.871	14.085
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis	species	829		0.043	0.043	0.0	0.116	0.156	21.127
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		0.056	0.056	0.0	0.143	0.149	50.704
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		0.064	0.064	0.0	0.169	0.184	52.113
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		0.038	0.038	0.0	0.0	0.212	8.451
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea;vaginae	species	814		0.887	0.887	0.0	0.778	3.584	16.901
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olegusella;massiliensis	species	810		0.017	0.017	0.0	0.027	0.068	19.718
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;uenonis	species	785		0.026	0.026	0.0	0.031	0.105	19.718
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;bivia	species	556		0.537	0.537	0.0	0.986	2.15	52.113
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola	species	291		0.283	0.283	0.0	0.0	2.386	1.408
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;epidermidis	species	601		0.049	0.049	0.0	0.165	0.1	60.563
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;haemolyticus	species	120		0.011	0.011	0.0	0.016	0.045	16.901
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;hominis	species	127		0.034	0.034	0.0	0.122	0.086	33.803
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus	species	817		42.18	42.18	0.0	96.338	43.061	70.423
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;gasseri	species	615		9.261	9.261	0.0	33.241	22.37	50.704
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		21.275	21.275	0.0	77.027	32.028	71.831
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii	species	839		8.774	8.774	0.0	20.558	20.524	67.606
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;coleohominis	species	816		0.13	0.13	0.0	0.246	0.449	25.352
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;vaginalis	species	051		0.44	0.44	0.0	1.349	0.768	56.338
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;agalactiae	species	537		0.374	0.374	0.0	0.171	2.274	18.31
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;anginosus	species	543		0.206	0.206	0.0	0.099	0.806	29.577
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius	species	755		0.119	0.119	0.0	0.098	0.594	56.338
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7];bacterium HMT-086	species	086		0.159	0.159	0.0	0.101	0.651	28.169
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9];bacterium HMT-924	species	924		0.839	0.839	0.0	0.0	5.428	4.225
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;anaerobius	species	542		0.04	0.04	0.0	0.049	0.184	21.127
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;massiliensis	species	123		0.113	0.113	0.0	0.0	0.883	4.225
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;micraerophilus	species	843		0.353	0.353	0.0	0.606	1.125	46.479
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;sp. HMT-119	species	119		0.043	0.043	0.0	0.0	0.338	4.225
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;sp. HMT-841	species	841		0.83	0.83	0.0	0.012	3.479	12.676
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;prevotii	species	738		0.011	0.011	0.0	0.029	0.039	15.493
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;tetradius	species	788		0.149	0.149	0.0	0.035	0.702	19.718
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia;magna	species	662		0.458	0.458	0.0	1.105	0.907	81.69
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilaceae [G3];bacterium HMT-929	species	929		0.293	0.293	0.0	0.253	1.186	40.845
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus;harei	species	109		0.283	0.283	0.0	0.429	0.869	66.197
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420		0.174	0.174	0.0	0.03	0.83	18.31
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;sanguinegens	species	837		0.023	0.023	0.0	0.0	0.168	5.634
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;vaginalis	species	844		0.3	0.3	0.0	0.0	2.315	5.634
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;diminuta	species	590		0.01	0.01	0.0	0.011	0.037	11.268
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Boseaceae;Bosea;vestrisii	species	636		0.005	0.005	0.0	0.016	0.014	16.901
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004		0.013	0.013	0.0	0.066	0.033	19.718
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;xylosoxidans	species	343		0.29	0.29	0.0	0.053	1.97	29.577
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;cepacia	species	571		0.06	0.06	0.0	0.026	0.33	15.493
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1];bacterium HMT-174	species	174		0.106	0.106	0.0	0.026	0.565	12.676
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;ureolyticus	species	842		0.231	0.231	0.0	0.187	1.018	30.986
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;fluorescens	species	612		0.282	0.282	0.0	0.841	0.68	40.845
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas;maltophilia	species	663		0.186	0.186	0.0	0.101	1.165	28.169
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri;clade-938	subspecies	938	Because HMT-818 is not present individually, all equidistant reads were assigned to HMT-938 at this body site (VIN).	0.124	0.124	0.0	0.0	0.773	2.817
UNMATCHED				9.709	9.709	0.48	24.524	12.234	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri	species		combined from subspecies	0.124	0.124	0.0	0.0	0.773	2.817
