Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family			0.021	0.021	0.0	0.056	0.04	45.205
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.055	0.055	0.0	0.141	0.129	49.315
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.027	0.027	0.0	0.076	0.058	45.89
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.032	0.032	0.0	0.085	0.058	54.795
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			4.411	4.411	0.712	8.738	4.357	100.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			2.451	2.451	0.231	5.052	2.861	98.63
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			1.102	1.102	0.09	2.45	1.74	94.521
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1]	family			0.008	0.008	0.0	0.014	0.038	17.123
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.005	0.005	0.0	0.0	0.027	6.849
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family			0.033	0.033	0.0	0.0	0.394	3.425
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.872	0.872	0.0	1.81	1.832	84.932
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.067	0.067	0.0	0.15	0.308	39.726
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			4.508	4.508	0.381	11.144	4.575	97.26
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.424	0.424	0.012	0.943	0.511	91.096
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			3.826	3.826	0.185	9.194	4.637	97.945
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.032	0.032	0.0	0.0	0.389	0.685
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.002	0.002	0.0	0.0	0.014	4.11
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			0.455	0.455	0.0	0.879	1.012	85.616
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus			0.036	0.036	0.0	0.113	0.086	43.151
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			2.351	2.351	0.071	6.694	3.614	94.521
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga	genus			0.093	0.093	0.0	0.113	0.699	29.452
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			0.744	0.744	0.02	2.058	1.058	92.466
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			0.23	0.23	0.0	0.474	0.435	84.247
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus	genus			0.026	0.026	0.0	0.0	0.303	1.37
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			5.271	5.271	0.369	13.902	7.044	95.89
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia	genus			0.014	0.014	0.0	0.022	0.088	17.808
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			0.279	0.279	0.0	0.168	1.657	43.836
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.071	0.071	0.0	0.144	0.144	63.699
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2]	genus			0.023	0.023	0.0	0.023	0.182	23.973
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			2.436	2.436	0.085	5.498	3.415	96.575
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			0.664	0.664	0.0	1.522	1.51	85.616
