Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-10p	BM-90p	BM-sd	BM-prev	HP-mean	HP-10p	HP-90p	HP-sd	HP-prev	KG-mean	KG-10p	KG-90p	KG-sd	KG-prev	PT-mean	PT-10p	PT-90p	PT-sd	PT-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SV-mean	SV-10p	SV-90p	SV-sd	SV-prev	TD-mean	TD-10p	TD-90p	TD-sd	TD-prev	TH-mean	TH-10p	TH-90p	TH-sd	TH-prev	NS-mean	NS-10p	NS-90p	NS-sd	NS-prev
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	genus			0.003	0.0	0.0	0.0	0.0	2.941	0.0	0.0	0.0	0.002	3.571	0.0	0.0	0.0	0.001	2.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.857	0.001	0.0	0.0	0.003	8.824	0.0	0.0	0.0	0.0	2.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.012	5.0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Eggerthia	genus			0.005	0.003	0.0	0.005	0.011	14.706	0.001	0.0	0.004	0.003	17.857	0.001	0.0	0.0	0.003	8.333	0.005	0.0	0.011	0.014	16.129	0.0	0.0	0.0	0.0	2.857	0.002	0.0	0.0	0.009	5.882	0.002	0.0	0.003	0.007	11.111	0.0	0.0	0.0	0.0	2.941	0.001	0.0	0.004	0.004	12.121	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	5.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	genus			0.035	0.0	0.0	0.0	0.002	8.824	0.0	0.0	0.0	0.001	7.143	0.0	0.0	0.0	0.001	5.556	0.035	0.0	0.0	0.192	6.452	0.001	0.0	0.0	0.004	14.286	0.0	0.0	0.0	0.002	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.941	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Cryptobacterium	genus			0.009	0.001	0.0	0.004	0.003	20.588	0.0	0.0	0.0	0.001	7.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.226	0.009	0.0	0.032	0.026	40.0	0.003	0.0	0.006	0.01	20.588	0.001	0.0	0.007	0.003	22.222	0.0	0.0	0.0	0.0	2.941	0.0	0.0	0.002	0.001	12.121	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	genus			0.001	0.0	0.0	0.002	0.001	14.706	0.0	0.0	0.002	0.001	14.286	0.001	0.0	0.0	0.002	8.333	0.0	0.0	0.0	0.0	3.226	0.001	0.0	0.0	0.003	11.429	0.0	0.0	0.0	0.001	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.002	12.121	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia	genus			0.009	0.001	0.0	0.002	0.003	11.765	0.0	0.0	0.0	0.001	7.143	0.001	0.0	0.004	0.004	16.667	0.001	0.0	0.005	0.003	25.806	0.009	0.0	0.01	0.035	40.0	0.001	0.0	0.0	0.003	8.824	0.002	0.0	0.008	0.004	22.222	0.001	0.0	0.003	0.002	17.647	0.001	0.0	0.003	0.002	24.242	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Bulleidia	genus			0.038	0.004	0.0	0.008	0.01	23.529	0.001	0.0	0.003	0.002	21.429	0.001	0.0	0.0	0.004	11.111	0.038	0.0	0.103	0.082	25.806	0.005	0.0	0.011	0.018	31.429	0.002	0.0	0.004	0.007	26.471	0.003	0.0	0.004	0.01	25.0	0.001	0.0	0.0	0.002	11.765	0.002	0.0	0.005	0.007	18.182	0.0	0.0	0.0	0.0	0.0
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma	genus			0.119	0.012	0.0	0.036	0.03	41.176	0.008	0.0	0.021	0.019	35.714	0.003	0.0	0.011	0.007	25.0	0.119	0.0	0.219	0.399	58.065	0.018	0.0	0.034	0.047	45.714	0.008	0.0	0.027	0.015	41.176	0.007	0.0	0.013	0.017	44.444	0.002	0.0	0.002	0.006	17.647	0.013	0.0	0.037	0.028	39.394	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Boseaceae;Bosea	genus			0.0	0.0	0.0	0.0	0.0	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Rhodopseudomonas	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasmopsis	genus			0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.009	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aquamicrobium	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Finegoldia	genus			0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.569	0.231	50.0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-6]	genus			0.117	0.025	0.0	0.018	0.111	20.588	0.005	0.0	0.006	0.017	21.429	0.001	0.0	0.001	0.002	16.667	0.117	0.0	0.033	0.411	29.032	0.033	0.0	0.012	0.201	28.571	0.005	0.0	0.0	0.031	2.941	0.002	0.0	0.007	0.006	19.444	0.001	0.0	0.0	0.002	8.824	0.008	0.0	0.008	0.026	24.242	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium	genus			0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.007	6.452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.584	0.04	0.0	0.11	0.047	79.412	0.128	0.006	0.339	0.167	89.286	0.317	0.0	0.761	0.904	55.556	0.26	0.013	0.456	0.399	96.774	0.12	0.0	0.31	0.297	80.0	0.082	0.0	0.12	0.273	70.588	0.584	0.031	1.606	0.782	97.222	0.524	0.002	1.681	0.808	97.059	0.355	0.03	0.713	0.607	100.0	0.002	0.0	0.0	0.007	5.0
