Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev	NS-mean	NS-sd	NS-prev
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			13.881	10.083	9.785	100.0	6.721	5.193	100.0	13.881	14.868	100.0	3.578	4.414	100.0	2.58	4.275	98.649	3.176	4.547	100.0	4.758	4.424	98.0	5.79	7.08	100.0	3.725	5.221	100.0	0.014	0.036	20.0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	family			0.0	0.0	0.001	5.714	0.0	0.0	3.571	0.0	0.0	2.326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.12	0.003	0.011	25.714	0.001	0.005	7.143	0.002	0.006	18.605	0.001	0.003	22.581	0.12	0.482	55.405	0.072	0.298	58.824	0.002	0.007	30.0	0.0	0.001	2.5	0.001	0.001	18.182	0.0	0.0	0.0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	family			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	5.0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae	family			0.021	0.008	0.045	8.571	0.0	0.002	3.571	0.0	0.001	2.326	0.0	0.001	6.452	0.021	0.103	17.568	0.0	0.001	2.941	0.0	0.001	8.0	0.0	0.0	0.0	0.0	0.002	3.03	0.0	0.0	0.0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			1.623	0.283	0.451	94.286	0.518	1.027	100.0	0.279	0.582	97.674	0.664	0.575	100.0	1.623	2.15	98.649	1.327	1.859	97.059	0.206	0.299	98.0	0.284	0.327	100.0	0.722	0.859	100.0	0.005	0.02	10.0
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae	family			3.874	3.874	6.358	100.0	2.024	1.883	100.0	2.848	3.514	100.0	1.918	2.789	100.0	0.686	1.008	98.649	0.632	0.945	100.0	1.768	1.886	100.0	1.132	1.007	100.0	1.665	2.232	100.0	0.023	0.066	30.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	family			0.015	0.004	0.014	22.857	0.011	0.033	17.857	0.0	0.001	6.977	0.001	0.002	16.129	0.015	0.077	16.216	0.002	0.006	14.706	0.005	0.031	10.0	0.0	0.001	5.0	0.015	0.081	15.152	0.0	0.001	10.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	family			0.253	0.04	0.092	77.143	0.034	0.057	57.143	0.068	0.258	62.791	0.227	0.479	90.323	0.122	0.787	52.703	0.035	0.056	55.882	0.064	0.104	80.0	0.051	0.063	90.0	0.253	0.472	90.909	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae	family			15.56	0.004	0.007	37.143	0.002	0.004	28.571	0.001	0.002	20.93	0.227	1.245	41.935	0.003	0.011	18.919	0.002	0.006	14.706	0.001	0.004	20.0	0.001	0.004	12.5	0.001	0.003	21.212	15.56	23.176	100.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV]	family			2.283	0.466	0.652	91.429	0.755	1.031	100.0	0.76	1.673	95.349	2.121	2.51	100.0	0.908	1.162	97.297	0.687	0.801	100.0	1.241	1.22	98.0	2.283	3.248	95.0	2.179	2.365	100.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae	family			5.299	4.511	5.502	100.0	3.882	5.597	100.0	0.774	1.525	100.0	0.851	1.339	96.774	5.299	8.122	100.0	3.36	5.92	100.0	3.054	3.255	100.0	1.61	2.139	100.0	1.047	1.018	100.0	0.006	0.011	25.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales [F-1]	family			0.059	0.001	0.005	11.429	0.001	0.001	14.286	0.0	0.0	2.326	0.059	0.207	22.581	0.002	0.013	8.108	0.0	0.0	2.941	0.0	0.002	4.0	0.0	0.002	5.0	0.004	0.014	12.121	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.255	0.0	0.001	11.429	0.001	0.002	7.143	0.0	0.0	2.326	0.029	0.16	6.452	0.0	0.001	4.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	6.061	0.255	0.787	15.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	family			0.0	0.0	0.0	0.0	0.0	0.001	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	5.0
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae	family			19.031	0.022	0.024	82.857	0.046	0.078	75.0	0.05	0.249	65.116	0.021	0.095	51.613	0.501	1.05	90.541	0.419	0.84	88.235	0.008	0.011	66.0	0.003	0.008	30.0	0.018	0.038	57.576	19.031	21.65	100.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae	family			0.0	0.0	0.001	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.226	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae	family			7.786	4.391	5.251	100.0	4.469	2.958	100.0	3.232	4.133	100.0	5.447	3.712	100.0	4.144	6.547	98.649	5.626	5.83	100.0	4.094	3.412	100.0	6.017	4.416	100.0	7.786	5.405	100.0	0.03	0.061	25.0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae	family			1.384	0.111	0.243	82.857	0.056	0.116	85.714	0.065	0.107	76.744	0.219	0.427	93.548	0.8	1.153	93.243	1.384	1.845	97.059	0.083	0.123	86.0	0.049	0.081	85.0	0.226	0.397	93.939	0.001	0.002	10.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family			0.068	0.0	0.002	11.429	0.001	0.002	10.714	0.0	0.001	6.977	0.035	0.192	6.452	0.001	0.004	8.108	0.001	0.005	8.824	0.0	0.0	4.0	0.0	0.0	2.5	0.0	0.001	3.03	0.068	0.263	15.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae	family			0.084	0.009	0.017	42.857	0.01	0.017	35.714	0.005	0.015	32.558	0.058	0.133	51.613	0.084	0.246	44.595	0.007	0.019	35.294	0.011	0.017	52.0	0.015	0.033	37.5	0.024	0.062	45.455	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae	family			8.397	1.171	1.171	100.0	1.876	1.281	100.0	2.692	4.77	100.0	2.837	2.608	100.0	6.43	8.194	100.0	8.397	10.375	100.0	2.795	2.586	100.0	3.745	3.44	100.0	2.924	2.329	100.0	0.01	0.025	20.0
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriales [F-1]	family			0.021	0.001	0.004	8.571	0.0	0.001	7.143	0.0	0.0	2.326	0.006	0.023	12.903	0.0	0.002	2.703	0.0	0.002	2.941	0.0	0.001	2.0	0.0	0.0	0.0	0.001	0.006	6.061	0.021	0.04	40.0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae	family			0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.001	0.003	5.0
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae	family			0.006	0.0	0.001	11.429	0.001	0.002	10.714	0.0	0.001	4.651	0.0	0.0	0.0	0.006	0.024	13.514	0.001	0.004	17.647	0.0	0.001	12.0	0.0	0.0	0.0	0.0	0.001	6.061	0.0	0.0	0.0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	family			1.368	0.102	0.144	97.143	0.216	0.226	92.857	0.483	1.418	67.442	0.755	1.47	96.774	1.065	4.053	86.486	0.285	0.467	91.176	1.368	2.071	100.0	0.971	1.504	97.5	0.713	0.689	100.0	0.0	0.0	0.0
