Taxonomy	Notes	HMT	Rank	type	source	Max	max any oral site	Abundance category	BM-mean	BM-sd	BM-prev	KG-mean	KG-sd	KG-prev	HP-mean	HP-sd	HP-prev	TD-mean	TD-sd	TD-prev	PT-mean	PT-sd	PT-prev	TH-mean	TH-sd	TH-prev	SV-mean	SV-sd	SV-prev	SupP-mean	SupP-sd	SupP-prev	SubP-mean	SubP-sd	SubP-prev
HOMD taxonomy									mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;amycolatum		31	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;appendicis		33	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;aurimucosum		34	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;bovis		208	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;coyleae		341	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;diphtheriae		591	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;durum		595	Species			0.243	2.843170117	1	0.068	0.153	87.5	0.014	0.029	58.8	0.131	0.176	96.2	0.001	0.003	21.9	0.005	0.007	44.8	0.01	0.024	67.7	0.021	0.029	89.8	0.154	0.218	82.9	0.243	0.739	68.1
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;jeikeium		47	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;kroppenstedtii		49	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;macginleyi		50	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;massiliense		333	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;mastitidis		328	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;matruchotii		666	Species			3.121	5.686030182	1	0.158	0.228	96.9	0.138	0.351	91.2	0.433	1.061	96.2	0.002	0.007	28.1	0.005	0.009	62.1	0.064	0.268	71	0.016	0.024	69.4	1.46	1.797	100	3.121	6.014	94.4
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;minutissimum		53	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;mucifaciens		835	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;pilbarense		54	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;propinquum		59	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;pseudodiphtheriticum		60	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;simulans		62	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;singulare		63	Species	eHOMD expansion for skin and nasal taxa			0.099405825	3																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;sp. HMT 207		207	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;striatum		72	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum		77	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;tuscaniense		184	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;urealyticum		853	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Turicella;otitidis		832	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriales [F-1];Lawsonella;clevelandensis		173	Species	eHOMD expansion for skin and nasal taxa		0.004	0.004211127	4	0	0.001	6.3	0	0	2.9	0	0	3.8	0	0	0	0.004	0.022	10.3	0.001	0.006	6.5	0	0.001	2	0	0.001	2.9	0	0.002	2.8
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;leprae		823	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;neoaurum		692	Species	Non-Oral Ref	environmental opportunistic		0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;tuberculosis		822	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium;paucivorans		340	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Dermabacter;hominis		354	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Arsenicicoccus;bolidensis		190	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Janibacter;indicus		339	Species	Non-Oral Ref	sludge air		0	4																											
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Microbacterium;flavescens		186	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Microbacterium;ginsengisoli		185	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Sanguibacteraceae;Sanguibacter;keddieii		856	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Arachnia;propionica		739	Species			0.209	0.455295947	2	0.01	0.015	56.3	0.055	0.266	55.9	0.029	0.063	57.7	0	0.001	9.4	0.001	0.002	20.7	0.005	0.02	29	0.004	0.009	42.9	0.205	0.366	82.9	0.209	0.408	79.2
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Arachnia;rubra		194	Species			0.268	0.450803076	2	0.006	0.016	28.1	0.003	0.011	23.5	0.003	0.012	11.5	0	0.001	9.4	0	0.001	10.3	0	0.001	3.2	0.002	0.003	30.6	0.196	0.686	45.7	0.268	0.885	29.2
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes		530	Species			0.012	0.202909363	2	0.005	0.009	46.9	0.004	0.009	32.4	0.011	0.035	57.7	0	0.001	9.4	0.002	0.006	31	0.012	0.032	38.7	0.003	0.007	30.6	0.009	0.048	20	0.009	0.063	38.9
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium;avidum		552	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium;granulosum		114	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium;sp. HMT 193		193	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Propionibacteriaceae [G-1];bacterium HMT 915		915	Species			0.005	0.005427655	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.046	1.4
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Propionibacteriaceae [G-2];bacterium HMT 192		192	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;acidifaciens	should be genus Acidipropionibacterium?	191	Species			0.002	0.002239145	4	0.001	0.002	12.5	0	0	2.9	0	0	0	0	0.001	3.1	0	0	0	0	0	3.2	0	0	2	0.002	0.007	14.3	0.002	0.013	4.2
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;profusa		806	Species				0	4																											
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;sp. HMT 807		807	Species			0.078	0.078416065	3	0.003	0.009	25	0.002	0.007	20.6	0.001	0.005	7.7	0	0.001	3.1	0	0.001	10.3	0	0.001	16.1	0.002	0.006	26.5	0.068	0.294	57.1	0.078	0.371	51.4
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;sp. HMT 809		809	Species				0	4																											
