	comment	HMT	level	type	source	max Segata oral sites	max Dewhirst oral site	max Eren oral site	max any oral site	Abundance category	Segata 2012 abundance data																				Dewhirst 35x9 abundance																												Eren et al. 2014 abundance data																				
Headers											BM		KG		HP		Throat		PT		TD		Saliva		SupP		SubP		Stool		BM			KG			HP			TD			PT			Throat			Saliva			SupP			SubP				BM		KG		HP		TD		PT		Throat		Saliva		SupP		SubP		Stool		
HOMD taxonomy											AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence		mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Bacteria;Firmicutes;Clostridia;Clostridiales			Order			23.961			23.961	1	5.269	4.589	6.241	6.893	10.674	6.309	17.328	8.163	16.211	7.863	17.452	7.169	23.961	9.26	7	4.795	9.577	6.775	28.5	18.601																																																	
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales			Order			0.161			0.161	2	0.015	0.037	0.002	0.006	0.121	0.268	0.161	0.345	0.147	0.284	0.134	0.198	0.112	0.224	0.004	0.011	0.019	0.072	0.308	0.546																																																	
Bacteria;Firmicutes;Mollicutes;Mollicutes [O-1]			Order						0	4																																																																					
Bacteria;Firmicutes;Mollicutes;Mollicutes [O-2]			Order						0	4																																																																					
Bacteria;Firmicutes;Mollicutes;Mycoplasmatales			Order			0.069			0.069	3	0.004	0.015	0	0.002	0.005	0.016	0.022	0.088	0.069	0.265	0.005	0.018	0.044	0.124	0.009	0.036	0.033	0.101	0	0.006																																																	
Bacteria;Firmicutes;Negativicutes;Selenomonadales			Order						0	4																																																																					
Bacteria;Firmicutes;Negativicutes;Veillonellales			Order						0	4																																																																					
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales			Order			15.514			15.514	1	3.868	3.557	2.683	3.987	4.659	3.896	10.652	7.895	14.507	8.74	11.247	8.66	7.448	4.662	11.271	8.955	15.514	9.452	0.072	0.5																																																	
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-1];Gracilibacteria (GN02) [O-1]			Order						0	4																																																																					
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-2];Gracilibacteria (GN02) [O-2]			Order						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria [O-1]			Order						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales			Order			0.028			0.028	3	0.004	0.024	0.001	0.005	0.005	0.021	0.028	0.149	0.001	0.004	0.001	0.011	0.008	0.041	0	0.002	0.003	0.025	0.001	0.013																																																	
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales			Order			0.083			0.083	3	0.004	0.014	0.002	0.009	0.013	0.037	0.038	0.245	0.003	0.014	0	0.002	0.083	0.661	0.001	0.008	0.001	0.007	0.003	0.024																																																	
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales			Order			0.007			0.007	4	0.007	0.039	0.002	0.016	0.004	0.021	0.003	0.018	0.001	0.01	0	0.003	0.001	0.006	0.001	0.005	0.004	0.031	0	0																																																	
