	comment	HMT	level	type	source	max Segata oral sites	max Dewhirst oral site	max Eren oral site	max any oral site	Abundance category	Segata 2012 abundance data																				Dewhirst 35x9 abundance																												Eren et al. 2014 abundance data																				
Headers											BM		KG		HP		Throat		PT		TD		Saliva		SupP		SubP		Stool		BM			KG			HP			TD			PT			Throat			Saliva			SupP			SubP				BM		KG		HP		TD		PT		Throat		Saliva		SupP		SubP		Stool		
HOMD taxonomy											AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence		mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;necrophorum		690	Species					0.217	0.217065422	2																																																	0	0	0	0	0	0	0	1.299	0.217	10.39	0.056	7.792	0.003	2.597	0	0	0	0	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;nucleatum subsp. animalis		420	Species				4.497	1.792	4.497116444	1																					0.218	0.427	93.8	0.166	0.605	82.4	0.107	0.285	84.6	0.01	0.013	75	0.123	0.324	89.7	0.059	0.099	93.5	0.045	0.045	85.7	0.901	1.328	97.1	4.497	7.112	98.6		0.107	68.831	0.021	27.273	0.05	44.156	0.025	49.351	0.732	77.922	0.139	53.247	0.197	70.13	0.442	74.026	1.792	90.909	0.001	1.299	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;nucleatum subsp. nucleatum		698	Species				0.052		0.051716243	3																					0.006	0.018	25	0.005	0.018	20.6	0.002	0.005	19.2	0	0.001	12.5	0.002	0.006	20.7	0.002	0.006	16.1	0.002	0.007	14.3	0.052	0.223	48.6	0.019	0.086	48.6																						
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;nucleatum subsp. polymorphum		202	Species				4.531	1.594	4.53064525	1																					0.492	1.051	90.6	0.429	0.64	97.1	0.447	0.968	100	0.082	0.253	90.6	0.278	1.062	82.8	0.26	0.575	96.8	0.158	0.224	93.9	4.531	6.523	100	1.621	2.453	97.2		0.311	84.416	0.408	75.325	0.05	63.636	0.033	48.052	0.475	76.623	0.301	54.545	0.242	80.519	1.296	96.104	1.594	97.403	0	0	also includes F. naviforme and some F. nucleatum ss vincentii
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;nucleatum subsp. vincentii		200	Species				4.986	2.762	4.986071991	1																					0.35	0.789	90.6	0.488	1.328	85.3	0.161	0.351	88.5	0.016	0.025	81.3	1.271	2.724	89.7	0.205	0.513	90.3	0.056	0.072	93.9	2.688	6.311	97.1	4.986	8.578	97.2		0.094	46.753	0.107	12.987	0.028	42.857	0.022	29.87	1.463	62.338	0.331	51.948	0.231	57.143	0.5	59.74	2.762	81.818	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum		201	Species				3.4	2.845	3.399630841	1																					0.801	0.927	93.8	0.337	0.75	94.1	1.104	1.076	96.2	3.4	3.579	100	2.55	3.142	100	3.069	4.184	96.8	2.847	4.128	93.9	0.255	0.907	80	0.082	0.244	83.3		0.529	88.312	0.096	54.545	1.058	94.805	2.845	93.506	2.459	96.104	1.93	94.805	1.338	93.506	0.125	64.935	0.127	59.74	0.001	5.195	also includes F. sp. HMT 370
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT 203		203	Species				0.98	0.358	0.980033789	2																					0.044	0.081	56.3	0.028	0.082	38.2	0.071	0.277	50	0.003	0.006	28.1	0.03	0.078	58.6	0.021	0.077	54.8	0.017	0.038	61.2	0.075	0.276	68.6	0.98	3.803	76.4		0.014	25.974	0.007	9.091	0.01	25.974	0.006	16.883	0.073	44.156	0.088	27.273	0.032	27.273	0.095	35.065	0.358	45.455	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT 204		204	Species				0.333	0.294	0.332710764	2																					0.055	0.176	62.5	0.029	0.06	64.7	0.046	0.119	57.7	0.002	0.003	31.3	0.081	0.346	58.6	0.017	0.054	64.5	0.009	0.016	63.3	0.227	0.339	91.4	0.333	0.763	79.2		0.012	19.481	0.002	9.091	0.002	6.494	0	2.597	0.039	33.766	0.011	14.286	0.027	31.169	0.042	45.455	0.294	62.338	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT 205		205	Species				0.046		0.045644201	3																					0.004	0.009	25	0.005	0.02	17.6	0.002	0.01	11.5	0	0.001	6.3	0.006	0.021	31	0.001	0.004	19.4	0	0.001	20.4	0.021	0.038	65.7	0.046	0.135	65.3																						
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT 248		248	Species	eHOMD expansion for skin and nasal taxa			0.006	1.043	1.042526328	1																					0	0	9.4	0.006	0.026	11.8	0	0.001	7.7	0.002	0.007	15.6	0.003	0.006	27.6	0.001	0.003	19.4	0.001	0.002	16.3	0	0	5.7	0	0.001	4.2		0.005	9.091	1.043	14.286	0.012	5.195	0.002	6.494	0.017	10.39	0.017	12.987	0.031	11.688	0.007	3.896	0.006	6.494	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT 370		370	Species				0.028		0.028292674	3																					0.003	0.01	28.1	0	0.002	8.8	0.001	0.002	26.9	0	0.001	3.1	0.028	0.133	27.6	0.008	0.033	38.7	0.001	0.002	22.4	0	0.001	5.7	0.001	0.002	11.1																						
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;buccalis		563	Species				1.306	1.279	1.306486409	1																					0.134	0.574	65.6	0.119	0.503	44.1	0.097	0.442	53.8	0.022	0.08	50	0.02	0.058	55.2	0.015	0.021	64.5	0.012	0.029	46.9	1.306	3.031	85.7	0.537	1.773	58.3		0.076	49.351	0.053	24.675	0.031	28.571	0.009	25.974	0.034	42.857	0.046	37.662	0.054	31.169	1.279	61.039	0.681	59.74	0	0	includes L. buccalis and L. sp. HMT 225
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;goodfellowii		845	Species				0.086	0.209	0.209443191	2																					0.006	0.019	31.3	0.013	0.045	32.4	0.058	0.187	30.8	0	0	0	0.001	0.002	27.6	0.002	0.005	22.6	0.001	0.003	32.7	0.06	0.119	62.9	0.086	0.183	45.8		0.01	20.779	0.015	5.195	0.007	12.987	0.001	5.195	0.01	15.584	0.002	7.792	0.026	25.974	0.068	35.065	0.209	50.649	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hofstadii		224	Species				1.14	0.179	1.140095766	1																					0.127	0.252	62.5	0.043	0.1	47.1	0.078	0.235	73.1	0.005	0.009	37.5	0.006	0.011	48.3	0.014	0.035	61.3	0.008	0.012	61.2	1.14	2.489	82.9	0.362	1.246	68.1		0.058	19.481	0.007	6.494	0.006	14.286	0.003	9.091	0.005	15.584	0.004	10.39	0.013	18.182	0.179	40.26	0.069	29.87	0	0	includes L. hofstadii and L. sp. HMT 909
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hongkongensis		213	Species				0.642	0.585	0.642247589	2																					0.157	0.263	84.4	0.031	0.057	67.6	0.15	0.357	92.3	0.006	0.008	59.4	0.017	0.031	55.2	0.05	0.123	74.2	0.009	0.017	59.2	0.642	1.137	97.1	0.588	1.829	84.7		0.118	51.948	0.037	23.377	0.015	25.974	0.007	20.779	0.008	19.481	0.013	20.779	0.056	44.156	0.585	72.727	0.258	64.935	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;shahii		214	Species				0.142		0.142092658	2																					0.024	0.135	9.4	0.009	0.052	11.8	0.002	0.007	15.4	0.034	0.193	6.3	0.142	0.763	13.8	0.052	0.284	12.9	0.001	0.002	8.2	0.024	0.119	25.7	0.011	0.078	18.1																						
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 212		212	Species				0.506	0.836	0.835601367	2																					0.037	0.046	81.3	0.051	0.127	70.6	0.176	0.471	73.1	0.008	0.014	62.5	0.009	0.02	55.2	0.026	0.098	67.7	0.016	0.019	65.3	0.506	0.769	85.7	0.15	0.332	77.8		0.093	75.325	0.053	33.766	0.05	54.545	0.012	29.87	0.021	46.753	0.024	27.273	0.142	63.636	0.836	88.312	0.667	80.519	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 215		215	Species				1.701	0.77	1.700633198	1																					0.29	0.523	90.6	0.115	0.218	85.3	0.251	0.344	92.3	1.701	3.988	96.9	1.026	2.285	100	1.049	2.468	96.8	0.716	1.16	95.9	0.391	1.208	94.3	0.06	0.132	83.3		0.109	74.026	0.019	32.468	0.243	83.117	0.51	81.818	0.77	79.221	0.512	79.221	0.191	67.532	0.055	49.351	0.047	42.857	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 217		217	Species				0.011		0.010801222	3																					0.004	0.009	28.1	0.005	0.021	11.8	0.005	0.018	19.2	0	0.001	9.4	0.001	0.002	17.2	0.001	0.005	12.9	0.001	0.002	24.5	0.011	0.02	45.7	0.011	0.036	25																						
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 218		218	Species				0.608		0.60806006	2																					0.001	0.004	15.6	0	0.001	14.7	0.022	0.091	19.2	0.276	1.325	12.5	0.381	1.246	17.2	0.608	2.314	19.4	0.035	0.205	12.2	0	0.001	2.9	0	0.002	6.9																						
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 219		219	Species				0.164	0.128	0.163884467	2																					0.01	0.019	46.9	0.005	0.012	35.3	0.004	0.012	23.1	0	0.002	9.4	0	0.001	3.4	0.001	0.004	16.1	0.002	0.004	28.6	0.087	0.158	62.9	0.164	0.876	43.1		0.02	23.377	0.024	3.896	0.007	6.494	0.001	3.896	0.001	3.896	0.004	9.091	0.016	18.182	0.128	40.26	0.089	35.065	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 221		221	Species				0.905	1.148	1.147752371	1																					0.134	0.522	68.8	0.037	0.129	29.4	0.233	0.675	65.4	0.492	0.902	68.8	0.229	0.459	72.4	0.905	2.275	71	0.156	0.343	57.1	0.028	0.082	42.9	0.074	0.382	34.7		0.101	42.857	0.02	16.883	0.297	57.143	1.025	63.636	1.086	68.831	1.148	64.935	0.165	50.649	0.014	12.987	0.008	14.286	0	1.299	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 223		223	Species				0.094	0.147	0.146506894	2																					0.008	0.028	28.1	0.011	0.042	23.5	0.004	0.015	15.4	0	0.001	12.5	0.012	0.059	24.1	0.002	0.005	16.1	0.001	0.004	14.3	0.016	0.061	25.7	0.094	0.334	29.2		0.007	9.091	0	1.299	0.002	5.195	0.002	5.195	0.003	3.896	0.001	2.597	0.007	10.39	0.03	23.377	0.147	24.675	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 225		225	Species				1.506	1.279	1.506322748	1																					0.103	0.243	87.5	0.048	0.091	64.7	0.21	0.824	73.1	0.017	0.037	53.1	0.021	0.048	58.6	0.086	0.295	64.5	0.02	0.035	53.1	1.506	3.545	91.4	0.73	1.913	79.2		0.076	49.351	0.053	24.675	0.031	28.571	0.009	25.974	0.034	42.857	0.046	37.662	0.054	31.169	1.279	61.039	0.681	59.74	0	0	includes L. buccalis and L. sp. HMT 225
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 392		392	Species				0.448	0.443	0.447957228	2																					0.104	0.255	71.9	0.08	0.291	70.6	0.361	1.669	69.2	0.031	0.099	56.3	0.036	0.133	51.7	0.097	0.339	67.7	0.02	0.034	69.4	0.396	0.498	85.7	0.448	1.267	79.2		0.028	31.169	0.011	12.987	0.006	18.182	0.006	7.792	0.008	20.779	0.008	11.688	0.054	29.87	0.443	50.649	0.288	53.247	0.001	1.299	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 417		417	Species				2.931	1.292	2.930866968	1																					0.213	0.462	90.6	0.109	0.344	70.6	0.272	0.32	92.3	2.931	5.232	96.9	2.235	2.847	100	1.733	1.894	93.5	0.654	1.642	93.9	0.206	0.582	80	0.656	3.708	70.8		0.106	51.948	0.09	23.377	0.217	72.727	0.647	76.623	0.905	83.117	1.292	88.312	0.147	59.74	0.31	50.649	0.438	50.649	0	0	includes L. wadei and L. sp. HMT 417
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 463		463	Species				0.037		0.036866187	3																					0.003	0.011	6.3	0	0.001	2.9	0.009	0.048	3.8	0.001	0.003	9.4	0.001	0.005	13.8	0.001	0.003	9.7	0	0.001	8.2	0.013	0.048	11.4	0.037	0.221	6.9																						
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 498		498	Species				0.214	0.613	0.612747108	2																					0.013	0.034	28.1	0.006	0.019	14.7	0.002	0.008	19.2	0.02	0.092	15.6	0.029	0.129	31	0.005	0.016	22.6	0.003	0.008	22.4	0.214	0.798	34.3	0.032	0.154	25		0.01	7.792	0.002	5.195	0.064	19.481	0.198	19.481	0.408	23.377	0.613	23.377	0.081	10.39	0.002	2.597	0.004	5.195	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 847		847	Species						0	4																																																																					
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 879		879	Species				0.114	0.233	0.233393997	2																					0.008	0.027	28.1	0.003	0.007	29.4	0.023	0.1	30.8	0.002	0.005	28.1	0.114	0.55	48.3	0.041	0.175	38.7	0.002	0.005	16.3	0.042	0.18	48.6	0.052	0.241	41.7		0.042	7.792	0.092	9.091	0.002	3.896	0.001	2.597	0.233	16.883	0.028	9.091	0.007	11.688	0	1.299	0	1.299	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT 909		909	Species				0.081	0.179	0.179	2																					0.002	0.005	21.9	0.001	0.004	8.8	0.001	0.002	7.7	0	0.001	9.4	0.001	0.003	6.9	0	0.001	6.5	0	0.001	8.2	0.081	0.375	37.1	0.008	0.049	20.8		0.058	19.481	0.007	6.494	0.006	14.286	0.003	9.091	0.005	15.584	0.004	10.39	0.013	18.182	0.179	40.26	0.069	29.87	0	0	includes L. hofstadii and L. sp. HMT 909
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;wadei		222	Species				2.474	1.292	2.474011381	1																					0.377	0.972	84.4	0.102	0.284	73.5	0.173	0.677	88.5	0.046	0.088	75	0.046	0.141	58.6	0.062	0.159	83.9	0.027	0.062	79.6	2.474	5.24	91.4	0.788	2.899	77.8		0.106	51.948	0.09	23.377	0.217	72.727	0.647	76.623	0.905	83.117	1.292	88.312	0.147	59.74	0.31	50.649	0.438	50.649	0	0	includes L. wadei and L. sp. HMT 417
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;amnii [Not Validly Published]		844	Species					0.268	0.267764846	2																																																	0	0	0	1.299	0	0	0	0	0.268	1.299	0.083	1.299	0.002	1.299	0	0	0	0	0	0	
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;sanguinegens		837	Species						0	4																																																																					
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-1];Gracilibacteria (GN02) [O-1];Gracilibacteria (GN02) [F-1];Gracilibacteria (GN02) [G-1];bacterium HMT 871		871	Species				0.008		0.008486241	4																					0.001	0.003	9.4	0	0.001	2.9	0	0.001	7.7	0	0	0	0	0	0	0	0.002	6.5	0	0.001	6.1	0.008	0.022	22.9	0.003	0.017	11.1																						
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-1];Gracilibacteria (GN02) [O-1];Gracilibacteria (GN02) [F-1];Gracilibacteria (GN02) [G-1];bacterium HMT 872		872	Species				0.105	0.169	0.168767502	2																					0.003	0.007	21.9	0.002	0.005	20.6	0.006	0.021	15.4	0	0	3.1	0.001	0.002	10.3	0.001	0.002	19.4	0.003	0.011	22.4	0.076	0.174	42.9	0.105	0.629	26.4		0.007	15.584	0.001	2.597	0.008	15.584	0.001	3.896	0.002	6.494	0.006	10.39	0.054	40.26	0.169	41.558	0.152	37.662	0	0	
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-1];Gracilibacteria (GN02) [O-1];Gracilibacteria (GN02) [F-1];Gracilibacteria (GN02) [G-3];bacterium HMT 996		996	Species	Non-Oral Ref					0	4																																																																					
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-1];Gracilibacteria (GN02) [O-1];Gracilibacteria (GN02) [F-1];Gracilibacteria (GN02) [G-4];bacterium HMT 997		997	Species	Non-Oral Ref					0	4																																																																					
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-2];Gracilibacteria (GN02) [O-2];Gracilibacteria (GN02) [F-2];Gracilibacteria (GN02) [G-2];bacterium HMT 873		873	Species						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria [O-1];Alphaproteobacteria [F-1];Micavibrio;aeruginosavorus		330	Species	eHOMD expansion for skin and nasal taxa					0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;diminuta		590	Species						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;sp. HMT 002		2	Species						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae;Bartonella;schoenbuchensis		1	Species						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia;broomeae		559	Species	Non-Oral Ref	environmental opportunistic				0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia;sp. genotype 4		652	Species						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;vestrisii		636	Species						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;elkanii		597	Species	Non-Oral Ref	Rhizobium				0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Ochrobactrum;anthropi		544	Species	Non-Oral Ref	environmental opportunistic				0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Defluvibacter;lusatiensis		660	Species						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium;tumefaciens		485	Species	Non-Oral Ref	Rhizobium				0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium;loti		659	Species	Non-Oral Ref	Rhizobium				0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Haematobacter;missouriensis		316	Species	Non-Oral Ref	aquatic opportunistic				0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;yeei		104	Species	Non-Oral Ref	environmental opportunistic				0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;capsulatus		857	Species						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;gilardii		244	Species	Non-Oral Ref	environmental opportunistic				0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;mucosa		245	Species	eHOMD expansion for skin and nasal taxa					0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillales [F-1];Enhydrobacter;aerosaccus		196	Species	eHOMD expansion for skin and nasal taxa					0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythromicrobium;ramosum		747	Species						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;panipatense		342	Species	Non-Oral Ref	environmental halophilic		0.001		0.001127273	4																					0	0.001	3.1	0	0	0	0	0.002	3.8	0	0	0	0	0	0	0	0.001	12.9	0	0	2	0	0	0	0.001	0.009	2.8																						
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Porphyrobacter;tepidarius		7	Species	Non-Oral Ref	hot springs				0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;echinoides		3	Species	Non-Oral Ref	rhizobium				0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT 004		4	Species						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT 006		6	Species						0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;xylosoxidans		343	Species	Non-Oral Ref	environmental				0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;pertussis		828	Species	Non-Oral Ref	pathogen				0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;cepacia		571	Species	Non-Oral Ref	environmental opportunistic				0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;gilardii		27	Species	Non-Oral Ref	environmental opportunistic				0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis		22	Species				1.267	4.871	4.871080508	1																					0.216	0.495	84.4	0.101	0.314	76.5	0.136	0.25	84.6	0.008	0.021	34.4	0.02	0.039	62.1	0.016	0.024	71	0.055	0.143	81.6	1.267	3.708	88.6	0.869	2.274	83.3		0.845	85.714	0.07	59.74	0.327	76.623	0.038	42.857	0.152	53.247	0.328	59.74	1.809	83.117	4.871	90.909	4.075	92.208	0.001	2.597	
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;pickettii		854	Species	Non-Oral Ref	environmental opportunistic				0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT 406		406	Species						0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;caeni		211	Species	Non-Oral Ref	wastewater			0.534	0.534495724	2																																																	0.02	18.182	0.012	18.182	0.064	31.169	0.008	2.597	0.005	9.091	0.122	25.974	0.534	36.364	0	1.299	0.006	12.987	0	1.299	
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;ebreus		209	Species	Non-Oral Ref	groundwater				0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;temperans		216	Species	Non-Oral Ref	water				0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;testosteroni		858	Species	Non-Oral Ref	environmental opportunistic				0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans		23	Species	Non-Oral Ref	environmental				0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;sp. HMT 025		25	Species						0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;sp. HMT 266		266	Species	eHOMD expansion for skin and nasal taxa					0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia;sp. HMT 894		894	Species				0.166	0.099	0.166246733	2																					0.001	0.002	15.6	0.001	0.003	11.8	0.001	0.003	11.5	0	0	3.1	0	0	3.4	0.001	0.002	12.9	0.002	0.005	18.4	0.155	0.368	57.1	0.166	0.584	31.9		0.014	7.792	0	1.299	0.001	2.597	0	0	0.001	1.299	0	0	0.004	3.896	0.048	15.584	0.099	18.182	0	0	
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella;aquatica		26	Species						0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella;thermodepolymerans		24	Species						0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;paradoxus		717	Species	Non-Oral Ref	environmental				0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;corrodens		577	Species				0.347	0.436	0.436136079	2																					0.022	0.035	78.1	0.017	0.025	70.6	0.049	0.134	73.1	0.009	0.017	50	0.008	0.022	44.8	0.018	0.033	54.8	0.017	0.026	75.5	0.241	0.31	97.1	0.347	0.591	86.1		0.046	51.948	0.018	29.87	0.023	38.961	0.024	25.974	0.087	40.26	0.075	28.571	0.028	51.948	0.363	92.208	0.436	92.208	0	0	
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;sp. HMT 011		11	Species						0	4																																																																					
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;denitrificans		582	Species				0.048	0.186	0.186355383	2																					0.004	0.013	18.8	0.002	0.008	17.6	0.02	0.04	38.5	0	0.001	6.3	0.004	0.018	17.2	0.001	0.003	16.1	0.001	0.002	18.4	0.01	0.039	28.6	0.048	0.222	25		0.027	16.883	0.004	10.39	0.006	12.987	0.003	9.091	0.003	6.494	0.002	6.494	0.024	15.584	0.13	40.26	0.186	31.169	0	0	
