GCA_001812505.1	No NCBI BLAST db
GCA_001812845.1	No NCBI BLAST db
GCA_001814235.1	No NCBI BLAST db
GCA_001815745.1	No NCBI BLAST db
GCA_001837705.1	No NCBI BLAST db
GCA_001837775.1	No NCBI BLAST db
GCA_001838205.1	No NCBI BLAST db
GCA_001838215.1	No NCBI BLAST db
GCA_001838285.1	No NCBI BLAST db
GCA_001838295.1	No NCBI BLAST db
GCA_001838325.1	No NCBI BLAST db
GCA_001975925.1	No NCBI BLAST db
GCA_002847785.1	No NCBI BLAST db
GCA_002861405.1	No NCBI BLAST db
GCA_008368695.1	No NCBI BLAST db
GCA_008726175.1	No NCBI BLAST db
GCA_008726215.1	No NCBI BLAST db
GCA_008726455.1	No NCBI BLAST db
GCA_008726645.1	No NCBI BLAST db
GCA_008726785.1	No NCBI BLAST db
GCA_014335065.1	No NCBI BLAST db
GCA_014335175.1	No NCBI BLAST db
GCA_014335185.1	No NCBI BLAST db
GCA_016026415.1	No NCBI BLAST db
GCA_016127615.1	No NCBI BLAST db
GCA_016728725.1	No NCBI BLAST db
GCA_016728745.1	No NCBI BLAST db
GCA_016889425.1	No NCBI BLAST db
GCA_018919345.1	No NCBI BLAST db
GCA_020161895.1	No NCBI BLAST db
GCA_022346225.1	No NCBI BLAST db
GCA_022346265.1	No NCBI BLAST db
GCA_024539755.1	No NCBI BLAST db
GCA_024539775.1	No NCBI BLAST db
GCA_024539835.1	No NCBI BLAST db
GCA_024539855.1	No NCBI BLAST db
GCA_024539915.1	No NCBI BLAST db
GCA_024539935.1	No NCBI BLAST db
GCA_025145255.1	No NCBI BLAST db
GCA_029338415.1	No NCBI BLAST db
GCA_029984765.1	No NCBI BLAST db
GCA_030216785.1	No NCBI BLAST db
GCA_030217265.1	No NCBI BLAST db
GCA_030218005.1	No NCBI BLAST db
GCA_030218045.2	No NCBI BLAST db
GCA_030232325.1	No NCBI BLAST db
GCA_900461385.1	No NCBI BLAST db
GCA_902489385.1	No NCBI BLAST db
GCA_946220795.1	No NCBI BLAST db
GCA_947255095.1	No NCBI BLAST db
GCA_958437735.1	No NCBI BLAST db
GCA_025144565.1	No NCBI BLAST db
GCA_030229545.1	No NCBI BLAST db
GCA_030408415.1	No NCBI BLAST db
GCA_900156665.1	No NCBI BLAST db
GCA_943914275.1	No NCBI BLAST db
GCA_000022905.1	No NCBI BLAST db
GCA_000174695.1	No NCBI BLAST db
GCA_001807205.1	No NCBI BLAST db
GCA_001811145.1	No NCBI BLAST db
GCA_001813175.1	No NCBI BLAST db
GCA_001813925.1	No NCBI BLAST db
GCA_001814945.1	No NCBI BLAST db
GCA_007786375.1	No NCBI BLAST db
GCA_016728685.1	No NCBI BLAST db
GCA_016728705.1	No NCBI BLAST db
GCA_018919245.1	No NCBI BLAST db
GCA_024138775.1	No NCBI BLAST db
GCA_030408555.1	No NCBI BLAST db
GCA_000260675.1	No NCBI BLAST db
GCA_002015045.1	No NCBI BLAST db
GCA_003253115.1	No NCBI BLAST db
GCA_018378345.1	No NCBI BLAST db
GCA_900451065.1	No NCBI BLAST db
GCA_902388305.1	No NCBI BLAST db
GCA_902477785.1	No NCBI BLAST db
GCA_905211915.1	No NCBI BLAST db
GCA_916856725.1	No NCBI BLAST db
GCA_938040935.1	No NCBI BLAST db
GCA_001059185.1	No NCBI BLAST db
GCA_001679495.1	No NCBI BLAST db
GCA_002998595.1	No NCBI BLAST db
GCA_003252655.1	No NCBI BLAST db
GCA_006439115.1	No NCBI BLAST db
GCA_006439125.1	No NCBI BLAST db
GCA_006439155.1	No NCBI BLAST db
GCA_006439165.1	No NCBI BLAST db
GCA_006439215.1	No NCBI BLAST db
GCA_006439235.1	No NCBI BLAST db
GCA_006439285.1	No NCBI BLAST db
GCA_006439315.1	No NCBI BLAST db
GCA_013401825.1	No NCBI BLAST db
GCA_018372995.1	No NCBI BLAST db
GCA_018373485.1	No NCBI BLAST db
GCA_018829685.1	No NCBI BLAST db
GCA_018829705.1	No NCBI BLAST db
GCA_018829755.1	No NCBI BLAST db
GCA_021764795.1	No NCBI BLAST db
GCA_902477965.1	No NCBI BLAST db
GCA_916862695.1	No NCBI BLAST db
GCA_001422025.1	No NCBI BLAST db
GCA_001431425.1	No NCBI BLAST db
GCA_001562215.1	No NCBI BLAST db
GCA_001700965.1	No NCBI BLAST db
GCA_017304535.1	No NCBI BLAST db
GCA_029959705.1	No NCBI BLAST db
GCA_000143845.1	No NCBI BLAST db
GCA_000524335.1	No NCBI BLAST db
GCA_001437585.1	No NCBI BLAST db
GCA_018376335.1	No NCBI BLAST db
GCA_938017755.1	No NCBI BLAST db
GCA_002952055.1	No NCBI BLAST db
GCA_905373745.1	No NCBI BLAST db
GCA_938038765.1	No NCBI BLAST db
GCA_000293155.1	No NCBI BLAST db
GCA_000525775.1	No NCBI BLAST db
GCA_013394805.1	No NCBI BLAST db
GCA_019416225.1	No NCBI BLAST db
GCA_905373865.1	No NCBI BLAST db
GCA_938045515.1	No NCBI BLAST db
GCA_000180155.1	No NCBI BLAST db
GCA_001553935.1	No NCBI BLAST db
GCA_023169925.1	No NCBI BLAST db
GCA_000009825.1	No NCBI BLAST db
GCA_000737305.2	No NCBI BLAST db
GCA_001598215.1	No NCBI BLAST db
GCA_002250115.1	No NCBI BLAST db
GCA_013085245.2	No NCBI BLAST db
GCA_013154995.1	No NCBI BLAST db
GCA_014338545.1	No NCBI BLAST db
GCA_018332755.1	No NCBI BLAST db
GCA_019599175.1	No NCBI BLAST db
GCA_019599225.1	No NCBI BLAST db
GCA_000185645.1	No NCBI BLAST db
GCA_009730315.1	No NCBI BLAST db
GCA_015255285.1	No NCBI BLAST db
GCA_015255305.1	No NCBI BLAST db
GCA_020097435.1	No NCBI BLAST db
GCA_030225585.1	No NCBI BLAST db
GCA_030225625.1	No NCBI BLAST db
GCA_900476045.1	No NCBI BLAST db
GCA_902496485.1	No NCBI BLAST db
GCA_905371775.1	No NCBI BLAST db
GCA_937925415.1	No NCBI BLAST db
GCA_000006605.1	No NCBI BLAST db
GCA_000163435.1	No NCBI BLAST db
GCA_000738175.1	No NCBI BLAST db
GCA_000738355.1	No NCBI BLAST db
GCA_000738385.1	No NCBI BLAST db
GCA_000738405.1	No NCBI BLAST db
GCA_001999385.1	No NCBI BLAST db
GCA_028609885.1	No NCBI BLAST db
GCA_900100745.1	No NCBI BLAST db
GCA_900461185.1	No NCBI BLAST db
GCA_900461255.1	No NCBI BLAST db
GCA_900477975.1	No NCBI BLAST db
GCA_019748915.1	No NCBI BLAST db
GCA_900099765.1	No NCBI BLAST db
GCA_000023145.1	No NCBI BLAST db
GCA_000971845.1	No NCBI BLAST db
GCA_000971855.1	No NCBI BLAST db
GCA_001552955.1	No NCBI BLAST db
GCA_002871755.1	No NCBI BLAST db
GCA_016889365.1	No NCBI BLAST db
GCA_016889405.1	No NCBI BLAST db
GCA_016894245.1	No NCBI BLAST db
GCA_003688935.1	No NCBI BLAST db
GCA_003688955.1	No NCBI BLAST db
GCA_016628325.1	No NCBI BLAST db
GCA_016628425.2	No NCBI BLAST db
GCA_016628525.2	No NCBI BLAST db
GCA_016628585.1	No NCBI BLAST db
GCA_016628615.2	No NCBI BLAST db
GCA_016628735.2	No NCBI BLAST db
GCA_016628845.1	No NCBI BLAST db
GCA_016889465.1	No NCBI BLAST db
GCA_000159435.1	No NCBI BLAST db
GCA_001435915.1	No NCBI BLAST db
GCA_009362935.1	No NCBI BLAST db
GCA_025311515.1	No NCBI BLAST db
GCA_025677785.1	No NCBI BLAST db
GCA_026935945.1	No NCBI BLAST db
GCA_028607005.1	No NCBI BLAST db
GCA_000805675.1	No NCBI BLAST db
