Microbial clades		G1								G2										G3						G4	
Headers		GroupG1		BM		KG		Hp		GroupG2		Th		PT		TD		Sal		GroupG3		SupP		SubP		Stool	
	max	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV
Column1	Column28	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27
Bacteria;Firmicutes;unclassified	0.233	0.024	0.039	0.018	0.027	0.027	0.05	0.026	0.04	0.105	0.153	0.056	0.095	0.061	0.075	0.068	0.081	0.233	0.361	0.03	0.044	0.032	0.045	0.028	0.043	0.505	1.231
Bacteria;Fusobacteria;Fusobacteria	15.514	3.737	3.813	3.868	3.557	2.683	3.987	4.659	3.896	10.964	7.489	10.652	7.895	14.507	8.74	11.247	8.66	7.448	4.662	13.392	9.203	11.271	8.955	15.514	9.452	0.072	0.5
Bacteria;Gemmatimonadetes;Gemmatimonadetes	0.002	0	0	0	0	0	0	0	0	0	0.005	0.002	0.021	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Lentisphaerae;Lentisphaeria	0	0	0.001	0	0	0	0	0	0.002	0	0.003	0	0.005	0	0	0	0	0	0.006	0	0	0	0	0	0	0.031	0.156
Bacteria;Proteobacteria;Alphaproteobacteria	0.124	0.022	0.061	0.022	0.077	0.008	0.028	0.037	0.079	0.057	0.332	0.093	0.424	0.008	0.024	0.002	0.014	0.124	0.866	0.008	0.04	0.003	0.015	0.012	0.065	0.321	2.065
Bacteria;Proteobacteria;Betaproteobacteria	12.624	4.73	5.48	4.541	5.134	2.731	4.788	6.919	6.518	7.64	8.667	6.368	7.768	5.679	7.018	10.172	10.62	8.34	9.26	11.089	8.623	12.624	9.066	9.554	8.181	2.166	3.537
Bacteria;Proteobacteria;Deltaproteobacteria	0.009	0.002	0.021	0.001	0.005	0	0	0.005	0.057	0.004	0.033	0.007	0.052	0.001	0.004	0	0	0.009	0.076	0.002	0.011	0	0.002	0.003	0.019	0.021	0.052
Bacteria;Proteobacteria;Epsilonproteobacteria	2.947	0.593	1.121	0.266	0.377	0.978	2.386	0.535	0.599	1.807	2.078	1.435	1.64	1.498	1.873	1.348	1.682	2.947	3.118	1.101	1.203	1.007	1.3	1.195	1.106	0.004	0.029
Bacteria;Proteobacteria;Gammaproteobacteria	17.942	12.072	8.158	10.781	7.826	17.942	11.531	7.494	5.115	7.728	7.716	6.592	9.392	7.003	6.798	8.156	7.353	9.161	7.32	5.169	5.445	5.948	5.958	4.389	4.932	0.216	0.986
Bacteria;Proteobacteria;unclassified	0.019	0.005	0.02	0.007	0.031	0.006	0.021	0.002	0.007	0.007	0.024	0.002	0.009	0.003	0.01	0.01	0.02	0.014	0.056	0.017	0.031	0.019	0.03	0.015	0.032	0.182	1.169
Bacteria;SR1;SR1_genera_incertae_sedis	0.405	0.022	0.082	0.016	0.048	0.003	0.013	0.048	0.184	0.161	0.51	0.083	0.266	0.092	0.344	0.065	0.246	0.405	1.184	0.036	0.108	0.033	0.095	0.039	0.121	0	0
Bacteria;Spirochaetes;Spirochaetes	2.24	0.052	0.141	0.099	0.3	0.004	0.013	0.054	0.111	0.3	0.734	0.207	0.635	0.574	1.423	0.06	0.133	0.358	0.745	1.434	2.787	0.627	1.489	2.24	4.085	0	0.004
Bacteria;Synergistetes;Synergistia	0.172	0.001	0.006	0.003	0.012	0	0	0.001	0.007	0.009	0.041	0.006	0.035	0.017	0.09	0	0.002	0.01	0.038	0.099	0.332	0.027	0.085	0.172	0.579	0.002	0.008
Bacteria;TM7;TM7_genera_incertae_sedis	3.07	0.169	0.434	0.137	0.341	0.13	0.553	0.241	0.408	1.152	2.101	0.524	0.933	0.45	0.785	0.565	0.968	3.07	5.72	0.618	1.155	0.589	1.153	0.648	1.158	0.008	0.083
Bacteria;Tenericutes;Mollicutes	0.069	0.003	0.011	0.004	0.016	0	0.002	0.005	0.016	0.037	0.133	0.029	0.121	0.069	0.265	0.005	0.018	0.045	0.127	0.021	0.069	0.009	0.036	0.033	0.101	0.031	0.305
Bacteria;Verrucomicrobia;Opitutae	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.005	0.045
Bacteria;Verrucomicrobia;Verrucomicrobiae	0.001	0	0.003	0	0.003	0	0.001	0.001	0.006	0	0.002	0	0	0	0.001	0	0.001	0.001	0.006	0	0	0	0	0	0	0.437	1.763
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0.005	0	0.001	0	0	0	0.004	0	0.001	0	0	0	0.002	0.001	0.006
Bacteria;Acidobacteria;Acidobacteria_Gp1;Gp1	0	0	0.002	0	0.006	0	0	0	0	0	0.001	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria_Gp3;Gp3	0	0	0	0	0	0	0	0	0	0	0.001	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6	0.001	0	0.003	0	0	0	0	0.001	0.009	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales	0.001	0	0.002	0	0	0	0	0	0.005	0	0.005	0.001	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales	27.143	4.469	5.141	5.262	6.143	1.182	2.939	6.962	6.342	6.717	5.584	7.268	6.304	5.449	5.087	10.261	7.283	3.891	3.661	23.592	13.778	27.143	14.083	20.042	13.474	0.292	2.791
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales	0.016	0.004	0.016	0.004	0.015	0	0.003	0.008	0.028	0.01	0.05	0.009	0.036	0.016	0.115	0.002	0.01	0.011	0.037	0.008	0.044	0.002	0.011	0.014	0.078	0.076	0.31
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales	0.611	0.145	0.2	0.069	0.093	0.009	0.045	0.357	0.462	0.528	0.651	0.592	0.647	0.396	0.607	0.611	0.762	0.512	0.589	0.092	0.217	0.041	0.082	0.143	0.351	0.138	0.273
Bacteria;Actinobacteria;Actinobacteria;Solirubrobacterales	0.014	0	0.001	0	0	0	0	0	0.004	0.004	0.046	0	0	0	0	0	0	0.014	0.184	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;unclassified	0.003	0	0.004	0	0.001	0	0	0.001	0.01	0.001	0.006	0.001	0.004	0.001	0.011	0.003	0.008	0	0.003	0.001	0.004	0.001	0.004	0.001	0.003	0.001	0.007
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	20.549	10.042	8.279	6.38	5.488	11.031	12.146	12.715	7.204	17.794	8.647	17.519	8.75	17.732	10.19	15.374	7.171	20.549	8.478	10.203	8.372	6.893	6.404	13.513	10.339	64.866	20.641
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales	10.151	1.235	1.609	1.807	2.588	1.289	1.581	0.609	0.657	1.653	2.125	1.443	2.578	1.976	2.771	0.871	1.379	2.322	1.771	9.364	5.678	10.151	5.664	8.577	5.692	0.003	0.02
