Microbial clades		G1								G2										G3						G4	
Headers		GroupG1		BM		KG		Hp		GroupG2		Th		PT		TD		Sal		GroupG3		SupP		SubP		Stool	
	max	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV
Column1	Column28	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae	0.011	0.002	0.007	0.002	0.009	0	0.003	0.003	0.009	0.005	0.038	0.006	0.033	0.001	0.005	0	0.001	0.011	0.113	0	0.003	0	0.005	0	0.001	0	0.002
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae	0.007	0	0.002	0	0.004	0	0.001	0	0.002	0.002	0.014	0.007	0.055	0	0.001	0	0	0	0.002	0	0.002	0	0.001	0	0.003	0	0.002
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0.002	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;unclassified	0.01	0	0.001	0	0	0	0	0	0.003	0.003	0.033	0.01	0.126	0	0	0	0	0.001	0.004	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	0.007	0.005	0.025	0.007	0.039	0.002	0.016	0.004	0.021	0.001	0.009	0.003	0.018	0.001	0.01	0	0.003	0.001	0.006	0.002	0.018	0.001	0.005	0.004	0.031	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	0.001	0	0.001	0	0	0	0	0	0.004	0	0.002	0.001	0.007	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae	0.001	0	0	0	0	0	0	0	0.001	0	0.002	0.001	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	0	0	0.001	0	0	0	0	0	0.004	0	0.001	0	0.003	0	0	0	0	0	0	0	0.001	0	0.001	0	0.001	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	0.031	0.006	0.025	0.005	0.028	0.003	0.014	0.01	0.034	0.014	0.073	0.021	0.067	0.002	0.009	0	0.003	0.031	0.214	0.002	0.011	0.001	0.004	0.003	0.018	0.004	0.041
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;unclassified	0.003	0.001	0.009	0	0.002	0	0	0.003	0.024	0	0.002	0	0.006	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.001
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	0.046	0.007	0.025	0.008	0.023	0.003	0.021	0.01	0.031	0.018	0.162	0.046	0.526	0.007	0.065	0.001	0.004	0.017	0.052	0.021	0.052	0.02	0.041	0.022	0.063	1.901	3.399
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	0.199	0.012	0.058	0.014	0.08	0.005	0.02	0.016	0.074	0.065	0.505	0.053	0.21	0.005	0.031	0.002	0.018	0.199	1.763	0.005	0.04	0.001	0.005	0.01	0.076	0.002	0.022
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis	0.006	0.004	0.024	0.006	0.044	0.001	0.003	0.006	0.024	0.002	0.011	0.005	0.027	0.001	0.004	0	0.001	0.002	0.012	0	0.002	0	0.001	0	0.002	0	0.001
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	0.68	0.1	0.306	0.157	0.474	0.024	0.068	0.12	0.375	0.257	1.535	0.317	1.198	0.022	0.064	0.007	0.036	0.68	4.841	0.513	1.386	0.471	1.107	0.555	1.666	0.004	0.043
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	0.019	0.002	0.011	0.002	0.01	0.001	0.004	0.003	0.019	0.008	0.063	0.019	0.113	0.001	0.005	0.001	0.008	0.013	0.126	0.001	0.007	0.001	0.005	0.002	0.009	0.009	0.031
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified	2.915	0.306	0.679	0.602	1.306	0.074	0.301	0.241	0.431	0.449	0.932	0.208	0.693	0.136	0.314	0.05	0.137	1.402	2.585	2.636	3.78	2.915	3.924	2.357	3.635	0.233	1.094
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae	0	0	0.001	0	0.001	0	0.002	0	0.002	0	0.002	0	0.003	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae	0	0	0.001	0	0.002	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	10.109	4.291	5.13	3.734	4.194	2.62	4.711	6.518	6.485	6.834	7.724	5.714	7.525	5.504	6.997	10.109	10.619	6.007	5.754	7.81	6.634	9.093	7.109	6.526	6.159	0.008	0.056
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae	0.018	0.004	0.027	0.008	0.064	0.001	0.009	0.002	0.009	0.001	0.005	0.001	0.005	0	0.003	0	0	0.002	0.011	0.017	0.058	0.017	0.058	0.018	0.058	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.011	0	0.002	0.003	0.019	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0.001	0	0	0	0.001	0	0.001	0	0	0	0.002	0.015	0.038
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.025
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae	0.005	0.001	0.019	0	0.001	0	0	0.004	0.057	0.001	0.013	0.005	0.051	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae	0.001	0	0.003	0	0.003	0	0	0.001	0.005	0	0.006	0.001	0.01	0	0.001	0	0	0.001	0.011	0	0.001	0	0	0	0.001	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified	0.004	0	0.001	0	0.001	0	0	0	0.001	0.001	0.014	0	0.005	0	0.002	0	0	0.004	0.05	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	2.943	0.592	1.12	0.265	0.377	0.977	2.386	0.533	0.599	1.804	2.076	1.43	1.639	1.496	1.87	1.345	1.679	2.943	3.114	1.099	1.2	1.005	1.297	1.192	1.104	0.004	0.029
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	0.004	0.001	0.011	0.001	0.013	0	0.003	0.002	0.017	0.002	0.017	0.004	0.049	0.001	0.005	0	0	0.002	0.013	0.001	0.009	0.001	0.008	0.001	0.009	0	0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;unclassified	0.002	0	0.002	0	0.001	0	0.003	0	0.001	0.001	0.006	0	0.003	0.001	0.005	0.002	0.007	0.002	0.009	0.001	0.005	0.001	0.003	0.002	0.007	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.081
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae	0	0	0.001	0	0.002	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae	0.249	0.009	0.032	0.015	0.037	0.005	0.042	0.006	0.018	0.006	0.022	0.007	0.028	0.004	0.029	0.001	0.005	0.01	0.027	0.233	0.394	0.249	0.363	0.217	0.426	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	0.075	0.025	0.097	0.017	0.062	0.007	0.043	0.052	0.185	0.033	0.177	0.075	0.399	0.011	0.047	0.001	0.006	0.046	0.258	0.009	0.07	0.003	0.02	0.015	0.121	0.159	0.957
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.008
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	17.923	11.966	8.13	10.728	7.838	17.923	11.521	7.246	5.033	7.513	7.41	5.828	8.137	6.981	6.801	8.152	7.35	9.09	7.353	4.919	5.425	5.69	5.96	4.148	4.89	0.048	0.23
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	0.539	0.041	0.166	0.004	0.014	0	0.004	0.119	0.481	0.136	1.192	0.539	4.739	0.001	0.005	0.001	0.01	0.003	0.013	0.002	0.009	0.001	0.005	0.003	0.014	0.002	0.019
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	0.044	0.008	0.037	0.006	0.024	0.004	0.035	0.013	0.05	0.012	0.065	0.044	0.24	0.003	0.009	0	0.001	0.003	0.011	0.001	0.009	0.001	0.005	0.002	0.012	0	0.004
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae	0.001	0.001	0.006	0.001	0.015	0	0	0.001	0.004	0	0.003	0.001	0.01	0	0.001	0	0	0	0.002	0	0.001	0	0	0	0.002	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	0.099	0.02	0.206	0.01	0.117	0	0.003	0.051	0.497	0.027	0.258	0.099	0.945	0.002	0.022	0	0.002	0.008	0.063	0.001	0.013	0	0.003	0.003	0.022	0	0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Brachyspiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae	2.239	0.052	0.141	0.099	0.3	0.004	0.013	0.054	0.111	0.299	0.732	0.207	0.634	0.573	1.419	0.06	0.132	0.357	0.743	1.433	2.784	0.626	1.488	2.239	4.08	0	0.001
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;unclassified	0.001	0	0.001	0	0.002	0	0	0	0.001	0.001	0.005	0	0.002	0.001	0.01	0	0.002	0.001	0.005	0.001	0.007	0.001	0.003	0.001	0.011	0	0
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae	0.172	0.001	0.006	0.003	0.012	0	0	0.001	0.007	0.009	0.041	0.006	0.035	0.017	0.09	0	0.002	0.01	0.038	0.099	0.332	0.027	0.085	0.172	0.579	0.002	0.008
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	0.006	0	0	0	0	0	0	0	0	0.001	0.019	0.006	0.073	0	0	0	0	0	0.002	0	0	0	0	0	0	0.03	0.305
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae	0.069	0.003	0.011	0.004	0.015	0	0.002	0.005	0.016	0.035	0.123	0.022	0.088	0.069	0.265	0.005	0.018	0.044	0.124	0.021	0.069	0.009	0.036	0.033	0.101	0	0.006
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.005	0.045
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	0.001	0	0.003	0	0.003	0	0.001	0.001	0.006	0	0.002	0	0	0	0.001	0	0.001	0.001	0.006	0	0	0	0	0	0	0.437	1.763
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0.005	0	0.001	0	0	0	0.004	0	0.001	0	0	0	0.002	0.001	0.006
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Iamiaceae;Iamia	0.001	0	0	0	0	0	0	0	0	0	0.005	0.001	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum	0.013	0	0.004	0.001	0.011	0	0	0	0.002	0	0.002	0	0.001	0	0	0	0	0	0.006	0.012	0.082	0.013	0.095	0.01	0.069	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	9.053	2.336	2.927	2.389	3.362	0.645	1.389	3.973	4.029	5.029	4.611	5.49	4.919	4.407	4.43	7.793	6.697	2.425	2.398	8.424	8.814	9.053	8.704	7.795	8.924	0.028	0.352
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium	0.001	0	0	0	0	0	0	0	0	0	0.005	0	0.001	0.001	0.019	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus	0.055	0.003	0.011	0.001	0.005	0	0.004	0.007	0.024	0.019	0.058	0.014	0.044	0.003	0.015	0.004	0.015	0.055	0.157	0.001	0.006	0	0.003	0.001	0.009	0	0.002
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;unclassified	0.094	0.008	0.046	0.012	0.069	0.004	0.043	0.008	0.026	0.011	0.034	0.013	0.036	0.007	0.021	0.017	0.058	0.008	0.022	0.093	0.279	0.094	0.292	0.091	0.266	0	0.001
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Cellulomonas	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0.003	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium	10.797	0.309	1.178	0.351	0.707	0.2	1.562	0.377	1.265	0.216	1.013	0.389	2.408	0.131	0.798	0.101	0.483	0.241	0.364	8.87	6.468	10.797	6.967	6.943	5.968	0.007	0.048
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;unclassified	0.079	0.001	0.004	0.001	0.003	0.001	0.006	0.001	0.004	0.001	0.007	0	0.003	0.001	0.015	0	0.002	0.001	0.005	0.06	0.071	0.079	0.089	0.041	0.053	0	0.004
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Brachybacterium	0	0	0.003	0	0.006	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae;Dermacoccus	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae;Kytococcus	0.001	0	0	0	0	0	0	0	0	0	0.002	0.001	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae;Dietzia	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Blastococcus	0.002	0	0.001	0	0	0	0.002	0	0	0	0.005	0	0	0	0	0	0	0.002	0.02	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Modestobacter	0	0	0	0	0	0	0.001	0	0.001	0	0.001	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Ornithinimicrobium	0.001	0	0.003	0	0	0	0	0.001	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Jonesiaceae;Jonesia	0.008	0	0.003	0.001	0.007	0	0.003	0	0.001	0.002	0.025	0.008	0.1	0	0	0	0	0	0	0	0.004	0	0.003	0	0.005	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineococcus	0	0	0.001	0	0	0	0	0	0.004	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Curtobacterium	0.001	0	0	0	0	0	0.001	0	0	0	0.003	0	0.001	0	0	0	0	0.001	0.012	0	0.004	0	0	0.001	0.008	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leifsonia	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leucobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium	0.001	0	0.004	0	0.001	0	0.003	0.001	0.006	0	0.004	0	0.003	0	0.003	0	0	0.001	0.012	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Rathayibacter	0	0	0	0	0.001	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;unclassified	0.003	0	0.001	0	0	0	0	0	0.002	0.001	0.008	0	0.004	0	0	0	0	0.003	0.028	0	0	0	0	0	0.001	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter	0.001	0	0.001	0	0.001	0	0	0	0.001	0	0.003	0.001	0.009	0	0.001	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria	0.001	0	0.004	0.001	0.005	0	0	0.001	0.007	0	0.003	0.001	0.01	0	0.001	0	0	0	0	0	0.001	0	0	0	0.001	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus	0.001	0	0.005	0.001	0.01	0	0	0.001	0.005	0	0.005	0.001	0.005	0	0.003	0	0	0.001	0.013	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Nesterenkonia	0	0	0	0	0	0	0	0	0	0	0.001	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Renibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia	5.444	1.592	2.46	2.277	3.858	0.277	0.772	2.223	2.749	1.284	1.845	1.073	1.494	0.819	1.239	2.243	3.064	1.001	1.581	4.559	5.981	5.444	6.814	3.675	5.148	0.002	0.012
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;unclassified	0.04	0.024	0.095	0.04	0.169	0.003	0.012	0.029	0.105	0.019	0.063	0.017	0.062	0.013	0.037	0.028	0.085	0.017	0.068	0.018	0.07	0.024	0.067	0.013	0.073	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinoplanes	0	0	0.002	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium	0.001	0	0.001	0	0.001	0	0.001	0	0.001	0.001	0.005	0.001	0.009	0	0.004	0	0	0.001	0.008	0	0	0	0.001	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nakamurellaceae;unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus	0.001	0	0.002	0.001	0.004	0	0	0	0.001	0	0.002	0.001	0.009	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Williamsia	0.001	0	0.002	0.001	0.007	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.002	0	0	0	0.004	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Aeromicrobium	0	0	0	0	0	0	0	0	0	0	0.001	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Marmoricola	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Nocardioides	0	0	0.001	0	0.001	0	0	0	0.001	0	0.001	0	0.004	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Friedmanniella	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0	0	0.002	0	0.003	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Microlunatus	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0.006	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium	0.299	0.12	1.143	0.045	0.193	0.015	0.059	0.299	3.176	0.083	0.396	0.219	0.995	0.024	0.084	0.006	0.033	0.085	0.474	0.019	0.108	0.013	0.083	0.025	0.133	0.253	2.734
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Tessaracoccus	0.138	0.004	0.023	0.008	0.052	0.001	0.008	0.002	0.007	0.003	0.021	0.002	0.011	0.001	0.003	0	0.001	0.008	0.071	0.137	0.463	0.138	0.503	0.136	0.423	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;unclassified	0.566	0.014	0.07	0.019	0.053	0.008	0.058	0.014	0.098	0.008	0.027	0.01	0.047	0.005	0.019	0.001	0.006	0.016	0.037	0.564	0.86	0.562	0.93	0.566	0.79	0	0.004
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Saccharomonospora	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces	0.002	0	0.001	0	0.002	0	0	0	0.001	0	0.005	0.002	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;unclassified	0	0	0	0	0	0	0	0	0	0	0.002	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia	0.004	0.001	0.005	0	0	0	0	0.002	0.016	0.002	0.017	0.004	0.029	0.002	0.012	0.001	0.005	0.003	0.022	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0.014	0.002	0.012	0.002	0.01	0	0.003	0.005	0.021	0.006	0.042	0.005	0.02	0.014	0.114	0.001	0.007	0.006	0.028	0.002	0.021	0	0	0.003	0.042	0.076	0.308
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	0	0	0.002	0	0.004	0	0.001	0	0.001	0	0.002	0	0.003	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Scardovia	0	0	0.001	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.003	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;unclassified	0.01	0.001	0.004	0.002	0.01	0	0	0	0.002	0.001	0.003	0	0.001	0	0.002	0	0.004	0.002	0.007	0.006	0.038	0.001	0.011	0.01	0.066	0.001	0.004
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Asaccharobacter	0	0	0.002	0	0	0	0	0	0.006	0	0.001	0	0.002	0	0	0	0	0	0.001	0	0	0	0	0	0	0.004	0.009
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Atopobium	0.609	0.14	0.198	0.063	0.088	0.009	0.045	0.348	0.463	0.518	0.625	0.582	0.643	0.372	0.505	0.609	0.761	0.507	0.588	0.067	0.19	0.027	0.066	0.107	0.313	0.001	0.012
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Collinsella	0.002	0.001	0.006	0	0.002	0	0	0.002	0.016	0	0.003	0.001	0.007	0	0.002	0	0	0	0.002	0	0.001	0	0.002	0	0	0.1	0.216
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Cryptobacterium	0.011	0	0.003	0	0.003	0	0	0.001	0.005	0.003	0.038	0.001	0.007	0.011	0.138	0.001	0.003	0.001	0.005	0.002	0.012	0.001	0.008	0.002	0.015	0	0
