	comment	HMT	level	type	source	max Segata oral sites	max Dewhirst oral site	max Eren oral site	max any oral site	Abundance category	Eren et al. 2014 abundance data																				
Headers											BM		KG		HP		TD		PT		Throat		Saliva		SupP		SubP		Stool		
HOMD taxonomy											mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Bacteria;Actinobacteria;Actinomycetia;Propionibacterales;Propionibacteriaceae;Arachnia;propionica		739	Species				0.209	0.455	0.455295947	2	0.014	24.675	0.008	10.39	0.007	15.584	0.002	6.494	0.007	6.494	0.005	6.494	0.008	16.883	0.451	79.221	0.455	80.519	0	0	
Bacteria;Actinobacteria;Actinomycetia;Propionibacterales;Propionibacteriaceae;Arachnia;rubra		194	Species				0.268	0.451	0.450803076	2	0.028	15.584	0.004	6.494	0.004	10.39	0.001	3.896	0.002	3.896	0.003	3.896	0.013	14.286	0.451	40.26	0.27	36.364	0	0	
Bacteria;Actinobacteria;Actinomycetia;Propionibacterales;Propionibacteriaceae;Cutibacterium;acnes		530	Species				0.012	0.203	0.202909363	2	0.03	35.065	0.01	23.377	0.038	42.857	0.007	12.987	0.022	25.974	0.041	35.065	0.203	46.753	0.008	12.987	0.015	28.571	0.002	5.195	
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Atopobium;parvulum		723	Species				1.303	0.983	1.303463313	1	0.094	62.338	0.013	16.883	0.46	90.909	0.983	90.909	0.561	89.61	0.84	88.312	0.712	83.117	0.027	33.766	0.115	55.844	0	1.299	
Bacteria;Bacteroidetes;Bacteroidetes [C-1];Bacteroidetes [O-1];Bacteroidetes[F-1];Bacterioidetes [G-5];bacterium HMT 511		511	Species				0.076	0.409	0.408708877	2	0.016	10.39	0	1.299	0.002	5.195	0.001	3.896	0.026	12.987	0.002	6.494	0.021	11.688	0.088	9.091	0.409	14.286	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales [F-2];Bacteroidales [G-2];bacterium HMT 274		274	Species				1.368	1.202	1.367720719	1	0.048	23.377	0.001	3.896	0.007	9.091	0.003	7.792	0.197	27.273	0.02	19.481	0.111	49.351	0.363	38.961	1.202	55.844	0	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;asaccharolytica		547	Species						0	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae		283	Species				0.382		0.382208327	2																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;endodontalis		273	Species				0.682	0.328	0.681682523	2	0.006	12.987	0	0	0.005	12.987	0.004	10.39	0.327	36.364	0.042	16.883	0.089	32.468	0.045	16.883	0.328	29.87	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;gingivalis		619	Species				0.387	0.236	0.386587124	2	0.001	2.597	0	0	0	1.299	0	1.299	0.045	3.896	0.004	3.896	0.014	5.195	0.026	5.195	0.236	3.896	0	0	
