Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-251	species	HMT-251		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.226	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.061	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-252	species	HMT-252		0.001	0.0	0.0	0.0	0.003	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.326	0.001	0.0	0.0	0.003	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-253	species	HMT-253		0.006	0.0	0.0	0.0	0.001	5.714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.004	12.903	0.006	0.0	0.0	0.039	4.054	0.001	0.0	0.0	0.002	8.824	0.0	0.0	0.0	0.002	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	6.061	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-254	species	HMT-254		0.0	0.0	0.0	0.0	0.003	2.857	0.0	0.0	0.0	0.001	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	3.226	0.0	0.0	0.0	0.002	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-256	species	HMT-256		0.002	0.001	0.0	0.0	0.003	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.326	0.002	0.0	0.0	0.011	3.226	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-257	species	HMT-257		0.171	0.009	0.0	0.0	0.039	8.571	0.002	0.0	0.002	0.009	10.714	0.001	0.0	0.0	0.003	6.977	0.02	0.0	0.004	0.096	12.903	0.171	0.0	0.0	1.458	9.459	0.001	0.0	0.0	0.006	8.824	0.0	0.0	0.0	0.001	4.0	0.0	0.0	0.0	0.001	5.0	0.002	0.0	0.002	0.007	12.121	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-258	species	HMT-258		0.007	0.001	0.0	0.0	0.002	5.714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.037	6.452	0.003	0.0	0.0	0.022	4.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	4.0	0.0	0.0	0.0	0.0	2.5	0.001	0.0	0.0	0.005	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp. HMT-259	species	HMT-259	Reads equally close to HMT 259 and 851 were assigned half to each taxon.; Reads equally close to HMT 259, 535, and 641 were assigned one-third to each taxon.; 	0.092	0.02	0.0	0.07	0.043	54.286	0.005	0.0	0.014	0.008	46.429	0.092	0.0	0.299	0.226	62.791	0.008	0.0	0.011	0.02	45.161	0.004	0.0	0.004	0.022	21.622	0.004	0.0	0.003	0.017	17.647	0.002	0.0	0.008	0.004	28.0	0.016	0.0	0.013	0.075	22.5	0.007	0.0	0.006	0.03	42.424	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-260	species	HMT-260		0.0	0.0	0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.226	0.0	0.0	0.0	0.001	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-262	species	HMT-262		0.011	0.003	0.0	0.0	0.012	8.571	0.001	0.0	0.0	0.004	7.143	0.001	0.0	0.0	0.006	2.326	0.011	0.0	0.002	0.042	12.903	0.006	0.0	0.0	0.046	6.757	0.0	0.0	0.0	0.002	5.882	0.0	0.0	0.0	0.001	4.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.002	0.006	12.121	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-268	species	HMT-268		0.018	0.002	0.0	0.003	0.005	11.429	0.0	0.0	0.0	0.002	7.143	0.0	0.0	0.0	0.002	2.326	0.0	0.0	0.001	0.002	12.903	0.011	0.0	0.037	0.031	29.73	0.018	0.0	0.054	0.044	35.294	0.0	0.0	0.0	0.001	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-269	species	HMT-269		0.002	0.0	0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.326	0.0	0.0	0.0	0.001	6.452	0.002	0.0	0.006	0.006	13.514	0.001	0.0	0.001	0.003	11.765	0.0	0.0	0.0	0.001	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-270	species	HMT-270		0.018	0.002	0.0	0.0	0.01	5.714	0.0	0.0	0.0	0.0	3.571	0.0	0.0	0.0	0.001	2.326	0.001	0.0	0.0	0.007	6.452	0.018	0.0	0.0	0.089	8.108	0.002	0.0	0.0	0.007	5.882	0.0	0.0	0.0	0.002	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-271	species	HMT-271		0.0	0.0	0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;abscessus	species	HMT-272		0.004	0.002	0.0	0.004	0.005	14.286	0.0	0.0	0.002	0.001	14.286	0.0	0.0	0.0	0.001	4.651	0.001	0.0	0.005	0.003	16.129	0.004	0.0	0.007	0.016	13.514	0.002	0.0	0.0	0.012	8.824	0.0	0.0	0.0	0.001	8.0	0.0	0.0	0.0	0.001	5.0	0.002	0.0	0.0	0.013	9.091	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;endodontalis	species	HMT-273		1.107	0.208	0.0	0.534	0.577	57.143	0.048	0.0	0.138	0.097	53.571	0.019	0.0	0.033	0.072	44.186	1.107	0.0	1.908	3.753	67.742	0.751	0.0	0.943	3.14	51.351	0.112	0.0	0.153	0.365	44.118	0.065	0.0	0.198	0.131	62.0	0.005	0.0	0.013	0.013	30.0	0.148	0.0	0.576	0.291	66.667	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2];bacterium HMT-274	species	HMT-274		1.338	0.052	0.0	0.159	0.118	60.0	0.008	0.0	0.024	0.012	50.0	0.032	0.0	0.014	0.138	30.233	0.01	0.0	0.024	0.026	45.161	1.338	0.0	3.237	3.962	59.459	0.28	0.0	0.833	0.544	70.588	0.011	0.0	0.029	0.018	64.0	0.001	0.0	0.004	0.002	22.5	0.015	0.0	0.026	0.048	51.515	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-275	species	HMT-275	Reads equally close to HMT 275, 277, and 278 were assigned one third to each taxon.; Reads equally close to HMT 275 and 278 were assigned half to each taxon.; 	0.179	0.019	0.0	0.022	0.054	57.143	0.046	0.0	0.068	0.139	60.714	0.017	0.0	0.041	0.051	46.512	0.006	0.0	0.02	0.013	41.935	0.179	0.0	0.317	0.59	54.054	0.098	0.0	0.353	0.193	79.412	0.043	0.0	0.128	0.092	56.0	0.006	0.0	0.008	0.018	35.0	0.011	0.0	0.021	0.028	45.455	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-277	species	HMT-277	Reads equally close to HMT 277 and 278 were assigned half to each taxon.; Reads equally close to HMT 275, 277, and 278 were assigned one third to each taxon.; 	0.103	0.01	0.0	0.025	0.02	51.429	0.103	0.0	0.329	0.271	42.857	0.007	0.0	0.008	0.028	39.535	0.008	0.0	0.007	0.032	38.71	0.079	0.0	0.208	0.26	58.108	0.068	0.0	0.205	0.133	79.412	0.011	0.0	0.038	0.022	58.0	0.001	0.0	0.003	0.002	25.0	0.005	0.0	0.007	0.022	33.333	0.004	0.0	0.0	0.019	5.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-278	species	HMT-278	Reads equally close to HMT 277 and 278 were assigned half to each taxon.; Reads equally close to HMT 275, 277, and 278 were assigned one third to each taxon.; Reads equally close to HMT 275 and 278 were assigned half to each taxon.; 	0.163	0.013	0.0	0.055	0.022	60.0	0.163	0.0	0.405	0.448	50.0	0.017	0.0	0.012	0.081	48.837	0.023	0.0	0.012	0.111	45.161	0.089	0.0	0.236	0.218	60.811	0.094	0.0	0.26	0.187	82.353	0.014	0.0	0.046	0.027	60.0	0.001	0.0	0.003	0.002	22.5	0.012	0.0	0.01	0.052	42.424	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	HMT-279		5.952	1.243	0.003	3.014	1.969	94.286	2.969	0.026	7.352	6.605	96.429	1.137	0.003	3.392	2.074	97.674	1.917	0.035	5.084	3.876	96.774	0.845	0.0	1.681	2.577	87.838	1.211	0.007	4.088	2.225	97.059	5.952	0.022	18.388	7.991	92.0	1.898	0.015	6.11	2.75	100.0	1.597	0.018	4.287	2.737	100.0	0.01	0.0	0.021	0.027	25.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3];bacterium HMT-280	species	HMT-280		0.005	0.002	0.0	0.004	0.006	11.429	0.001	0.0	0.002	0.003	10.714	0.0	0.0	0.0	0.002	2.326	0.005	0.0	0.016	0.017	12.903	0.005	0.0	0.005	0.024	10.811	0.001	0.0	0.001	0.005	11.765	0.0	0.0	0.0	0.001	6.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.003	0.002	15.152	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3];bacterium HMT-281	species	HMT-281		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	6.452	0.0	0.0	0.0	0.0	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;junii	species	HMT-282		0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.16	6.452	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae	species	HMT-283		0.377	0.043	0.0	0.076	0.138	71.429	0.049	0.0	0.088	0.133	75.0	0.029	0.0	0.069	0.066	65.116	0.018	0.0	0.045	0.041	64.516	0.205	0.0	0.386	0.557	64.865	0.377	0.0	1.209	0.826	79.412	0.05	0.0	0.145	0.096	80.0	0.008	0.0	0.027	0.018	50.0	0.011	0.0	0.024	0.02	54.545	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-284	species	HMT-284		0.127	0.017	0.0	0.067	0.028	60.0	0.033	0.0	0.054	0.092	67.857	0.019	0.0	0.028	0.047	58.14	0.004	0.0	0.009	0.008	41.935	0.093	0.0	0.244	0.227	60.811	0.127	0.0	0.436	0.176	82.353	0.035	0.0	0.128	0.063	74.0	0.003	0.0	0.009	0.006	42.5	0.004	0.0	0.009	0.007	45.455	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-285	species	HMT-285		0.057	0.001	0.0	0.0	0.006	2.857	0.007	0.0	0.0	0.035	3.571	0.002	0.0	0.0	0.014	6.977	0.057	0.0	0.006	0.216	19.355	0.001	0.0	0.0	0.007	6.757	0.001	0.0	0.0	0.006	5.882	0.035	0.0	0.003	0.204	14.0	0.026	0.0	0.0	0.166	5.0	0.055	0.0	0.0	0.315	3.03	0.0	0.0	0.0	0.0	5.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;serpentiformis	species	HMT-286		0.522	0.077	0.0	0.139	0.21	71.429	0.056	0.0	0.121	0.135	57.143	0.206	0.0	0.098	0.953	67.442	0.114	0.0	0.141	0.414	64.516	0.107	0.0	0.303	0.223	72.973	0.522	0.0	1.413	0.818	85.294	0.067	0.0	0.19	0.138	74.0	0.1	0.0	0.155	0.326	60.0	0.103	0.0	0.247	0.249	69.697	0.0	0.0	0.0	0.002	5.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oulorum	species	HMT-288		0.186	0.037	0.0	0.073	0.091	65.714	0.009	0.0	0.024	0.019	53.571	0.006	0.0	0.012	0.014	44.186	0.059	0.0	0.015	0.265	54.839	0.13	0.0	0.322	0.318	62.162	0.186	0.0	0.528	0.316	85.294	0.014	0.0	0.036	0.024	62.0	0.015	0.0	0.01	0.067	25.0	0.043	0.0	0.058	0.147	57.576	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;maculosa	species	HMT-289		0.205	0.046	0.0	0.132	0.102	68.571	0.007	0.0	0.015	0.012	60.714	0.013	0.0	0.03	0.038	39.535	0.019	0.0	0.066	0.032	58.065	0.205	0.0	0.489	0.481	83.784	0.113	0.0	0.264	0.171	82.353	0.012	0.0	0.032	0.016	68.0	0.002	0.0	0.005	0.003	32.5	0.01	0.0	0.025	0.019	75.758	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-290	species	HMT-290		2.261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	7.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	6.452	0.0	0.0	0.0	0.001	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.261	0.0	5.45	4.918	85.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola	species	HMT-291		1.195	0.106	0.0	0.387	0.205	80.0	0.018	0.0	0.053	0.027	67.857	0.022	0.0	0.027	0.078	55.814	0.069	0.0	0.121	0.219	67.742	1.195	0.0	2.742	3.456	63.514	0.32	0.0	0.839	1.028	64.706	0.023	0.0	0.079	0.038	76.0	0.005	0.0	0.014	0.009	42.5	0.045	0.0	0.07	0.112	81.818	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-294	species	HMT-294		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-295	species	HMT-295		0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.021	5.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii	species	HMT-297		0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.004	5.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;histicola	species	HMT-298	Reads equally close to HMT 298 and 572 were assigned half to each taxon.; 	2.692	0.324	0.001	0.452	0.867	88.571	0.747	0.003	1.967	1.265	92.857	0.059	0.0	0.106	0.163	74.419	2.037	0.036	4.868	3.956	96.774	0.045	0.0	0.064	0.14	59.459	0.134	0.0	0.086	0.495	58.824	2.267	0.0	5.337	5.347	88.0	1.703	0.0	5.279	2.46	85.0	2.692	0.008	4.594	5.257	100.0	0.001	0.0	0.0	0.002	5.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;nanceiensis	species	HMT-299		0.929	0.135	0.0	0.379	0.246	82.857	0.188	0.008	0.345	0.281	92.857	0.074	0.0	0.159	0.163	81.395	0.261	0.0	0.693	0.597	87.097	0.005	0.0	0.011	0.013	39.189	0.011	0.0	0.016	0.039	41.176	0.929	0.006	3.146	1.608	92.0	0.269	0.005	0.586	0.642	95.0	0.306	0.008	0.551	0.674	93.939	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-300	species	HMT-300		0.241	0.025	0.0	0.038	0.075	51.429	0.004	0.0	0.01	0.008	42.857	0.014	0.0	0.017	0.074	27.907	0.004	0.0	0.006	0.012	32.258	0.241	0.0	0.656	0.694	67.568	0.134	0.0	0.228	0.437	70.588	0.01	0.0	0.03	0.022	48.0	0.001	0.0	0.0	0.002	10.0	0.003	0.0	0.008	0.004	42.424	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp. HMT-301	species	HMT-301		0.019	0.004	0.0	0.008	0.011	17.143	0.001	0.0	0.001	0.002	10.714	0.0	0.0	0.0	0.0	2.326	0.0	0.0	0.0	0.001	6.452	0.019	0.0	0.082	0.044	28.378	0.008	0.0	0.016	0.022	29.412	0.001	0.0	0.002	0.002	16.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.001	0.001	12.121	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;rava	species	HMT-302		0.171	0.012	0.0	0.039	0.02	60.0	0.039	0.0	0.096	0.067	60.714	0.002	0.0	0.008	0.006	25.581	0.17	0.0	0.657	0.311	58.065	0.006	0.0	0.01	0.016	36.486	0.001	0.0	0.005	0.004	17.647	0.077	0.0	0.167	0.273	42.0	0.067	0.0	0.08	0.256	50.0	0.171	0.0	0.353	0.345	69.697	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;pleuritidis	species	HMT-303		0.19	0.038	0.0	0.04	0.148	37.143	0.053	0.0	0.074	0.195	35.714	0.014	0.0	0.011	0.058	27.907	0.041	0.0	0.035	0.136	38.71	0.19	0.0	0.48	0.601	37.838	0.038	0.0	0.08	0.103	32.353	0.003	0.0	0.004	0.013	18.0	0.001	0.0	0.0	0.003	5.0	0.029	0.0	0.018	0.135	27.273	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT-304	species	HMT-304		0.179	0.006	0.0	0.0	0.025	8.571	0.001	0.0	0.0	0.003	7.143	0.001	0.0	0.0	0.005	6.977	0.179	0.0	0.0	0.955	6.452	0.016	0.0	0.0	0.13	5.405	0.001	0.0	0.0	0.003	5.882	0.002	0.0	0.002	0.005	12.0	0.0	0.0	0.0	0.0	2.5	0.082	0.0	0.0	0.455	6.061	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-305	species	HMT-305		0.101	0.004	0.0	0.011	0.009	48.571	0.013	0.0	0.029	0.026	71.429	0.005	0.0	0.013	0.015	32.558	0.046	0.0	0.113	0.08	77.419	0.001	0.0	0.0	0.003	8.108	0.0	0.0	0.0	0.001	2.941	0.101	0.0	0.148	0.261	88.0	0.036	0.0	0.081	0.062	65.0	0.036	0.0	0.093	0.039	84.848	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT-306	species	HMT-306		1.34	0.065	0.0	0.165	0.119	74.286	0.197	0.0	0.455	0.332	82.143	0.08	0.0	0.223	0.258	60.465	1.34	0.005	1.764	3.25	93.548	0.025	0.0	0.03	0.082	45.946	0.025	0.0	0.037	0.103	44.118	0.445	0.0	0.842	1.271	86.0	0.839	0.002	0.927	2.464	90.0	1.011	0.036	2.34	1.378	96.97	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;salivae	species	HMT-307		1.518	0.149	0.0	0.562	0.241	82.857	0.284	0.01	0.714	0.353	100.0	0.103	0.0	0.307	0.255	62.791	0.546	0.023	1.374	0.662	96.774	0.039	0.0	0.042	0.139	51.351	0.077	0.0	0.259	0.16	52.941	1.518	0.009	5.676	2.753	98.0	0.516	0.006	1.487	0.701	97.5	1.055	0.046	2.173	1.662	100.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-308	species	HMT-308		0.324	0.02	0.0	0.04	0.039	71.429	0.057	0.0	0.157	0.074	85.714	0.02	0.0	0.03	0.076	60.465	0.215	0.0	0.608	0.248	83.871	0.005	0.0	0.015	0.014	29.73	0.004	0.0	0.005	0.017	26.471	0.204	0.0	0.466	0.564	80.0	0.131	0.0	0.473	0.208	80.0	0.324	0.004	0.97	0.374	93.939	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-309	species	HMT-309		0.137	0.026	0.0	0.014	0.127	28.571	0.014	0.0	0.02	0.045	50.0	0.019	0.0	0.034	0.068	23.256	0.024	0.0	0.07	0.046	54.839	0.0	0.0	0.001	0.001	10.811	0.0	0.0	0.0	0.001	8.824	0.137	0.0	0.122	0.408	58.0	0.047	0.0	0.114	0.126	45.0	0.089	0.0	0.308	0.167	63.636	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oris	species	HMT-311		2.559	0.226	0.001	0.676	0.44	91.429	0.056	0.0	0.134	0.069	82.143	0.055	0.0	0.25	0.112	62.791	0.54	0.0	2.015	1.208	83.871	2.559	0.01	7.452	5.139	94.595	0.266	0.002	0.796	0.471	88.235	0.046	0.0	0.123	0.058	84.0	0.006	0.0	0.018	0.009	50.0	0.059	0.001	0.16	0.077	87.879	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;viridans	species	HMT-312		0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.003	5.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;jejuni	species	HMT-313		2.443	0.111	0.002	0.296	0.194	91.429	0.498	0.005	1.432	0.688	92.857	0.116	0.0	0.285	0.356	65.116	2.443	0.006	4.967	5.763	93.548	0.018	0.0	0.024	0.069	55.405	0.04	0.0	0.012	0.213	44.118	0.654	0.001	2.364	0.958	90.0	1.228	0.003	3.887	1.943	90.0	2.394	0.018	5.41	3.755	93.939	0.0	0.0	0.0	0.0	0.0
