Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas	genus			0.0	0.0	0.0	0.0	0.0	5.714	0.0	0.0	0.001	0.001	14.286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	4.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.061	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G5]	genus			0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.571	0.0	0.0	0.0	0.0	2.326	0.0	0.0	0.0	0.002	6.452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.941	0.0	0.0	0.0	0.002	4.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	9.091	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G3]	genus			0.001	0.0	0.0	0.0	0.001	5.714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.326	0.0	0.0	0.0	0.001	6.452	0.001	0.0	0.0	0.007	4.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G8]	genus			0.029	0.016	0.0	0.01	0.066	20.0	0.003	0.0	0.008	0.009	25.0	0.002	0.0	0.0	0.008	6.977	0.005	0.0	0.008	0.016	19.355	0.029	0.0	0.068	0.088	29.73	0.002	0.0	0.002	0.012	14.706	0.004	0.0	0.014	0.008	28.0	0.0	0.0	0.0	0.001	5.0	0.006	0.0	0.016	0.016	30.303	0.0	0.0	0.0	0.0	0.0
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1];Mollicutes [O1 F1];Mollicutes [O1 F1 G1]	genus			0.002	0.002	0.0	0.0	0.01	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	2.326	0.0	0.0	0.0	0.003	3.226	0.0	0.0	0.0	0.001	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5]	genus			0.093	0.007	0.0	0.017	0.028	25.714	0.002	0.0	0.001	0.009	10.714	0.002	0.0	0.003	0.006	13.953	0.019	0.0	0.026	0.065	29.032	0.093	0.0	0.085	0.424	27.027	0.006	0.0	0.007	0.024	20.588	0.001	0.0	0.002	0.004	18.0	0.0	0.0	0.0	0.001	2.5	0.004	0.0	0.017	0.009	21.212	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter	genus			0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.009	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			2.553	1.064	0.232	1.949	0.726	100.0	1.74	0.707	2.767	0.843	100.0	2.552	0.153	6.177	3.738	100.0	2.145	0.135	3.37	3.721	100.0	0.835	0.044	2.203	0.924	100.0	1.078	0.139	2.721	1.458	100.0	2.553	0.607	5.12	2.015	100.0	1.92	0.254	4.159	1.602	100.0	1.408	0.251	3.287	1.399	100.0	0.018	0.0	0.043	0.047	20.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Pseudoramibacter	genus			0.004	0.0	0.0	0.0	0.001	5.714	0.0	0.0	0.0	0.001	7.143	0.0	0.0	0.0	0.001	2.326	0.0	0.0	0.0	0.001	6.452	0.004	0.0	0.0	0.024	5.405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
