D101	domain		Bacteria
F342	family		Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae
G342	genus		Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium
S342	species	HMT-362	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium;sp._HMT_362
S343	species	HMT-363	Bacteria;Synergistota;Synergistia;Synergistales;Aminobacteriaceae;Fretibacterium;fastidiosum
P344	phylum		Bacteria;Fusobacteriota
C344	klass		Bacteria;Fusobacteriota;Fusobacteriia
O344	order		Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales
F344	family		Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae
G344	genus		Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
S344	species	HMT-200	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;vincentii
S345	species	HMT-201	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum
S346	species	HMT-202	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;polymorphum
S347	species	HMT-203	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp._HMT_203
S348	species	HMT-204	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp._HMT_204
S349	species	HMT-205	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp._HMT_205
S350	species	HMT-248	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp._HMT_248
S351	species	HMT-370	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp._HMT_370
S352	species	HMT-420	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis
S353	species	HMT-689	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;naviforme
S354	species	HMT-690	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;necrophorum
S355	species	HMT-698	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;nucleatum
S356	species	HMT-860	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;gonidiaformans
S357	species	HMT-953	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;hwasookii
G358	genus		Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella
S358	species	HMT-829	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis
F359	family		Bacteria;Bacillota;Bacilli;Bacillales;Gemellaceae
G359	genus		Bacteria;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella
S359	species	HMT-046	Bacteria;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;morbillorum
S360	species	HMT-555	Bacteria;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;bergeri
S361	species	HMT-626	Bacteria;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;haemolysans
S362	species	HMT-757	Bacteria;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;sanguinis
S363	species	HMT-928	Bacteria;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;sp._HMT_928
P364	phylum		Bacteria;Candidatus_Gracilibacteria
C364	klass		Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-1]
O364	order		Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1]
F364	family		Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1];Gracilibacteria_(GN02)_[F-1]
G364	genus		Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1];Gracilibacteria_(GN02)_[F-1];Gracilibacteria_(GN02)_[G-1]
S364	species	HMT-871	Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1];Gracilibacteria_(GN02)_[F-1];Gracilibacteria_(GN02)_[G-1];bacterium_HMT_871
S365	species	HMT-872	Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1];Gracilibacteria_(GN02)_[F-1];Gracilibacteria_(GN02)_[G-1];bacterium_HMT_872
C366	klass		Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-2]
O366	order		Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-2];Gracilibacteria_(GN02)_[O-2]
F366	family		Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-2];Gracilibacteria_(GN02)_[O-2];Gracilibacteria_(GN02)_[F-2]
G366	genus		Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-2];Gracilibacteria_(GN02)_[O-2];Gracilibacteria_(GN02)_[F-2];Gracilibacteria_(GN02)_[G-2]
S366	species	HMT-873	Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-2];Gracilibacteria_(GN02)_[O-2];Gracilibacteria_(GN02)_[F-2];Gracilibacteria_(GN02)_[G-2];bacterium_HMT_873
G367	genus		Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1];Gracilibacteria_(GN02)_[F-1];Gracilibacteria_(GN02)_[G-3]
S367	species	HMT-996	Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1];Gracilibacteria_(GN02)_[F-1];Gracilibacteria_(GN02)_[G-3];bacterium_HMT_996
G368	genus		Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1];Gracilibacteria_(GN02)_[F-1];Gracilibacteria_(GN02)_[G-4]
S368	species	HMT-997	Bacteria;Candidatus_Gracilibacteria;Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1];Gracilibacteria_(GN02)_[F-1];Gracilibacteria_(GN02)_[G-4];bacterium_HMT_997
G369	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella
S369	species	HMT-534	Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens
S370	species	HMT-596	Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans
O371	order		Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales
F371	family		Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae
G371	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Haematobacter
S371	species	HMT-316	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Haematobacter;missouriensis
G372	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus
S372	species	HMT-035	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paraphrohaemolyticus
S373	species	HMT-036	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp._HMT_036
S374	species	HMT-259	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp._HMT_259
S375	species	HMT-535	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;aegyptius
S376	species	HMT-641	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;influenzae
S377	species	HMT-718	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae
S378	species	HMT-821	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;ducreyi
S379	species	HMT-851	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;haemolyticus
S380	species	HMT-908	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp._HMT_908
S381	species	HMT-944	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sputorum
S382	species	HMT-945	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parahaemolyticus
S383	species	HMT-946	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;pittmaniae
G384	genus		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hallella
S384	species	HMT-315	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hallella;sp._HMT_315
S385	species	HMT-376	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hallella;sp._HMT_376
S386	species	HMT-515	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hallella;sp._HMT_515
S387	species	HMT-583	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hallella;dentalis
S388	species	HMT-794	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hallella;multisaccharivorax
F389	family		Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae
G389	genus		Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter
S389	species	HMT-812	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;pylori
G390	genus		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella
S390	species	HMT-299	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;nanceiensis
S391	species	HMT-301	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp._HMT_301
S392	species	HMT-303	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;pleuritidis
S393	species	HMT-317	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;conceptionensis (NVP)
S394	species	HMT-472	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp._HMT_472
S395	species	HMT-475	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp._HMT_475
S396	species	HMT-562	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;buccalis
S397	species	HMT-600	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;enoeca
S398	species	HMT-658	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;loescheii
S399	species	HMT-665	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;marshii
S400	species	HMT-705	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;oralis
S401	species	HMT-781	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;saccharolytica
S402	species	HMT-795	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;shahii
S403	species	HMT-942	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp._HMT_942
P404	phylum		Bacteria;Ignavibacteriota
C404	klass		Bacteria;Ignavibacteriota;Ignavibacteria
O404	order		Bacteria;Ignavibacteriota;Ignavibacteria;Ignavibacteriales
F404	family		Bacteria;Ignavibacteriota;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae
G404	genus		Bacteria;Ignavibacteriota;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium
S404	species	HMT-982	Bacteria;Ignavibacteriota;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium;album
G405	genus		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter
S405	species	HMT-339	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter;indicus
F406	family		Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae
G406	genus		Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus
S406	species	HMT-243	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;huakuii
G407	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Johnsonella
S407	species	HMT-166	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Johnsonella;sp._HMT_166
S408	species	HMT-635	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Johnsonella;ignava
F409	family		Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae
G409	genus		Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella
S409	species	HMT-777	Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella;anthropi
G410	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella
S410	species	HMT-012	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp._HMT_012
S411	species	HMT-459	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp._HMT_459
S412	species	HMT-582	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;denitrificans
S413	species	HMT-646	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;kingae
S414	species	HMT-706	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis
S415	species	HMT-932	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp._HMT_932
G416	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
S416	species	HMT-153	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;aerogenes
S417	species	HMT-731	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;pneumoniae
G418	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera
S418	species	HMT-865	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;ascorbata
F419	family		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae
G419	genus		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria
S419	species	HMT-084	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria;palustris
S420	species	HMT-189	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria;atrinae
S421	species	HMT-197	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria;rhizophila
F422	family		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Kytococcaceae
G422	genus		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Kytococcaceae;Kytococcus
S422	species	HMT-855	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Kytococcaceae;Kytococcus;sedentarius
G423	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum
S423	species	HMT-082	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;orale
S424	species	HMT-083	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;sp._HMT_083
S425	species	HMT-089	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;sp._HMT_089
S426	species	HMT-107	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;umeaense
S427	species	HMT-494	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;saburreum
S428	species	HMT-496	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;sp._HMT_496
G429	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-10]
S429	species	HMT-094	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-10];bacterium_HMT_094
G430	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-2]
S430	species	HMT-088	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-2];bacterium_HMT_088
S431	species	HMT-096	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-2];bacterium_HMT_096
G432	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-3]
S432	species	HMT-100	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-3];bacterium_HMT_100
G433	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-7]
S433	species	HMT-086	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-7];bacterium_HMT_086
S434	species	HMT-163	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-7];bacterium_HMT_163
G435	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-8]
S435	species	HMT-500	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-8];bacterium_HMT_500
G436	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-9]
S436	species	HMT-924	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-9];bacterium_HMT_924
F437	family		Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae
G437	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus
S437	species	HMT-568	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus;casei
S438	species	HMT-716	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus;paracasei
S439	species	HMT-749	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus;rhamnosus
G440	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus
S440	species	HMT-861	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus;plantarum
S441	species	HMT-883	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus;pentosus
G442	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
S442	species	HMT-461	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;ultunensis
S443	species	HMT-529	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;acidophilus
S444	species	HMT-615	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;gasseri
S445	species	HMT-817	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus
S446	species	HMT-819	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;johnsonii
S447	species	HMT-838	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners
S448	species	HMT-839	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii
F449	family		Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae
G449	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
S449	species	HMT-804	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;lactis
G450	genus		Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella
S450	species	HMT-199	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;sp._HMT_199
S451	species	HMT-723	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula
S452	species	HMT-750	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;rimae
G453	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia
S453	species	HMT-022	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis
F454	family		Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae
G454	genus		Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella
S454	species	HMT-173	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis
G455	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus
S455	species	HMT-418	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;parafarraginis
S456	species	HMT-424	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;kisonensis
S457	species	HMT-881	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;buchneri
S458	species	HMT-884	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;rapi
G459	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix
S459	species	HMT-025	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;sp._HMT_025
S460	species	HMT-266	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;sp._HMT_266
F461	family		Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae
G461	genus		Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia
S461	species	HMT-213	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hongkongensis
S462	species	HMT-214	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;shahii
S463	species	HMT-218	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_218
S464	species	HMT-221	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_221
S465	species	HMT-222	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;wadei
S466	species	HMT-223	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_223
S467	species	HMT-224	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hofstadii
S468	species	HMT-225	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_225
S469	species	HMT-417	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_417
S470	species	HMT-463	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_463
S471	species	HMT-498	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_498
S472	species	HMT-563	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;buccalis
S473	species	HMT-847	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_847
S474	species	HMT-879	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_879
S475	species	HMT-909	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_909
G476	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus
S476	species	HMT-558	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;brevis
G477	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus
S477	species	HMT-756	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus;salivarius
G478	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus
S478	species	HMT-051	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;vaginalis
S479	species	HMT-052	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;sp._HMT_052
S480	species	HMT-608	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;fermentum
S481	species	HMT-709	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;oris
S482	species	HMT-816	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;coleohominis
S483	species		Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri
SSP483	subspecies	HMT-818	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri;clade_818
S484	species	HMT-882	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;panis
SSP485	subspecies	HMT-938	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri;clade_938
G486	genus		Bacteria;Bacillota;Bacilli;Bacillales;Listeriaceae;Listeria
S486	species	HMT-825	Bacteria;Bacillota;Bacilli;Bacillales;Listeriaceae;Listeria;monocytogenes
G487	genus		Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Lysinibacillus
S487	species	HMT-614	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Lysinibacillus;fusiformis
G488	genus		Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera
S488	species	HMT-122	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;micronuciformis
