D101	domain		Bacteria
S164	species	HMT-738	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;prevotii
S165	species	HMT-788	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;tetradius
S166	species	HMT-859	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;lactolyticus
C167	klass		Bacteria;Bacillota;Negativicutes
O167	order		Bacteria;Bacillota;Negativicutes;Veillonellales
F167	family		Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae
G167	genus		Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Anaeroglobus
S167	species	HMT-121	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Anaeroglobus;geminatus
P168	phylum		Bacteria;Chloroflexota
C168	klass		Bacteria;Chloroflexota;Anaerolineae
O168	order		Bacteria;Chloroflexota;Anaerolineae;Anaerolineales
F168	family		Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae
G168	genus		Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea
S168	species	HMT-995	Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;thermophila
G169	genus		Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineae_[G-1]
S169	species	HMT-439	Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineae_[G-1];bacterium_HMT_439
G170	genus		Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Anoxybacillus
S170	species	HMT-182	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;flavithermus
F171	family		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae
G171	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aquamicrobium
S171	species	HMT-660	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aquamicrobium;lusatiense
O172	order		Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales
F172	family		Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae
G172	genus		Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia
