Taxonomy	Rank	HMT	Notes	Max	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	PERIO-mean	PERIO-10p	PERIO-90p	PERIO-sd	PERIO-prev	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev	MVA-mean	MVA-10p	MVA-90p	MVA-sd	MVA-prev	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	RAF-mean	RAF-10p	RAF-90p	RAF-sd	RAF-prev	RRC-mean	RRC-10p	RRC-90p	RRC-sd	RRC-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	STO-mean	STO-10p	STO-90p	STO-sd	STO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Archaea;Methanobacteriota;Methanobacteria	klass			0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.058	0.0	0.254	0.143	16.667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.011	0.049	12.545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Lentisphaeria	klass			0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.05	0.138	16.364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Deltaproteobacteria	klass			1.198	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.081	0.901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	1.198	0.0	3.204	2.206	58.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.086	0.0	0.22	0.256	37.455	0.002	0.0	0.0	0.008	4.167	0.0	0.0	0.0	0.004	1.768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria	klass			14.791	3.509	0.012	9.272	4.339	88.235	0.462	0.0	0.807	2.039	25.676	4.531	0.27	10.935	5.659	96.277	5.91	5.91	5.91	0	100.0	3.553	0.013	10.067	7.818	91.667	0.069	0.0	0.257	0.149	50.0	0.437	0.0	0.168	1.519	42.857	0.223	0.0	0.13	1.349	21.212	7.408	0.042	18.518	12.254	92.0	2.69	2.69	2.69	0	100.0	0.193	0.0	0.109	0.78	37.5	7.911	1.47	13.042	5.443	87.5	0.031	0.0	0.0	0.235	6.0	6.58	1.809	12.845	4.473	100.0	10.946	2.58	21.47	8.71	99.747	14.791	0.0	33.305	15.038	81.25	9.108	0.17	23.57	10.746	96.948	0.061	0.0	0.04	0.179	27.273
Bacteria;Fusobacteriota;Fusobacteriia	klass			10.386	2.019	0.024	4.788	3.06	88.235	0.133	0.0	0.0	0.906	4.955	1.985	0.1	4.85	2.665	96.277	1.99	1.99	1.99	0	100.0	4.402	0.932	8.339	3.629	100.0	0.028	0.0	0.0	0.095	8.333	0.604	0.0	0.021	2.25	14.286	0.395	0.0	0.029	2.275	11.616	9.156	2.83	18.428	6.162	100.0	0.0	0.0	0.0	0	0.0	0.005	0.0	0.0	0.021	9.375	2.565	1.569	3.354	0.872	100.0	0.015	0.0	0.0	0.134	5.091	7.5	2.178	13.518	6.436	100.0	3.593	0.43	8.39	3.371	99.747	10.386	2.515	20.385	7.462	93.75	6.207	0.96	13.58	5.28	99.061	0.044	0.0	0.07	0.123	18.182
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			2.246	1.443	0.0	4.394	2.413	70.588	0.108	0.0	0.0	0.574	7.658	0.356	0.0	0.79	1.074	74.734	0.5	0.5	0.5	0	100.0	0.897	0.01	1.983	1.558	91.667	0.037	0.0	0.0	0.18	4.167	0.058	0.0	0.0	0.216	7.143	0.013	0.0	0.0	0.136	3.03	1.921	0.41	3.968	1.467	96.0	0.0	0.0	0.0	0	0.0	0.583	0.0	0.0	2.481	9.375	1.671	0.337	3.742	1.364	100.0	0.013	0.0	0.0	0.16	5.273	1.137	0.149	2.341	0.946	100.0	0.835	0.03	2.105	1.001	93.939	2.246	0.115	4.16	1.983	93.75	1.901	0.48	3.55	1.493	99.765	0.004	0.0	0.0	0.012	9.091
Bacteria;Bacillota;Erysipelotrichia	klass			0.855	0.007	0.0	0.016	0.021	11.765	0.006	0.0	0.0	0.059	0.901	0.035	0.0	0.12	0.085	32.713	0.24	0.24	0.24	0	100.0	0.343	0.0	1.347	0.634	62.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.049	0.505	0.557	0.032	1.21	0.806	92.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.112	0.962	0.402	100.0	0.005	0.0	0.0	0.053	2.909	0.08	0.0	0.167	0.211	58.333	0.017	0.0	0.04	0.081	22.98	0.855	0.0	2.05	0.994	75.0	0.518	0.05	1.13	0.483	96.244	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistota;Synergistia	klass			0.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.45	0.002	0.0	0.0	0.029	1.064	0.0	0.0	0.0	0	0.0	0.625	0.0	2.002	0.855	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.03	0.035	12.5	0.001	0.0	0.0	0.006	1.273	0.06	0.0	0.222	0.112	45.833	0.008	0.0	0.02	0.034	12.626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.235	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Flavobacteriia	klass			7.432	0.282	0.0	0.856	0.379	70.588	0.119	0.0	0.0	1.405	8.108	0.978	0.0	2.21	2.165	82.713	0.1	0.1	0.1	0	100.0	2.092	0.08	3.972	2.206	95.833	0.01	0.0	0.0	0.047	4.167	0.607	0.0	0.0	2.272	7.143	0.036	0.0	0.0	0.271	5.556	2.551	0.0	5.898	6.722	80.0	1.19	1.19	1.19	0	100.0	0.017	0.0	0.0	0.066	9.375	0.934	0.344	1.769	0.611	100.0	0.004	0.0	0.0	0.076	1.273	7.006	2.727	12.474	3.88	100.0	7.432	1.785	13.57	4.916	99.747	3.587	0.0	9.84	6.689	75.0	0.745	0.0	2.44	1.58	79.577	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia	klass			4.357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.45	0.023	0.0	0.015	0.126	10.904	0.03	0.03	0.03	0	100.0	4.357	0.359	8.423	4.941	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.714	0.008	2.164	0.975	88.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.117	0.0	0.302	0.135	62.5	0.0	0.0	0.0	0.001	0.182	2.525	0.046	7.186	3.94	91.667	0.424	0.0	1.285	1.077	57.323	0.824	0.0	0.85	2.777	37.5	0.095	0.0	0.275	0.247	41.784	0.0	0.0	0.0	0.0	0.0
