Taxonomy	comment	HMT	level	type	source	max Eren oral site	max any oral site	Abundance category	BM-mean	BM-prev	KG-mean	KG-prev	HP-mean	HP-prev	TD-mean	TD-prev	PT-mean	PT-prev	Throat-mean	Throat-prev	Saliva-mean	Saliva-prev	SupP-mean	SupP-prev	SubP-mean	SubP-prev	Stool-mean	Stool-prev	
HOMD taxonomy									mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT 284		284	Species			0.392	0.392485031	2	0.026	36.364	0.078	11.688	0.013	23.377	0.003	7.792	0.004	11.688	0.003	6.494	0.136	46.753	0.392	58.442	0.354	53.247	0	0	would add some from P. sp. HMT 275 + P. sp. HMT 284
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT 285		285	Species				0.059980755	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT 930		930	Species			2.467	2.467109287	1	0.582	42.857	2.467	50.649	0.213	46.753	0.009	19.481	0.153	41.558	0.097	31.169	0.106	40.26	0.034	29.87	0.033	29.87	0	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;uenonis		785	Species				0	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella;forsythia		613	Species				0.261087247	2																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella;sp. HMT 286		286	Species			0.202	0.497569914	2	0.039	37.662	0.003	10.39	0.02	25.974	0.095	32.468	0.202	45.455	0.156	40.26	0.044	29.87	0.113	40.26	0.126	44.156	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella;sp. HMT 808		808	Species				0.05232114	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella;sp. HMT 916		916	Species				0	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;rava		302	Species			0.12	0.169787122	2	0.004	11.688	0	0	0.024	16.883	0.03	16.883	0.078	27.273	0.12	32.468	0.07	27.273	0	0	0.002	5.195	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT 308		308	Species			0.154	0.331508102	2	0.016	31.169	0.018	19.481	0.051	53.247	0.126	59.74	0.111	61.039	0.154	64.935	0.097	44.156	0.002	5.195	0.005	10.39	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT 473		473	Species			3.702	3.701811784	1	0.35	48.052	3.702	59.74	0.168	51.948	0.113	41.558	0.17	55.844	0.194	54.545	0.218	54.545	0.032	15.584	0.028	24.675	0.001	2.597	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT 912		912	Species				0.012032021	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT 913		913	Species				0.010757913	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT 914		914	Species			0.113	0.170292097	2	0.024	9.091	0.113	7.792	0.004	10.39	0.001	3.896	0.007	9.091	0.002	3.896	0.012	15.584	0.02	12.987	0.04	14.286	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae		466	Species			0.348	0.709882857	2	0.014	29.87	0.001	2.597	0.026	36.364	0.041	29.87	0.348	51.948	0.179	46.753	0.087	51.948	0.028	20.779	0.271	32.468	0	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;aurantiaca		943	Species			0.11	0.110173373	2	0.01	7.792	0.001	2.597	0.063	15.584	0.11	14.286	0.022	11.688	0.051	11.688	0.074	10.39	0	0	0	1.299	0	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;baroniae		553	Species				0.026127336	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;bivia		556	Species				0	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;buccae		560	Species				0.009991046	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;buccalis		562	Species				0	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;dentalis		583	Species				0.014296441	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola		291	Species			0.242	0.992464745	2	0.016	24.675	0	2.597	0.018	16.883	0.004	6.494	0.242	28.571	0.069	18.182	0.037	27.273	0.055	14.286	0.198	42.857	0	1.299	includes P. denticola and P. multiformis
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;enoeca		600	Species				0.022563846	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;fusca		782	Species			0.033	0.033408611	3	0.001	3.896	0	1.299	0.002	3.896	0.001	1.299	0.033	6.494	0.015	6.494	0.025	6.494	0.026	1.299	0.033	2.597	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;histicola		298	Species			2.659	2.720431	1	0.452	70.13	0.054	33.766	1.29	85.714	1.943	83.117	2.173	92.208	2.659	93.506	1.683	81.818	0.135	33.766	0.111	45.455	0.001	3.896	includes P. histicola, P. veroralis, P. sp. HMT 313
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;intermedia		643	Species			0.203	1.057077662	1	0.008	6.494	0.002	2.597	0.001	2.597	0	2.597	0.203	14.286	0.037	10.39	0.021	14.286	0.01	5.195	0.193	11.688	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;loescheii		658	Species				0.137674833	2																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;maculosa		289	Species			0.17	0.20387752	2	0.001	3.896	0	0	0.004	7.792	0.002	5.195	0.109	7.792	0.057	5.195	0.027	14.286	0.016	10.39	0.17	14.286	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;marshii		665	Species				0.007453676	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;melaninogenica		469	Species			4.37	8.644295308	1	0.526	93.506	0.137	53.247	2.999	100	4.37	100	2.504	98.701	3.122	98.701	3.515	98.701	0.081	53.247	0.348	61.039	0.002	6.494	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;micans		378	Species				0.049981345	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;multiformis		685	Species			0.242	0.241943991	2	0.016	24.675	0	2.597	0.018	16.883	0.004	6.494	0.242	28.571	0.069	18.182	0.037	27.273	0.055	14.286	0.198	42.857	0	1.299	includes P. denticola and P. multiformis
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;multisaccharivorax		794	Species				0	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nanceiensis		299	Species			0.989	0.988967764	2	0.192	80.519	0.419	48.052	0.494	88.312	0.756	89.61	0.42	87.013	0.384	83.117	0.989	88.312	0.013	25.974	0.012	31.169	0	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens		693	Species			1.046	1.045631823	1	0.047	45.455	0.017	14.286	0.035	48.052	0.015	22.078	1.046	57.143	0.264	36.364	0.198	59.74	0.304	44.156	0.882	59.74	0.001	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;oralis		705	Species				0.013076954	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;oris		311	Species			0.966	2.626174931	1	0.094	50.649	0.002	9.091	0.033	35.065	0.011	19.481	0.416	64.935	0.153	42.857	0.292	79.221	0.192	57.143	0.966	74.026	0	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;oulorum		288	Species			0.041	0.18269547	2	0.009	10.39	0	0	0.002	3.896	0.003	5.195	0.031	15.584	0.011	9.091	0.027	27.273	0.041	16.883	0.028	18.182	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pallens		714	Species			1.354	1.491593264	1	0.169	58.442	0.02	24.675	0.936	85.714	0.833	88.312	0.892	87.013	1.354	88.312	1.228	85.714	0.011	6.494	0.011	19.481	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pleuritidis		303	Species			0.396	0.396010411	2	0.014	14.286	0.001	3.896	0.006	11.688	0.002	5.195	0.135	25.974	0.046	12.987	0.074	29.87	0.032	11.688	0.396	23.377	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;saccharolytica		781	Species			0.103	0.135399607	2	0.003	9.091	0.002	2.597	0.001	5.195	0.001	2.597	0.018	7.792	0.005	11.688	0.019	28.571	0.074	37.662	0.103	55.844	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;salivae		307	Species			1.235	1.542910156	1	0.099	55.844	0.022	27.273	0.325	87.013	0.598	85.714	0.745	84.416	0.943	89.61	1.235	90.909	0.007	9.091	0.03	16.883	0	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;scopos		885	Species				0.033636496	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;shahii		795	Species			0.211	0.223563398	2	0.02	23.377	0.004	10.39	0.075	38.961	0.153	35.065	0.17	44.156	0.211	40.26	0.102	40.26	0.034	15.584	0.039	16.883	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 292		292	Species				0.029668223	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 293		293	Species				0	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 300		300	Species				0.198649659	2																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 301		301	Species				0.018717406	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 304		304	Species				0.184581017	2																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 305		305	Species				0.102157261	2																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 306		306	Species			0.389	1.39485845	1	0.031	25.974	0.001	6.494	0.169	62.338	0.166	70.13	0.364	59.74	0.389	68.831	0.175	61.039	0.001	2.597	0.004	11.688	0	1.299	includes P. sp. HMT 306 and P. sp. HMT 314
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 309		309	Species			0.241	0.241342137	2	0.009	15.584	0	1.299	0.04	24.675	0.062	35.065	0.115	40.26	0.176	37.662	0.241	36.364	0	1.299	0.001	3.896	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 313		313	Species			2.659	2.658731855	1	0.452	70.13	0.054	33.766	1.29	85.714	1.943	83.117	2.173	92.208	2.659	93.506	1.683	81.818	0.135	33.766	0.111	45.455	0.001	3.896	includes P. histicola, P. veroralis, P. sp. HMT 313
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 314		314	Species			0.389	0.805147315	2	0.031	25.974	0.001	6.494	0.169	62.338	0.166	70.13	0.364	59.74	0.389	68.831	0.175	61.039	0.001	2.597	0.004	11.688	0	1.299	includes P. sp. HMT 306 and P. sp. HMT 314
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 315		315	Species				0.009503847	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 317		317	Species			0.328	0.331415978	2	0.021	28.571	0.008	12.987	0.006	15.584	0.001	5.195	0.035	16.883	0.024	18.182	0.033	36.364	0.328	49.351	0.31	63.636	0	0	includes P. sp. HMT 317 and P. sp. HMT 472
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 376		376	Species				0.005340882	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 396		396	Species				0.088656851	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 443		443	Species				0.011691446	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 472		472	Species			0.328	0.327777757	2	0.021	28.571	0.008	12.987	0.006	15.584	0.001	5.195	0.035	16.883	0.024	18.182	0.033	36.364	0.328	49.351	0.31	63.636	0	0	includes P. sp. HMT 317 and P. sp. HMT 472
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 475		475	Species				0.015715807	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 515		515	Species				0.003241578	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 526		526	Species				0.070190795	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 820		820	Species				0.002413745	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 942		942	Species			0.116	0.116241882	2	0.041	5.195	0.116	11.688	0.001	6.494	0	1.299	0.009	14.286	0.009	7.792	0.007	7.792	0	1.299	0	0	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;veroralis		572	Species			2.659	2.658731855	1	0.452	70.13	0.054	33.766	1.29	85.714	1.943	83.117	2.173	92.208	2.659	93.506	1.683	81.818	0.135	33.766	0.111	45.455	0.001	3.896	includes P. histicola, P. veroralis, P. sp. HMT 313
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea;sp. HMT 320		320	Species				0	4																					
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter;aerophilus		261	Species	eHOMD expansion for skin and nasal taxa			0	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 206		206	Species	eHOMD expansion for skin and nasal taxa		0.289	0.28868558	2	0.289	28.571	0.143	18.182	0.06	23.377	0.008	11.688	0.071	18.182	0.155	18.182	0.176	20.779	0.003	6.494	0.004	9.091	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 319		319	Species				0	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 322		322	Species			1.612	1.612368637	1	0.344	96.104	0.748	89.61	0.206	88.312	0.265	79.221	0.329	79.221	0.251	79.221	0.322	80.519	1.612	98.701	1.146	100	0	1.299	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 422		422	Species				0	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 900		900	Species			0.092	0.131577427	2	0.011	23.377	0.005	9.091	0.002	7.792	0	0	0.006	7.792	0.002	3.896	0.057	28.571	0.092	45.455	0.063	36.364	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 907		907	Species				0	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 931		931	Species			0.103	0.103305201	2	0.073	31.169	0.103	28.571	0.002	10.39	0	1.299	0.096	31.169	0.049	20.779	0.015	16.883	0.001	3.896	0.002	5.195	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis		337	Species			0.052	1.255807293	1	0.037	84.416	0.052	37.662	0.001	64.935	0	67.532	0.048	76.623	0.024	70.13	0.008	81.818	0	96.104	0.001	96.104	0	2.597	abundance value = (C. gingivalis + C. granulosa)/2; prevalence value is for (C. gingivalis + C. granulosa)
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;granulosa		325	Species			0.026	2.111947102	1	0.018	84.416	0.026	37.662	0.001	64.935	0	67.532	0.024	76.623	0.012	70.13	0.004	81.818	0	96.104	0.001	96.104	0	2.597	abundance value = (C. gingivalis + C. granulosa)/2; prevalence value is for (C. gingivalis + C. granulosa)
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;haemolytica		627	Species				0.03980285	3																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri		329	Species			2.44	2.440190569	1	0.468	79.221	0.283	49.351	0.079	70.13	0.086	62.338	0.514	72.727	0.338	63.636	0.454	76.623	2.44	88.312	2.149	92.208	0	1.299	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;ochracea		700	Species				0.004438386	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 323		323	Species				0.125677248	2																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 324		324	Species				0.080604607	3																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 326		326	Species			0.67	0.723262381	2	0.041	28.571	0.009	10.39	0.009	19.481	0.003	7.792	0.005	9.091	0.003	9.091	0.036	32.468	0.464	51.948	0.67	57.143	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 332		332	Species			0.177	0.238686088	2	0.007	9.091	0	1.299	0.003	7.792	0	1.299	0.002	7.792	0.001	3.896	0.029	12.987	0.177	16.883	0.139	19.481	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 334		334	Species				0	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 335		335	Species			0.102	0.304340669	2	0.006	7.792	0.001	2.597	0.002	5.195	0	1.299	0.001	2.597	0.002	3.896	0.014	12.987	0.102	18.182	0.085	20.779	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 336		336	Species			0.539	0.538790685	2	0.035	33.766	0.021	5.195	0.003	9.091	0.006	12.987	0.003	10.39	0.002	6.494	0.079	48.052	0.5	66.234	0.539	70.13	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 338		338	Species				0.095831361	3																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 380		380	Species				0.160089799	2																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 412		412	Species			0.102	0.164674006	2	0.003	5.195	0.024	2.597	0	3.896	0	0	0	1.299	0	1.299	0.006	9.091	0.102	18.182	0.07	15.584	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 863		863	Species				0.018495011	3																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 864		864	Species				0.073954023	3																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 878		878	Species				0.015497522	3																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 901		901	Species				0	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 902		902	Species				0.048288947	3																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 903		903	Species				0.009499095	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena		775	Species			2.408	2.408350983	1	0.331	68.831	0.101	37.662	0.115	55.844	0.261	51.948	0.528	64.935	0.414	59.74	0.394	81.818	2.408	93.506	2.209	96.104	0.001	2.597	
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;sp. HMT 318		318	Species				0	4																					
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;sp. HMT 321		321	Species				0	4																					
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;sp. HMT 933		933	Species				0	4																					
Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydophila;pneumoniae		733	Species				0	4																					
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium;limicola		984	Species	Non-Oral Ref			0	4																					
Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium;album		982	Species	Non-Oral Ref			0	4																					
Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;Melioribacter;roseus		983	Species	Non-Oral Ref			0	4																					
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;thermophila		995	Species	Non-Oral Ref			0	4																					
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineae [G-1];bacterium HMT 439		439	Species				0.013073316	3																					
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;aerophila		994	Species	Non-Oral Ref			0	4																					
Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriophycideae;Oscillatoriales;Arthrospira;platensis		229	Species	Non-Oral Ref	lake cyanobacterium		0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;flavithermus		182	Species	eHOMD expansion for skin and nasal taxa			0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;anthracis		824	Species	Non-Oral Ref	zoonotic pathogen		0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;clausii		45	Species	Non-Oral Ref	soil		0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;subtilis		468	Species	Non-Oral Ref	soil gut		0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus;fusiformis		614	Species	Non-Oral Ref	environmental		0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;bergeri		555	Species				0.016726781	3																					
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;haemolysans		626	Species			7.801	7.801246042	1	7.801	100	5.766	100	3.735	98.701	0.163	79.221	1.788	93.506	1.708	96.104	0.465	85.714	0.389	79.221	0.558	74.026	0.003	7.792	
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;morbillorum		46	Species			0.272	0.515718392	2	0.087	62.338	0.039	36.364	0.078	53.247	0.007	20.779	0.137	54.545	0.089	45.455	0.06	46.753	0.217	83.117	0.272	81.818	0	0	
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;sanguinis		757	Species			1.062	1.428726271	1	0.229	81.818	0.054	41.558	0.71	97.403	1.062	96.104	0.817	96.104	0.681	93.506	0.505	88.312	0.011	25.974	0.006	16.883	0	1.299	
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;sp. HMT 928		928	Species				0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Brochothrix;thermosphacta		241	Species	eHOMD expansion for skin and nasal taxa			0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;monocytogenes		825	Species				0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;glucanolyticus		921	Species	Non-Oral Ref	environmental opportunistic		0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;phoenicis		786	Species	Non-Oral Ref	environmental		0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;sp. HMT 048		48	Species				0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;huakuii		243	Species	eHOMD expansion for skin and nasal taxa			0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;aureus		550	Species				0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;auricularis		331	Species	eHOMD expansion for skin and nasal taxa			0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;capitis		116	Species	eHOMD expansion for skin and nasal taxa			0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;caprae		567	Species				0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;cohnii		117	Species	eHOMD expansion for skin and nasal taxa			0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;epidermidis		601	Species				0.002222312	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;haemolyticus		120	Species	eHOMD expansion for skin and nasal taxa			0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;hominis		127	Species	eHOMD expansion for skin and nasal taxa			0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;lugdunensis		128	Species	eHOMD expansion for skin and nasal taxa			0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;pasteuri		141	Species	eHOMD expansion for skin and nasal taxa			0	4																					
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;pettenkoferi		142	Species	eHOMD expansion for skin and nasal taxa			0	4																					
