Taxonomy	Rank	BM-MEAN	BM-SD	BM-PREV	HP-MEAN	HP-SD	HP-PREV	KG-MEAN	KG-SD	KG-PREV	PT-MEAN	PT-SD	PT-PREV	ST-MEAN	ST-SD	ST-PREV	SUBP-MEAN	SUBP-SD	SUBP-PREV	SUPP-MEAN	SUPP-SD	SUPP-PREV	SV-MEAN	SV-SD	SV-PREV	TD-MEAN	TD-SD	TD-PREV	TH-MEAN	TH-SD	TH-PREV
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Stomatobaculum	genus	0.102	0.134	74.026	0.27	0.348	87.013	0.008	0.028	16.883	0.565	0.591	94.805	0.003	0.009	9.091	0.02	0.054	31.169	0.018	0.056	27.273	0.231	0.286	87.013	0.566	0.519	94.805	0.629	0.635	92.208
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	1.299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.216	1.299	0.0	0.0	0.0	0.2	1.557	6.494
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnospiraceae [G-3]	genus	0.022	0.043	38.961	0.032	0.094	36.364	0.004	0.018	7.792	0.069	0.216	40.26	0.0	0.0	0.0	0.115	0.164	61.039	0.129	0.216	50.649	0.053	0.166	29.87	0.038	0.106	22.078	0.059	0.216	23.377
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Oribacterium	genus	0.149	0.232	71.429	0.571	0.543	100.0	0.017	0.038	35.065	0.973	0.733	100.0	0.002	0.01	5.195	0.06	0.117	50.649	0.054	0.14	46.753	2.249	2.552	94.805	1.216	0.862	97.403	1.222	1.067	96.104
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae;Parvimonas	genus	0.013	0.029	29.87	0.099	0.162	59.74	0.004	0.02	11.688	0.158	0.376	59.74	0.0	0.0	0.0	0.104	0.187	54.545	0.016	0.033	28.571	0.065	0.13	45.455	0.119	0.241	49.351	0.1	0.269	49.351
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Peptostreptococcus	genus	0.037	0.081	40.26	0.214	0.291	76.623	0.005	0.017	11.688	0.209	0.303	76.623	0.0	0.0	0.0	0.037	0.121	27.273	0.011	0.035	16.883	0.3	0.541	63.636	0.147	0.154	74.026	0.224	0.258	76.623
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus	0.025	0.054	35.065	0.014	0.032	28.571	0.002	0.009	5.195	0.228	0.671	55.844	1.684	5.513	35.065	0.255	0.484	61.039	0.068	0.187	31.169	0.136	0.189	61.039	0.007	0.023	15.584	0.072	0.221	38.961
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus	0.045	0.097	44.156	0.21	0.316	75.325	0.004	0.015	10.39	0.366	0.508	74.026	0.0	0.002	1.299	0.024	0.106	14.286	0.006	0.03	7.792	0.678	0.915	85.714	0.416	0.566	80.519	0.627	0.783	83.117
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus	0.075	0.099	57.143	0.236	0.384	79.221	0.044	0.133	32.468	0.77	1.382	89.61	0.0	0.004	1.299	1.221	1.893	83.117	0.91	1.662	79.221	2.952	3.389	97.403	0.351	0.854	75.325	1.096	1.6	88.312
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus	3.423	3.459	98.701	5.865	3.771	100.0	4.781	5.293	100.0	8.869	5.139	100.0	0.045	0.12	37.662	3.923	5.055	98.701	3.371	4.352	100.0	12.012	6.147	100.0	10.981	4.644	100.0	9.275	5.639	100.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Catonella	genus	0.045	0.072	59.74	0.168	0.197	84.416	0.019	0.093	32.468	0.381	0.405	93.506	0.002	0.009	2.597	0.226	0.254	74.026	0.101	0.221	58.442	0.424	0.499	84.416	0.352	0.349	90.909	0.348	0.454	90.909
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus	genus	0.007	0.022	16.883	0.032	0.059	37.662	0.003	0.015	6.494	0.04	0.081	36.364	0.0	0.0	0.0	0.006	0.032	9.091	0.002	0.008	7.792	0.035	0.133	28.571	0.042	0.08	38.961	0.057	0.091	44.156
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces	genus	1.969	3.144	94.805	1.29	2.094	96.104	0.7	1.307	80.519	1.551	2.144	96.104	0.001	0.007	5.195	9.905	10.648	98.701	11.006	10.18	97.403	0.974	1.264	93.506	2.539	3.94	96.104	2.285	4.289	94.805
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia	genus	0.675	1.061	93.506	2.931	2.755	98.701	0.183	0.387	62.338	4.078	3.79	98.701	0.005	0.016	14.286	0.36	0.897	77.922	0.178	0.316	74.026	2.048	2.169	96.104	7.651	6.223	100.0	5.082	4.5	100.0
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Peptidiphaga	genus	0.109	0.845	16.883	0.004	0.015	10.39	0.003	0.011	7.792	0.001	0.007	3.896	0.0	0.0	0.0	0.518	1.156	64.935	0.496	0.976	63.636	0.025	0.113	19.481	0.0	0.002	1.299	0.004	0.015	7.792
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia	genus	3.852	5.178	98.701	4.01	3.722	98.701	0.728	1.41	80.519	1.921	2.384	97.403	0.003	0.01	7.792	7.393	8.225	96.104	9.851	9.343	97.403	2.33	3.514	96.104	4.931	5.086	100.0	2.669	2.884	94.805
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Arachnia	genus	0.042	0.154	33.766	0.01	0.034	20.779	0.013	0.047	15.584	0.008	0.034	10.39	0.0	0.0	0.0	0.725	0.963	83.117	0.902	1.487	84.416	0.02	0.059	25.974	0.003	0.013	7.792	0.007	0.028	7.792
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus	1.095	1.288	97.403	1.216	1.194	96.104	1.744	3.971	87.013	5.495	6.722	100.0	0.002	0.007	6.494	7.081	8.758	98.701	2.669	3.16	100.0	2.134	1.676	98.701	2.94	2.859	98.701	2.879	4.231	100.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella	genus	0.717	1.03	97.403	0.271	0.292	90.909	0.999	1.255	93.506	0.502	0.84	81.818	0.0	0.001	1.299	1.217	1.097	100.0	1.709	1.443	100.0	0.57	1.031	84.416	0.274	0.409	79.221	0.457	0.96	84.416
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus	0.736	1.296	98.701	0.945	1.036	97.403	0.332	1.213	64.935	3.26	3.995	98.701	0.001	0.007	2.597	2.905	3.115	97.403	3.929	4.283	97.403	0.953	1.015	93.506	2.421	3.346	96.104	3.668	4.582	97.403
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus	2.985	3.683	98.701	3.294	3.389	93.506	3.892	5.696	84.416	3.591	3.672	96.104	0.003	0.012	11.688	2.825	3.856	94.805	2.133	3.023	85.714	4.865	5.069	93.506	3.938	5.966	92.208	2.639	3.218	92.208
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales [F-2];Bacteroidales [G-2]	genus	0.048	0.295	23.377	0.007	0.029	9.091	0.001	0.007	3.896	0.197	0.778	27.273	0.0	0.002	1.299	1.202	2.462	55.844	0.363	0.919	38.961	0.112	0.259	49.351	0.003	0.013	7.792	0.02	0.067	19.481
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella	genus	0.039	0.115	37.662	0.02	0.045	25.974	0.003	0.012	10.39	0.202	0.469	45.455	0.0	0.0	0.0	0.126	0.336	44.156	0.113	0.244	40.26	0.044	0.189	29.87	0.095	0.213	32.468	0.156	0.391	40.26
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus	1.769	2.414	98.701	6.553	4.764	100.0	0.807	1.133	87.013	9.702	7.082	100.0	0.005	0.013	14.286	3.835	4.373	96.104	1.361	2.078	89.61	10.054	5.395	98.701	9.102	5.152	100.0	10.009	6.32	100.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus	0.407	1.273	72.727	0.272	0.392	87.013	3.834	6.425	70.13	0.714	1.087	90.909	0.002	0.009	3.896	0.347	1.089	62.338	0.082	0.198	45.455	0.485	0.614	87.013	0.312	0.402	81.818	0.649	1.076	92.208
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus	1.385	2.968	90.909	0.3	0.491	88.312	0.534	1.294	67.532	1.723	3.023	90.909	0.002	0.008	6.494	9.253	7.248	98.701	9.829	6.686	97.403	1.472	1.582	92.208	0.575	1.229	81.818	1.15	2.509	87.013
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-1]	genus	0.23	0.331	79.221	0.576	0.65	88.312	0.121	0.396	37.662	1.529	2.456	93.506	0.006	0.024	11.688	2.673	4.289	90.909	2.123	3.119	89.61	7.419	9.05	97.403	1.854	2.411	85.714	1.901	2.385	90.909
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-3]	genus	0.025	0.045	40.26	0.111	0.167	70.13	0.005	0.02	7.792	0.232	0.377	77.922	0.0	0.0	0.0	0.04	0.155	24.675	0.024	0.086	20.779	4.246	5.728	96.104	0.195	0.371	74.026	0.306	0.346	81.818
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-2];Saccharibacteria (TM7) [G-5]	genus	0.005	0.024	6.494	0.006	0.041	3.896	0.0	0.0	0.0	0.007	0.053	3.896	0.0	0.0	0.0	0.135	1.063	9.091	0.047	0.202	11.688	0.017	0.055	10.39	0.002	0.013	3.896	0.001	0.006	5.195
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus	0.274	0.596	61.039	0.13	0.446	53.247	0.163	0.589	32.468	0.026	0.06	31.169	0.0	0.001	1.299	0.489	1.08	63.636	0.484	0.76	75.325	0.174	0.604	42.857	0.013	0.041	20.779	0.038	0.118	24.675
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Butyrivibrio	genus	0.005	0.016	14.286	0.016	0.037	27.273	0.0	0.003	1.299	0.035	0.062	42.857	0.0	0.0	0.0	0.0	0.003	1.299	0.0	0.0	0.0	0.068	0.177	33.766	0.037	0.084	36.364	0.064	0.105	55.844
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Peptostreptococcaceae [XI][G-1]	genus	0.016	0.042	28.571	0.189	0.284	72.727	0.003	0.009	9.091	0.116	0.236	63.636	0.0	0.003	1.299	0.001	0.006	3.896	0.0	0.002	2.597	0.115	0.211	53.247	0.138	0.187	70.13	0.149	0.187	72.727
Bacteria;Bacteroidetes;Bacteroidetes [C-1];Bacteroidetes [O-1];Bacteroidetes [F-1];Bacteroidetes [G-5]	genus	0.016	0.063	10.39	0.002	0.009	5.195	0.0	0.003	1.299	0.026	0.103	12.987	0.0	0.0	0.0	0.409	2.164	14.286	0.088	0.492	9.091	0.021	0.083	11.688	0.001	0.008	3.896	0.002	0.009	6.494
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	genus	0.003	0.018	5.195	0.005	0.024	3.896	0.0	0.0	0.0	0.211	1.087	12.987	0.0	0.0	0.0	0.038	0.334	1.299	0.001	0.006	1.299	0.011	0.049	9.091	0.017	0.105	6.494	0.177	1.118	9.091
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus	0.03	0.122	35.065	0.038	0.06	42.857	0.01	0.03	23.377	0.022	0.075	25.974	0.002	0.012	5.195	0.015	0.035	28.571	0.008	0.036	12.987	0.203	0.809	46.753	0.007	0.024	12.987	0.041	0.092	35.065
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus	1.718	1.842	100.0	2.688	1.78	100.0	3.371	4.204	94.805	1.578	1.209	100.0	0.003	0.013	6.494	0.646	0.809	92.208	0.624	0.614	98.701	1.539	1.252	93.506	2.808	1.886	100.0	1.772	1.345	98.701
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Peptostreptococcaceae [XI][G-9]	genus	0.012	0.043	22.078	0.006	0.016	19.481	0.005	0.036	3.896	0.125	0.509	35.065	0.0	0.0	0.0	0.11	0.188	49.351	0.02	0.044	31.169	0.004	0.014	11.688	0.0	0.003	2.597	0.058	0.366	23.377
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus	0.046	0.104	51.948	0.023	0.059	38.961	0.018	0.044	29.87	0.087	0.305	40.26	0.0	0.0	0.0	0.436	0.463	92.208	0.363	0.362	92.208	0.028	0.046	51.948	0.024	0.073	25.974	0.075	0.29	28.571
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium	genus	0.243	0.422	81.818	0.163	0.243	81.818	0.315	2.048	46.753	0.031	0.065	41.558	0.002	0.01	3.896	6.067	5.697	96.104	8.529	6.172	96.104	0.178	0.302	70.13	0.018	0.039	32.468	0.191	1.165	46.753
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium	genus	0.006	0.018	16.883	0.005	0.023	15.584	0.01	0.075	6.494	0.002	0.012	3.896	0.0	0.0	0.0	0.132	0.221	70.13	0.166	0.247	75.325	0.006	0.02	14.286	0.0	0.004	1.299	0.002	0.015	3.896
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus	0.025	0.056	45.455	0.204	0.407	80.519	0.003	0.013	7.792	0.357	0.447	85.714	0.017	0.144	2.597	0.033	0.065	33.766	0.013	0.029	24.675	0.271	0.396	76.623	0.29	0.349	88.312	0.36	0.508	89.61
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella	genus	0.001	0.005	6.494	0.468	1.743	16.883	0.122	1.033	7.792	0.004	0.024	6.494	0.0	0.0	0.0	0.0	0.001	1.299	0.0	0.004	1.299	0.004	0.028	3.896	0.0	0.0	0.0	0.004	0.034	1.299
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Atopobium	genus	0.094	0.182	62.338	0.46	0.634	90.909	0.013	0.053	16.883	0.561	0.894	89.61	0.0	0.0	1.299	0.115	0.275	55.844	0.027	0.054	33.766	0.712	0.86	83.117	0.983	1.13	90.909	0.84	0.965	88.312
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-6]	genus	0.128	0.531	49.351	0.084	0.169	57.143	0.157	0.606	27.273	0.134	0.277	53.247	0.001	0.005	3.896	0.049	0.152	19.481	0.072	0.206	25.974	0.438	0.658	68.831	0.103	0.166	57.143	0.159	0.264	57.143
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-1];Gracilibacteria (GN02) [O-1];Gracilibacteria (GN02) [F-1];Gracilibacteria (GN02) [G-1]	genus	0.007	0.024	15.584	0.008	0.033	15.584	0.001	0.004	2.597	0.002	0.007	6.494	0.0	0.0	0.0	0.152	0.389	37.662	0.169	0.384	41.558	0.054	0.126	40.26	0.001	0.006	3.896	0.006	0.021	10.39
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia	genus	0.014	0.069	7.792	0.001	0.006	2.597	0.0	0.002	1.299	0.001	0.011	1.299	0.0	0.0	0.0	0.099	0.422	18.182	0.048	0.25	15.584	0.004	0.025	3.896	0.0	0.0	0.0	0.0	0.0	0.0
