Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015009-ANA	S700015301-ANA	S700015677-ANA	S700015785-ANA	S700016087-ANA	S700016178-ANA	S700016235-ANA	S700016376-ANA	S700016664-ANA	S700016958-ANA	S700021836-ANA	S700021886-ANA	S700023112-ANA	S700023487-ANA	S700023588-ANA	S700023631-ANA	S700023855-ANA	S700023912-ANA	S700023946-ANA	S700023997-ANA	S700024105-ANA	S700024316-ANA	S700024435-ANA	S700024468-ANA	S700024519-ANA	S700024564-ANA	S700024613-ANA	S700024683-ANA	S700024709-ANA	S700024839-ANA	S700024876-ANA	S700024928-ANA	S700024976-ANA	S700032123-ANA	S700032280-ANA	S700033035-ANA	S700033189-ANA	S700033492-ANA	S700033557-ANA	S700033785-ANA	S700033851-ANA	S700035292-ANA	S700035897-ANA	S700037052-ANA	S700037120-ANA	S700037163-ANA	S700037230-ANA	S700037282-ANA	S700037387-ANA	S700037558-ANA	S700037710-ANA	S700037844-ANA	S700037977-ANA	S700038031-ANA	S700038257-ANA	S700038364-ANA	S700038412-ANA	S700038530-ANA	S700038576-ANA	S700038624-ANA	S700038900-ANA	S700038948-ANA	S700038976-ANA	S700095408-ANA	S700095465-ANA	S700095579-ANA	S700095705-ANA	S700096416-ANA	S700097289-ANA	S700097349-ANA	S700097746-ANA	S700097895-ANA	S700098325-ANA	S700098990-ANA	S700099057-ANA	S700099343-ANA	S700099645-ANA	S700099858-ANA	S700100285-ANA	S700100526-ANA	S700100595-ANA	S700101131-ANA	S700101189-ANA	S700101279-ANA	S700101570-ANA	S700101693-ANA	S700102104-ANA	S700102411-ANA	S700102643-ANA	S700102903-ANA	S700102960-ANA	S700103299-ANA	S700103476-ANA	S700103585-ANA	S700103702-ANA	S700105173-ANA	S700105284-ANA	S700105769-ANA	S700105854-ANA	S700105902-ANA	S700105992-ANA	S700106085-ANA	S700106142-ANA	S700106360-ANA	S700106512-ANA	S700106571-ANA	S700106906-ANA	S700106928-ANA	S700106976-ANA	S700107095-ANA	S700107433-ANA	S700107544-ANA	S700107601-ANA	S700107814-ANA	S700107928-ANA	S700107985-ANA	S700108153-ANA	S700108216-ANA	S700108276-ANA	S700108588-ANA	S700108654-ANA	S700108894-ANA	S700108951-ANA	S700109228-ANA	S700109561-ANA	S700109618-ANA	S700109679-ANA	S700109979-ANA	S700110147-ANA	S700110804-ANA	S700111214-ANA	S700111280-ANA	S700111354-ANA	S700111803-ANA	S700112040-ANA	S700112101-ANA	S700113033-ANA	S700113103-ANA	S700113154-ANA	S700113205-ANA	S700113533-ANA	S700113674-ANA	S700113745-ANA	S700113850-ANA	S700113907-ANA	S700113964-ANA	S700113991-ANA	S700114047-ANA	S700114189-ANA	S700114244-ANA	S700114349-ANA	S700114417-ANA	S700114452-ANA	S700114515-ANA	S700114645-ANA	S700114727-ANA	S700114777-ANA	S700114828-ANA	S700114882-ANA	S700114987-ANA	S700116055-ANA	S700116106-ANA	S700116158-ANA	S700116285-ANA	S700116336-ANA	S700116388-ANA	S700116441-ANA	S700116478-ANA	S700116598-ANA	S700116651-ANA	S700116708-ANA	S700116760-ANA	S700116808-ANA	S700116838-ANA	S700116898-ANA	S700116957-ANA	S700117096-ANA	S700117224-ANA	S700117635-ANA	S700117747-ANA	S700117806-ANA	S700117858-ANA	S700117948-ANA	S700118468-ANA	S700119220-ANA	S700119362-ANA	S700119620-ANA	S700119919-ANA	S700120095-ANA	S700121697-ANA	S700122402-ANA	S700123620-ANA	S700124619-ANA	S700161050-ANA	S700161161-ANA	S700161504-ANA	S700161734-ANA	S700163211-ANA	S700163400-ANA	S700163505-ANA	S700163584-ANA	S700163658-ANA	S700163709-ANA	S700163764-ANA	S700163861-ANA	S700163973-ANA	S700164080-ANA	S700164189-ANA	S700164222-ANA	S700164279-ANA	S700164349-ANA	S700164401-ANA	S700164497-ANA	S700164548-ANA	S700164603-ANA	S700164716-ANA	S700164765-ANA	S700164822-ANA	S700164862-ANA	S700165142-ANA	S700165197-ANA	S700165310-ANA	S700165406-ANA	S700165454-ANA	S700165664-ANA	S700165712-ANA	S700165808-ANA	S700165856-ANA	S700165905-ANA	S700166833-ANA	S700171064-ANA	S700171112-ANA	S700171145-ANA	S700171471-ANA	S700171523-ANA	S700171571-ANA	S700171624-ANA	S700171678-ANA	S700171757-ANA	S700171832-ANA	S700171889-ANA	S700171926-ANA	S700172060-ANA	S700172213-ANA	S700172252-ANA	S700172329-ANA	S700172548-ANA	S700172602-ANA	S700172707-ANA	S700172756-ANA	S700172812-ANA	S700173070-ANA	S700173116-ANA	S700173271-ANA	S700173480-ANA	S700173576-ANA	S700173677-ANA	S700173830-ANA	S700175116-ANA	S700175152-ANA	S700175255-ANA
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.13	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia	genus				0.081	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.222	0.0	0.557	0.0	0.048	0.0	1.405	0.0	0.0	0.137	0.0	0.0	0.0	0.0	0.39	0.0	0.166	0.0	0.0	0.18	0.018	0.0	0.019	0.0	0.0	4.036	0.0	0.142	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.168	0.0	0.0	0.023	0.102	0.018	1.09	0.0	0.103	0.113	0.037	0.0	0.29	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.097	0.0	0.0	0.354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.255	0.0	0.0	0.0	0.03	0.028	0.075	0.0	0.19	0.0	0.014	0.0	0.0	0.0	0.207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	genus				0.0	0.0	0.0	0.0	0.0	0.173	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.012	0.0	0.232	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.005	0.0	0.083	0.0	0.074	0.12	0.018	0.0	0.0	0.0	0.0	2.599	0.0	0.142	0.0	0.029	0.0	0.0	0.0	0.019	0.053	0.214	0.0	0.03	0.0	0.0	0.0	0.117	0.0	0.0	0.847	0.07	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.101	0.07	0.0	0.05	0.019	0.055	0.025	0.0	0.0	0.0	0.0	0.037	0.0	0.19	0.0	0.071	0.0	0.0	0.0	0.083	0.0	0.397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus				0.04	0.0	0.011	0.071	0.085	0.272	0.0	0.041	0.096	0.004	0.095	0.0	0.955	1.11	0.0	0.261	0.0	0.0	0.0	0.479	0.0	0.148	0.0	0.0	0.005	0.0	0.055	0.021	0.0	0.0	0.444	0.0	0.037	0.146	0.0	2.941	1.596	0.256	0.0	0.0	0.023	0.0	0.0	0.019	0.106	0.0	0.134	0.105	0.0	0.0	0.17	0.094	0.0	0.0	0.0	0.818	0.051	0.0	0.025	0.0	0.0	0.0	0.022	0.0	0.923	0.0	0.0	0.066	0.0	0.075	0.0	0.037	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.291	0.0	0.0	1.109	0.142	0.0	0.0	1.999	0.0	0.093	0.011	7.973	0.202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.139	0.242	0.0	0.0	0.0	0.063	0.0	0.0	0.0	13.172	0.0	0.134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128	0.0	0.256	0.0	0.0	0.0	0.0	0.045	0.0	3.052	0.0	0.113	0.034	0.0	0.691	0.0	0.0	0.585	0.065	1.227	0.089	0.06	0.0	0.484	0.05	0.0	0.686	0.0	2.929	0.0	0.127	0.029	0.24	0.0	0.009	0.0	0.0	0.38	0.0	0.014	0.0	0.0	0.0	0.0	0.879	1.046	0.0	0.0	0.0	0.0	0.0	2.205	0.068	0.0	0.025	0.25	0.0	0.0	0.073	0.0	0.0	0.032	0.0	0.0	0.0	1.055	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.173	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.812	0.0	0.186	0.0	0.0	0.0	0.453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.417	0.0	0.084	0.0	0.0	0.263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.224	0.218	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus				0.0	0.0	0.011	0.142	0.007	0.148	0.0	0.491	0.019	0.026	0.73	0.088	0.716	0.0	0.096	0.435	1.405	0.867	0.0	0.0	0.011	0.015	0.021	0.026	0.005	0.143	0.0	0.0	0.482	0.0	0.185	0.168	0.019	0.049	0.069	0.684	0.563	0.0	0.074	0.137	0.752	0.904	0.028	0.038	0.212	0.036	0.0	0.03	0.168	0.022	0.51	0.094	0.0	0.026	0.847	0.164	0.0	0.057	0.399	1.204	0.0	0.0	0.066	0.0	0.0	0.0	0.099	0.0	1.05	0.149	0.048	0.406	0.026	0.017	0.187	0.089	0.0	0.0	0.0	0.291	3.115	0.258	0.469	0.071	0.044	0.0	0.16	0.072	0.067	0.352	0.498	2.859	0.427	5.591	0.295	0.334	0.423	0.0	0.239	0.523	0.057	0.0	0.039	0.039	0.499	2.322	0.0	0.819	0.071	0.189	0.023	0.155	1.682	2.201	1.561	0.054	0.222	0.0	0.073	0.158	0.0	0.054	0.067	0.749	0.039	0.093	0.112	0.0	0.238	0.0	0.216	0.0	1.299	0.945	1.817	0.038	0.204	0.106	0.211	0.0	0.596	1.28	0.277	0.28	0.022	0.02	1.228	0.0	0.05	0.878	1.181	0.05	0.019	0.0	0.623	0.118	0.06	0.574	0.0	0.895	0.096	0.523	3.123	0.0	0.0	0.056	0.0	0.351	0.023	3.932	0.06	0.175	0.153	0.059	0.136	0.0	0.609	0.015	0.2	0.269	0.214	0.047	0.886	0.014	0.0	0.383	0.0	0.085	0.055	0.384	0.0	1.097	0.277	0.146	0.0	0.122	2.036	0.127	0.0	0.354	0.426	0.357	0.0	0.063	0.101	6.025	2.933	0.0	0.0	0.0	4.609	0.0	2.102	0.231	0.808	0.0	1.014	0.228	1.766	0.256	2.274	0.222	0.0	0.0	0.256	0.194	0.322	0.025	0.0	0.0	0.038	0.0	0.125	0.21	0.132	0.0	0.0	0.029	0.452	0.0	0.441	0.354	0.908	0.056	0.033	0.145	1.059	0.95	0.0	0.0	0.25	0.0	0.0	0.0	0.298	0.0	0.0	0.0	0.065	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus				7.235	1.367	1.906	0.445	0.652	0.977	4.011	0.389	1.648	5.373	2.922	6.503	0.0	4.761	4.208	2.554	0.0	7.948	0.327	0.0	0.475	0.089	1.98	0.0	0.412	1.065	1.352	0.372	0.074	0.871	3.124	0.0	0.0	3.32	4.575	0.0	4.883	0.0	2.32	1.041	1.163	1.506	0.552	0.799	3.148	0.463	2.858	2.056	0.0	1.012	0.0	2.372	0.102	0.026	0.0	4.393	1.333	0.0	0.1	10.378	0.0	0.101	0.635	3.108	5.902	0.066	3.622	0.197	4.636	0.0	1.634	4.297	1.441	1.618	2.547	4.052	2.704	4.092	0.0	8.932	0.0	0.0	0.896	0.107	0.901	1.33	2.598	0.788	0.187	3.955	3.502	4.238	1.281	1.84	0.295	7.898	0.731	0.09	0.053	4.045	0.601	0.0	4.341	0.0	0.111	2.177	0.0	0.99	0.957	0.378	0.927	3.442	0.101	5.31	0.0	1.232	1.473	4.759	3.374	0.0	0.0	2.087	0.449	4.861	0.745	2.559	0.992	4.757	9.31	0.0	0.0	3.479	0.557	0.432	0.198	0.832	1.293	0.372	0.0	0.103	23.535	2.816	3.098	3.767	4.98	6.157	0.205	5.981	0.076	5.616	2.095	3.09	3.823	0.036	1.372	0.206	7.362	1.239	0.037	3.99	1.126	0.143	1.102	1.033	0.0	0.168	2.29	0.0	7.103	1.84	1.738	2.8	3.902	0.0	0.0	6.635	4.804	4.017	0.0	0.019	0.0	0.221	0.247	8.751	1.354	1.02	0.0	0.0	1.049	1.63	0.591	3.656	0.077	3.638	1.557	4.274	0.0	3.312	0.0	3.361	1.533	3.527	5.959	1.072	0.403	0.303	3.464	0.0	3.184	0.729	0.516	0.794	1.64	0.284	0.0	2.484	4.754	1.986	0.0	0.883	1.436	0.222	2.716	0.018	0.71	0.817	0.719	0.945	1.355	0.0	2.232	0.0	1.743	0.786	4.999	0.164	0.131	0.591	2.172	2.461	0.545	2.835	0.087	1.02	0.083	0.778	0.636	2.112	11.173	1.634	5.569	0.02	7.197	0.0	0.95	5.921	5.051	2.707	0.0	0.229	0.546
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus				0.323	0.287	0.0	0.498	1.842	0.346	0.321	0.041	1.38	2.746	1.985	5.712	0.0	2.076	0.408	0.232	0.0	0.0	0.327	0.0	0.745	0.133	0.371	0.0	0.038	0.817	0.0	0.103	0.074	0.0	2.348	0.0	0.0	2.295	1.895	2.599	1.549	0.0	1.878	0.275	0.0	0.904	1.325	0.0	1.185	0.107	0.134	0.0	0.12	0.551	0.0	1.292	0.0	0.062	0.0	1.005	0.0	0.0	0.075	1.567	0.0	0.0	0.109	0.22	1.035	0.0	0.296	0.0	1.127	0.298	0.465	0.037	0.386	0.981	0.0	0.0	2.722	0.682	0.0	5.631	0.0	0.0	3.241	0.0	0.207	1.484	4.018	0.43	0.04	0.647	2.409	0.0	0.854	0.0	0.0	0.0	0.038	0.0	0.0	0.826	0.258	0.0	0.0	0.0	0.0	2.516	0.0	1.093	0.0	0.032	0.271	0.181	0.0	5.757	0.0	0.134	0.862	0.771	0.853	0.014	0.0	0.428	4.023	0.017	1.13	1.605	2.015	1.343	0.071	0.0	0.0	0.205	0.742	0.0	0.04	0.34	1.055	0.213	0.94	0.041	0.298	2.341	3.767	1.98	2.434	4.366	0.0	4.881	0.076	4.563	2.629	2.261	0.761	0.036	0.0	0.235	3.395	2.267	0.168	0.485	0.359	0.0	0.0	0.566	0.0	0.0	0.0	0.0	3.495	0.794	0.0	1.225	0.708	0.0	0.0	2.368	2.503	0.0	0.0	0.866	0.0	0.0	0.015	0.0	0.0	0.319	0.0	0.0	0.0	1.534	0.591	0.914	0.011	0.0	0.298	3.907	0.0	0.0	0.174	0.059	0.0	0.536	1.826	0.0	0.0	0.043	2.793	0.0	0.0	0.285	0.119	0.0	0.578	1.686	0.0	0.0	1.884	4.228	0.0	0.256	0.778	0.333	0.057	0.0	0.199	0.055	0.223	0.014	1.012	0.0	0.654	0.0	6.6	0.0	0.132	0.018	1.183	0.671	2.172	0.541	1.033	0.557	0.0	0.0	0.01	0.633	0.953	1.373	0.902	0.0	1.928	0.0	2.336	0.0	1.342	1.992	0.0	0.318	0.0	0.114	0.084
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus	genus				0.606	0.894	0.0	0.907	0.234	2.077	0.0	0.082	5.481	6.941	5.351	8.172	0.0	7.087	1.618	1.886	0.0	4.913	0.693	0.0	0.669	0.43	2.248	1.565	0.384	3.934	0.0	1.943	0.0	0.27	7.338	0.0	0.0	8.789	6.978	2.531	3.709	0.0	3.573	0.788	0.0	14.608	2.126	0.0	7.25	2.172	0.134	1.171	0.0	1.495	0.0	3.171	1.403	0.0	0.0	3.388	0.0	0.0	0.274	6.441	0.0	0.0	0.022	1.052	7.021	0.0	1.251	0.0	6.122	0.075	1.741	1.77	3.912	3.598	0.0	0.0	2.883	4.267	0.0	13.204	1.335	0.052	3.539	0.195	0.428	2.505	4.499	0.394	0.12	1.536	14.078	7.366	2.095	1.911	0.0	0.0	0.0	0.0	0.027	5.311	1.03	0.0	5.613	0.0	0.305	2.612	0.0	1.946	0.0	0.0	3.278	1.048	0.101	11.306	0.0	0.0	4.058	4.839	6.041	0.0	0.0	1.516	7.016	0.033	3.03	6.096	0.592	5.563	0.0	0.0	0.0	2.16	0.0	0.027	0.77	1.286	0.34	0.478	0.384	0.144	0.0	5.084	5.462	3.099	3.461	16.157	0.737	7.058	0.0	0.0	4.838	4.145	3.499	0.055	0.165	0.867	10.066	1.451	0.047	2.237	2.612	0.428	0.367	1.316	0.0	0.337	0.0	0.0	13.191	1.623	0.0	9.055	1.683	0.0	0.0	13.924	0.0	0.0	0.0	0.077	2.139	0.0	0.0	4.208	0.265	0.638	0.0	0.0	0.0	5.849	1.005	1.554	0.0	0.0	0.894	8.425	0.0	0.0	0.0	7.017	0.0	1.741	5.766	1.198	0.101	0.0	4.022	0.0	2.591	0.158	0.04	0.0	2.009	2.751	0.0	1.068	8.261	10.3	0.0	1.196	0.0	0.0	0.0	1.319	0.653	0.706	0.273	0.007	2.509	0.0	1.27	0.345	5.978	0.0	2.715	0.055	1.971	2.243	5.158	0.837	1.597	1.063	0.0	0.0	0.096	1.583	3.814	7.497	1.596	1.491	7.033	0.298	7.323	0.0	3.969	4.12	0.0	1.672	0.0	1.429	2.269
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus				0.283	0.017	0.028	0.018	0.028	0.247	0.0	0.327	0.057	0.009	0.603	0.0	0.398	0.036	1.043	0.435	0.937	3.179	0.039	0.41	0.011	0.015	0.021	0.06	0.549	0.116	0.028	0.041	0.779	0.33	0.074	0.112	0.019	0.049	0.0	0.274	0.235	0.596	0.037	0.13	0.251	0.301	0.0	0.057	0.035	0.249	0.0	0.015	0.216	0.0	1.105	0.07	0.102	0.053	0.0	0.14	0.103	0.113	0.05	0.841	0.411	0.152	0.109	0.0	0.028	0.0	0.198	0.0	1.46	0.0	0.0	1.199	0.0	0.0	0.075	0.238	0.0	0.0	0.0	0.0	1.335	0.0	0.0	0.018	0.0	0.0	0.16	0.0	0.04	0.1	0.0	0.774	0.0	7.856	0.0	0.18	0.0	0.0	0.186	0.495	1.517	0.0	0.0	0.389	0.443	0.194	0.0	0.171	0.0	0.032	0.0	0.039	0.05	0.638	1.076	0.643	0.028	0.08	0.012	0.029	0.142	0.054	0.017	0.3	0.0	0.07	0.32	0.0	0.048	0.0	0.144	0.0	0.0	0.27	3.555	0.0	0.374	0.0	0.058	0.0	0.199	0.805	0.179	0.194	0.045	0.141	0.123	0.132	0.05	0.316	0.076	0.151	0.0	0.128	0.076	0.22	0.12	0.423	0.0	0.746	0.24	0.0	1.531	0.127	0.106	0.056	0.0	0.289	0.113	0.0	0.045	0.0	0.096	0.177	0.0	0.02	0.135	0.074	0.05	0.038	0.0	0.081	0.247	0.056	0.0	0.096	0.0	0.042	0.0	0.0	0.0	0.0	0.343	0.327	0.0	0.183	1.131	0.042	0.058	0.0	0.767	0.045	0.0	0.378	0.0	3.511	0.978	0.0	0.0	0.0	0.04	0.14	0.13	0.0	0.0	0.0	0.174	0.038	1.022	0.199	0.12	0.056	0.0	0.0	0.071	0.069	0.025	0.035	0.0	0.0	0.0	0.0	0.125	0.028	0.0	0.0	0.0	0.0	0.09	0.0	0.376	0.253	0.0	0.014	0.006	0.0	2.225	0.422	0.0	0.0	0.714	0.0	0.0	0.0	0.112	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	genus				0.0	0.017	0.0	0.0	0.0	0.185	0.0	0.204	0.019	0.0	0.0	0.176	0.636	0.0	0.0	0.0	0.234	1.156	0.0	0.0	0.011	0.0	0.062	0.0	0.791	0.132	0.028	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	6.772	0.141	0.0	0.0	0.007	0.0	0.0	0.0	0.038	0.0	0.0	0.101	0.0	0.144	0.0	0.595	0.0	0.026	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.037	0.037	0.0	0.19	0.0	0.057	0.0	0.168	0.0	0.0	0.0	0.469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.007	0.035	0.0	0.0	0.0	0.0	0.186	0.114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
